ID	damagedvsundamaged_logFC	damagedvsundamaged_padjFilter
ZNF667-AS1	0.0137673554747678	0.897041065477743
TPTE2P6	0.130807350705734	0.259271478918836
SMAD7	0.00246022683553804	0.984623065298147
SVBP	0.41347547612959	0.0951369619973472
ZFYVE19	-0.0683777991014654	0.871751463427191
NUDC	-0.24550546720899	0.318108425672303
SFT2D1	-0.197939860544212	0.468629468609025
GPX8	0.197205794848252	0.397568045810585
CAV1	-0.181117121563118	0.385746710512749
CLK1	-0.397387320400941	0.259336461374865
C1R	-0.371064503389169	0.274822449897634
BOC	-0.471891429014342	0.033802681832877
PPWD1	-0.246422183441543	0.277070435630534
BRD8	-0.265378481160024	0.0528601056427479
CLSTN3	-0.0796095040168322	NA
LTF	-0.54518284334215	0.146028109110759
ANKRD36BP1	0.0661909256041245	0.7419946427646
RGS12	-0.0543536730594238	0.524779377600438
TOX	-0.216854114074419	NA
HACD4	-0.184201389769679	0.474570064961841
COX7A1	0.604670568977044	0.0225475870139815
BCRP2	-0.0790685204271782	0.500647453294908
ZZZ3	0.099212047820514	0.484127083254776
NIBAN3	0.0490788766275755	NA
LLPH	0.0844675854625317	0.378624225659045
SULT1A2	-0.0164883881512506	0.953226373358491
GPR27	0.035989345185411	NA
BAZ1A	0.0492647815015209	0.611076893458746
RWDD2A	-0.135761715998811	0.149281885211057
METTL23	-0.158261784988765	0.372309995051359
GH2	0.0161797371154513	NA
BTF3P11	-0.0851581805117935	0.756507390244885
LNX2	0.0552031328106904	0.710211486515286
LINC00265	-0.00503147104958986	0.967484890633742
PI4KB	-0.112205332969925	0.259716706131202
JUNB	-0.058158308980209	0.927421818764953
GOLGA8A	-0.0390758629627427	0.846313064394111
KIRREL2	-0.201877824689177	NA
PML	0.0277713309343279	0.786888557384768
WFDC12	-0.00616456117108311	NA
IGSF10	-0.224467083918282	NA
GJB7	0.0538015595803642	NA
RNF11	-0.0993439368208116	0.646367485302861
KCTD3	-0.255417165948918	0.0892856877199942
RFPL1S	0.210788251510043	0.155500993561889
SGCZ	0.0239439318833457	NA
SERPING1	-0.565192822549516	0.0891886625527724
RNASE7	-0.0202995383502707	NA
RALY	-0.189421072428794	0.196823244200795
LAMA5	0.0550650963802406	0.595333987815099
SERPINB8	-0.0810099202793782	NA
ZNF559	-0.312822425184897	0.0772013574230649
NPW	-0.0111272731325962	NA
XBP1	-0.403953598346752	0.173975166790672
SCUBE2	0.640689504061546	0.128667070520059
DELE1	-0.0393480347813415	0.702379323578021
ZNF770	0.0249816611378715	NA
HPX	-0.0289430329644954	NA
PGPEP1	-0.0829944208607703	0.167717566686186
LAMA1	-0.0896116430965108	NA
CASKIN2	-0.059412950075437	NA
NECAP2	-0.287988656423969	0.0352934411437308
ZBTB11	-0.204641539603414	0.108259074736426
KRT75	-0.0574264916286853	NA
DHRSX	0.0111485480975942	0.964589846596445
LRRC75B	0.32151863416251	0.099084369264478
CATSPERB	0.0133341341160577	NA
NFKBIB	0.0777489370239156	0.595333987815099
TNFSF10	1.02121103810536	0.0205695631343856
YY1AP1	0.051672230181525	0.715895918215128
PPP4R4	0.913514147645924	0.0395185506796905
TMEM230	-0.213998271284432	0.373389092835382
TLE4	-0.0342156432999156	0.640266616428523
ADAM21	0.0623468199086923	NA
NUDT18	0.429346534580876	0.114405441333012
FOXG1	0.00233362827946221	NA
FGF5	-0.032402210605003	NA
CTSW	0.0373312816989182	NA
RTRAF	-0.101382700000578	0.736713772122049
CCNA2	-0.00586323331511033	NA
LIN7B	0.553542527176202	0.0487983478659991
TARBP2	0.118647582110832	0.200788292776406
ZNF181	-0.124180470132122	0.342160482689628
CLEC2D	-0.139321981491963	0.180996141539984
LHFPL1	-0.0236927414283439	NA
TP53I11	-0.213528685222489	0.163443013986915
TRPM1	0.0725865603751367	NA
MBOAT1	-0.0565893901410871	0.801157229953001
HNRNPU	-0.107829136976145	0.14487224108405
SHMT1	-0.0424881949003411	0.664852688263831
MXRA7	0.257094309529399	0.207254660546472
WHRN	0.0130610815241192	NA
USB1	0.295383514444495	0.0340158836136394
CENPBD1	0.339491900964192	0.0794747403978387
ACP4	0.00602222114831567	NA
CKMT1A	0.0359913203546134	NA
TUBGCP5	-0.0866141420404098	0.607252926942505
KIT	-0.191221224229538	NA
ASB4	0.0264852169293077	NA
MTHFS	-0.0384285026304342	0.831152774432508
ZC3H11A	-0.238134848273177	0.0654599557886873
CNOT9	0.11384071759288	0.24176947925891
ITGAE	-0.0992347019540598	0.676771790725178
ABRAXAS1	0.0379709034488046	0.842003034142379
SLC50A1	0.147043723143404	0.164051398325199
LCOR	-0.0716088964788294	0.367064469501753
LRRC4C	-0.352406945303158	NA
ZNF383	-0.0639557911881575	0.521455702665241
CTNNA2	-0.0084055026396762	NA
LILRA4	-0.17415530996667	NA
U2AF1	-0.100649743955614	0.849897861288497
MRPL42P5	-0.029855453091004	NA
LINC01061	-0.0367630236734306	0.77061655318744
MTA3	-0.0451090268148411	0.545351195261025
MED8	-0.106319899700991	0.14000584119642
RNF186	-0.0286164417352664	NA
TMEM167B	-0.064228648692611	0.691110927104856
EXOC3	0.0983304985530354	0.45290501171549
MARCHF4	-0.0499669522661031	NA
KCNE5	0.0574657196362038	NA
PMPCA	0.167858584788085	0.150892436075163
MPEG1	-0.493152464164086	0.253610834319807
A4GNT	-0.0240253638552407	NA
KCNMA1	-0.183359212256873	0.252330243238268
PNLIPRP1	-0.00866983665813106	NA
LINC00313	0.0294117291468774	NA
KRT12	-0.157991689224724	NA
PLN	-0.0561414253675616	NA
CENPX	-0.0342687062876225	0.761986299522918
PTRHD1	-0.0335810990881613	0.817882598123804
LOC100128398	-0.0631325955436209	NA
GEMIN5	0.287057654143025	0.228397388952175
EBNA1BP2	0.223213939055666	0.0521638917708125
DRD3	0.0375250375657944	NA
MET	0.226314607600049	0.098155187995227
MARCHF3	0.127593881611392	0.165895715873515
CD40	-0.178004576785344	0.206444411064778
SNAPC3	-0.00884322203400259	0.947881416479595
ZMIZ1	0.183452492906645	0.308246081201405
RNF216P1	0.365158947349977	0.0381685348790238
RTP1	-0.0430899725255522	NA
CATSPERD	-0.0513503539890285	NA
MTRF1L	-0.010981249044913	0.948367264310241
KRT6C	0.00912382991797006	NA
CLASP2	-0.0762148530279427	0.310542948269898
HS3ST1	0.709182042810587	0.0381685348790238
SLC17A6	-0.0288114628742567	NA
S100A7A	-0.027147794596951	NA
FGFR2	-0.261144518033412	0.225933537697032
PSMA3-AS1	-0.200063021573852	0.0635570747423305
RPUSD4	-0.300599171135668	0.100903703187476
AGMAT	-0.0285997372738164	0.821805862049815
ZNF880	-0.0535403010855343	0.480734667714932
PPIE	-0.229874864671262	0.137918850974428
SUSD5	0.379882085574775	0.149803198097573
SRPRA	0.0589130760818517	0.841875949581652
TRMT1	-0.0886066835083581	0.734762841979361
IL10RA	-1.06190158724529	0.0867164183017201
TMEM128	0.00287420909908409	0.990918821812451
FBXO28	0.0895685824467601	0.469910458368447
PROSER3	0.0755820480221523	NA
HMGN1	-0.167297051881834	0.469910458368447
PCDHB10	-0.13732822268342	0.291560736522641
RAF1	-0.17499570890858	0.429203577610731
PYCR2	-0.0114124266341731	0.952380200015976
PHF24	0.0687604326879664	NA
CREB3L1	-0.347051628803793	0.815848481273052
PASD1	0.00899263062102105	NA
KSR2	-0.0244526644728025	NA
CHRDL1	0.0378207049111106	NA
ADCY10	0.0386702517149205	NA
ZNF598	0.0201151275491974	0.892893871464384
THAP5	0.0621655610806919	NA
UCHL5	-0.0448328136387135	0.713565538227764
BACH1	0.0285520618434404	0.8926843305754
ZNF419	0.04719882319217	NA
LRRTM4	0.00461233915829253	NA
EDN1	-0.241796007303735	0.514609767572508
PAF1	0.0259123403920331	0.921743647309884
UGT3A2	-0.059335939026788	NA
FEZ2	-0.3447217573058	0.155809575834272
RTP3	-0.0339636483335134	NA
SART3	-0.210759699602377	0.0722124011677642
IFIT2	-0.481849065432323	0.10875754180775
SPAG11B	0.00426759950861126	NA
VWF	-0.593055247577023	0.509082646619306
MGC70870	0.123453327786576	0.254266879645444
TRIM2	-0.086352143772635	0.732189349924602
PAXBP1	-0.0158255904085703	NA
DNASE1	0.00334973805581602	NA
TXNDC2	0.0543938594328294	NA
ZNF688	0.232035949452979	0.356107025507447
TMEM179B	-0.0933344977569266	0.632585602143275
RSPO2	-0.357130911804064	0.206444411064778
LOC100132356	-0.110400897835222	0.181662796268792
RAB42	0.262428404865295	0.0991402303938625
GALK2	-0.210513762448584	0.195480300369209
ISCA1	-0.0136661926961375	0.935684149002411
OR5I1	-0.0502493627570999	NA
FAM170A	-0.0235674771306217	NA
OR7C2	0.0537550978886486	NA
MACF1	0.168061112237648	0.588648702449034
C12orf42	0.203543198756682	NA
ING5	0.037115118547354	0.78208862605394
POGK	-0.191903239270839	0.10110079297717
HIRIP3	-0.0744091219269382	0.580365901187964
COX4I2	0.0614888625612287	NA
APOD	-0.464224828439859	0.190926187383586
ARPC4-TTLL3	-0.190437481206637	0.204396380771247
FABP3	-0.153105881798713	0.61437161181446
GAPDH	-0.0638944930180277	0.852901786546394
PITPNA	-0.226172114824872	0.259274184081066
UTP14C	0.0674837768556233	0.747668022866106
NDUFV2	-0.0142131520637677	0.969931150171564
ZNF512	-0.235056595498951	0.131396248212558
LCP2	-0.399790578714295	NA
GPAA1	-0.0983167711024143	0.678919910715916
MARCHF6	0.130108253964461	0.487444914188641
HIVEP2	0.127083341480797	0.341317377702536
UPK1A	0.000685099574527687	NA
RNF112	-0.291489507981009	0.0575640200912712
DGAT2	-0.0230103998644821	NA
C6orf58	0.0207026617705765	NA
TRIM29	0.716409477139445	0.0309957452355038
SPDL1	-0.033982613812994	0.633823833352418
NEK6	0.31336363559653	0.200693785966001
IL6ST	-0.067568842136782	0.445266876351412
GJA3	0.0395633800919495	NA
CCDC77	-0.044352749538567	0.786911376424483
FANCA	-0.000218414329108543	NA
CCDC113	-0.0114213538997705	0.92082014453506
PSTPIP1	0.334172407195839	0.342020541706307
EIPR1	-0.010156267670845	0.950962894432011
TENM4	-0.0647449504316313	NA
PKN2	0.00216890551105344	0.988507870862457
LRRC40	-0.107581430830082	0.545866323125918
PPP6C	0.141862788027059	0.0736077699392154
GJB1	0.00139950916811975	NA
HRC	0.0432962857068824	NA
SPC25	0.0381649796917616	NA
GTF2E1	0.0492268274862369	0.61183575798448
EXO1	0.0264694957880936	NA
NELL1	-1.07901664141407	0.152117599226064
RAD54B	-0.00794087395650361	0.943601664134387
ZFHX4	-0.478034257391022	0.0535178626854834
PPP1CA	-0.137399469412959	0.334759319799322
ZNF195	0.0646060321681967	0.552947026332282
EDN3	-0.167851478824667	NA
TTR	0.0230534921093475	NA
ABCB7	0.277966005954132	0.0820538522016618
SMAP2	0.00282989565855047	0.97881544614354
TMEM222	0.141761931574207	0.35706509025147
CDKN1B	-0.097322626739928	0.692816304479222
WNT9B	0.0147976412273871	NA
SLC4A3	0.573591549449865	0.0201230705810044
STON2	-0.249944950203643	NA
FCN1	-0.0439961624037836	0.815694507948567
LOC220729	-0.22664825927771	0.201654124878978
RASL11B	-0.405809670184089	0.110901470010239
DECR2	-0.0112858634687351	0.976548368701729
NBPF22P	-0.0460129259355643	NA
PLCG1	-0.172169523034074	0.0488068349390658
KRAS	-0.161885155312107	0.277411508362146
KPNA6	-0.00663523288165433	0.962706836955494
LARP7	-0.171002492228529	0.0742703394131014
KCTD6	-0.244022483157178	0.106306680949281
FANK1	0.200969377910929	0.200693785966001
HOXA10	0.133620599951196	0.463417013600019
CAMK4	0.0260897147198449	NA
SHH	-0.0354195719217945	NA
DYNC2LI1	-0.25898611347904	0.150140706201773
POU6F2	0.0481795971115908	NA
SLC23A3	-0.0598866793043173	NA
GNGT1	-0.0719410466603395	NA
STX8	0.112085484927681	0.43362838091868
CAB39L	-0.00802481028757558	0.967531811989392
DNAJB6	0.101228091315614	0.142034029698091
TSPAN9	-0.288843275078192	0.0201230705810044
DNAJB14	-0.289867055599573	0.119030493306094
MARF1	0.035255648492441	0.806083700859764
JPH3	0.481671748071853	0.0544135503418418
HSP90AA1	0.187120505704791	0.567609026626793
ATP5MF	-0.00735433321094102	0.95644903192641
SPP1	0.175032759360812	0.909424914559748
RIOK2	-0.188176918940276	0.0941503650976474
SRRM2	0.106327225426602	0.66686160397539
KRT24	-0.0178358691830995	NA
TNKS1BP1	-0.0788599579296924	0.473487944342357
CSF3	-0.0590539187314736	NA
EIF4G1	-0.205829365570406	0.284314930953513
CDC25A	0.0970680346507512	0.332877532689793
CENPE	-0.0155725259118735	NA
TNFRSF11B	1.7321457253002	0.0423311043766944
SPACA5	0.0522543683158531	NA
SEPTIN7	-0.0661307687180887	0.538354528392681
ETV3L	-0.0388709271623468	NA
GABRQ	0.0478719106023203	NA
SH3RF3	-0.114448745461488	0.396372155133496
GPR158	0.0596762756613314	NA
LOC100240735	0.00249123588301611	NA
HJV	-0.0559379808426135	NA
REST	0.0420330796486296	0.760148643820629
GRB2	-0.220255792220475	0.068829719045444
JAKMIP2	0.0182609266997836	NA
SMARCAD1	-0.208069121780239	0.334648444977662
SLC25A51	-0.00654047237451678	0.958016529061498
CD80	0.0675541267456527	NA
DTL	0.0570962670260803	NA
PPP1R15A	-0.253510320996948	0.0991402303938625
RARRES1	0.453908154967484	0.296378254024118
GPR174	-0.0234355478855082	NA
SLC66A3	-0.441393009201153	0.0860504507677543
PAQR3	0.0643273824066852	0.610529557979287
OSBPL2	0.0159196529453226	0.937338886217951
CASQ1	0.0572549402922896	NA
IL18	-0.195638055752556	NA
TBC1D1	0.0528989117179891	0.657803454777654
MN1	0.13362679754452	0.414952274151804
NXF2	0.0166420907182172	NA
ITGAM	-0.536662784309556	0.160767916561533
TTC7B	-0.11467684781053	0.442034514416987
ARHGAP30	-0.529545739151328	NA
CH25H	-0.22287792850215	NA
SAP30BP	-0.0460042316153742	0.635861986068663
RBPJ	-0.238393793956494	0.126538105622085
CCDC105	-0.0217020742668332	NA
CBX5	0.401792335115161	0.156612163565426
ARHGEF25	0.0542907367343987	0.688376611207962
PPIG	0.304339994846643	0.44333485502156
EHMT2	-0.187395083833244	0.0840475600402902
RGS3	0.00636928958834435	0.964589846596445
HLA-J	-0.444281696837177	0.102256790416509
FAM225A	-0.0034430524718557	0.981813762496976
STMND1	-0.0243767551254597	NA
TPK1	-0.140197425923584	0.495603736225246
CMTM2	-0.0154258294884654	NA
SYK	-0.355904370124607	0.175578229677603
HCFC2	-0.00366527816754954	0.97881544614354
KIF12	-0.00985885057402093	NA
TMX2	-0.135178855259385	0.243927654173169
FAM166B	-0.0348314040596303	NA
MAMDC4	0.228574821828963	0.0689461030801063
ELF3	0.0639302186899009	0.595333987815099
TRIM42	-0.0471835258357807	NA
C9orf24	0.170950086125276	0.222825285306891
BRCA1	0.0487998969329925	0.622264152627666
NAPG	0.693447517754081	0.0249717688082143
RPL23AP53	0.040334397036332	0.735281363032508
PIK3R4	-0.0313548605543566	0.896118514727512
DDX6	0.144959236097009	0.633064051065497
NAE1	-0.0616515739645192	0.679301208787438
XPC	-0.152219461141241	0.207320328249494
CAVIN2	-0.0938985958046493	NA
CYP2J2	-0.00652172566592004	NA
MBOAT2	-0.0733435436772339	0.307913177272041
ATF7IP	-0.0567735824463319	0.529002800305916
LRPAP1	-0.091350863347802	0.739337420775173
COL9A1	0.275538755007381	0.739337420775173
PKD1L2	-0.0138315623903441	NA
ITGAV	-0.118840602407463	0.734028056000678
SRSF3	-0.120156005545307	0.69980346542605
FAM110C	0.268645656763446	0.0423311043766944
STXBP3	-0.00315807691583398	0.988522342899794
RPL35A	0.331956284589061	0.460493939124373
SYNJ2	-0.155334700080575	0.190926187383586
TXLNG	0.150001668163091	0.667879360100544
OR10A2	-0.0299384159761391	NA
RUFY2	-0.0629592412146852	0.702248175288954
KLB	0.0919773970009659	NA
PCDH11Y	-0.0559915633405465	NA
RAB4A	-0.00171856037670403	0.984623065298147
CDK9	0.24906722166874	0.285987319704832
NKG7	0.114153820795261	NA
NBEA	-0.108079760186903	0.528316163611448
MFN2	0.00635846232991899	0.969931150171564
RADX	-0.119471262665337	0.381899355185302
RIC1	-0.0168001816335766	0.876172368416865
SNCA	0.125830138290916	0.476565055777327
ALG1	0.0756455316866665	0.435141749815056
AZIN2	0.121727089330329	0.405837777976957
STYX	0.344522373369475	0.104191112605221
ETV7	-0.261278623912098	NA
GLO1	-0.0652916266464262	0.783123390697106
SLC9A5	-0.0305547943109164	0.886287268568066
NUAK1	-0.0332174492884744	0.92655301363082
DSP	0.756465036947062	0.118932197920755
LRRC2	-0.113087147390921	0.741328181186983
LYN	-0.187773031493489	0.263370032130915
UPK1B	0.20468794599682	NA
PDCD5	0.242582435101185	0.0367734241386751
KIAA0087	-0.00860261171955946	NA
TAF1D	-0.084505205620962	0.337091412519618
TMPRSS11A	-0.0776416627387808	NA
PPIA	-0.151231768653802	0.30651097890333
TMC1	0.00241798595341285	NA
CLDN7	0.0521048346053972	0.327025235244359
TMEM125	0.111143494791874	NA
DYNC1H1	0.0718712364320625	0.442902105404028
PRELID2	0.0268165013214734	0.831152774432508
GALNT7	0.621224276639143	0.0704941715162924
ZNF626	0.0223472063540116	0.804337539970398
TBX1	-0.0470748376704341	NA
FAS	-0.348406537629544	0.0812491831101729
APOLD1	0.271589905797881	0.131733668621642
SNAI1	-0.100714668026777	0.798102075538223
CCDC184	-0.0168573120302335	NA
SULT1C4	-0.0758208613701775	NA
PHETA2	-0.0558555144156569	0.764527430482702
ZRANB2	-0.481518072497528	0.104359534087129
FMR1NB	0.0299774887667486	NA
SHISA7	-0.183706603883607	0.806548224734596
NRIP1	-0.044814951367801	0.843557586264845
NSRP1	0.035433326407274	0.79322463330103
XAGE5	-0.0333293442436097	NA
BTNL8	-0.0353825784792555	NA
ZFPM2	0.0638173534609436	0.701498801556545
NOXA1	0.095706632347086	0.688376611207962
NBEAL1	-0.00938686556174844	0.978517739627195
SLC6A4	-0.0173020356649039	NA
SLCO5A1	0.00765742718923929	NA
TPD52L2	-0.445161960453422	0.0552234530736067
ARPP19	-0.13541084031919	0.359354519439301
LIPI	0.0467211043207683	NA
ITGB1	0.0896848057272886	0.626167270845026
SLC38A5	0.219645646812144	0.148140866958722
ATP6V1F	-0.128266279379069	0.321858307113079
OR4N4	0.0097347224626648	NA
PLAU	-1.35869219194547	0.0703912534875364
COMMD4	-0.0178866994593059	0.898243930661701
CCNG2	-0.166694942142094	0.132702434626877
ZNF454	0.004814444316647	NA
HOOK3	0.155672593173304	0.487150715501951
AGPAT3	0.193105904756597	0.224278053504384
CDKN2B	0.313893525843931	NA
YIPF5	-0.0303771118657374	0.900844219958784
TLE3	-0.122122137286997	0.472422336161245
NVL	-0.195742389598719	0.045133799191998
CKAP2	-0.0918341301503297	0.577327132143319
CD8A	-0.17051377358733	NA
TSBP1	0.0204308581663933	NA
TNNI2	0.92355578988424	0.0457161485880478
LOXL2	0.894441646669053	0.0787547782813293
MYO1F	-0.258989396611311	0.300158109381448
NFX1	0.0166002525111132	0.889807069013589
PDE4B	-0.0983988657246517	0.586978132418921
BAGE	0.012103082463491	NA
UBE2H	0.0652224625372781	0.342081472007592
TRPV3	-0.0345499766866211	NA
NOL8	0.170030064994581	0.569575017170037
CREBRF	-0.235583324518841	0.158432972381355
GPR45	-0.0378206190894612	NA
TMEM98	-0.337553951697477	0.18197426908839
PRIM1	-0.0365836410135106	0.686898050496662
PPP2R5D	0.0114742613834427	0.939397723394387
DPY19L2	0.00314445901088689	NA
FTO	-0.0153917023519092	0.928322594520447
FAM71A	0.0165112996984762	NA
ZNRF3	-0.177935481621613	0.101476802140529
BEND7	0.00983005172269392	NA
TIGD2	-0.117828485097451	0.22977449245992
BOLA3	0.20559042775588	0.18509853267037
NTPCR	-0.0257090213701053	0.747149093830315
SNRPC	-0.115309950831888	0.101056069148413
FKBP14	-0.0464920961969573	0.81599632523623
MTCP1	-0.0503120561441701	NA
MS4A12	0.00292491454504278	NA
PLEK2	-0.0422813084135195	0.795107087767261
FHOD1	0.026805914667515	0.863400503575911
FKBP1A	0.00415938303457392	0.966145411970638
PAK4	0.0830715315441378	0.819174942968472
ATP6V1H	0.0228246902242387	0.809312180165301
ZFAT	0.156181172140243	0.192885461570993
ZFYVE26	-0.301959273866971	0.0594806204935123
CEP83	-0.416719310286424	0.045958704976492
ITGA3	0.165399824592083	0.200355530087949
MMP9	-1.93636600251138	0.071670787095864
RIDA	0.300875280685734	0.0266136724645153
KMO	0.00538956847156314	NA
THBS3	0.905427102095428	0.0201230705810044
IDI2-AS1	0.0532812037114027	NA
IGFBP3	0.655358792263868	0.105926872812715
TTTY20	-0.064842580574952	NA
GAREM1	0.644808368834549	0.0201230705810044
RUSC2	0.00140813749522845	0.990493403134604
EDEM3	-0.195009206847892	0.200693785966001
FER	-0.0451416363559848	0.655290533452826
SAAL1	-0.128536726747948	0.39269477643266
FABP1	-0.0307906516035623	NA
CCND1	-0.00693237041332223	0.982756393637549
SERPINE1	0.554394363958855	0.206969742970944
RPL10	0.0687117274397792	0.752391581058896
SCG3	0.0152591177807138	NA
DGAT1	0.205379698488641	0.0704941715162924
WNT2	-0.0295703094380692	NA
WASF1	-0.0478740797732351	0.713443431113578
CCDC32	-0.150335769976711	0.294511615698576
ATG4D	-0.0457896778894247	0.58060595491531
F8	0.119297428492796	0.31655967862983
ARRDC4	-0.0920056239116919	0.610735939540224
RAPGEF5	-0.0425958067624961	0.717194523803129
NAT2	0.163071030979891	0.258093703596791
PRSS35	-0.194461125864641	0.288564827367404
LRP2BP	0.0670907888976627	NA
ALKBH4	-0.00634921615704118	0.975432437679578
SP7	-0.231630814193364	NA
SNAPC4	0.164212607450255	0.434795352169329
MAN1C1	-0.937062103698399	0.0270205114602594
TECTB	-0.0385958357391898	NA
LINC00029	0.0898001784616824	NA
FOXR1	-0.0713062659540097	NA
CPTP	0.0585133780350071	0.577430830301242
ARHGEF17	-0.417885976205165	0.0311390890047215
VPS13C	-0.388606342964558	0.0877923666349508
RPS2	0.0645133776609563	0.774309489335752
RNF145	-0.0229483396824054	0.841464506083615
DKC1	0.041866236813877	0.84947620916257
UGT2A3	0.00988065611326069	NA
CDKN2A	-0.0812260420366606	0.745758749849521
ZNF876P	0.00766391751069542	NA
C22orf15	0.0112585248732772	0.951555289625311
STOM	-0.681499690816993	0.0498515875127318
AHSP	0.0440524579985955	NA
APOA1	-0.00133307084675773	NA
GBP7	0.0117835256822631	NA
PELO	0.278528414107017	0.116759725490747
DDX17	-0.291653797215806	0.392185658163642
EPB42	0.00567664505896191	NA
SMYD3	0.0367828222181274	0.805421878571351
IL10	-0.081814573873286	NA
GRHPR	0.0165609350940886	0.955281596438597
MIA3	0.040148530631709	0.843557586264845
ZNF718	-0.0335861934514671	NA
ASPDH	0.0161803219207745	NA
PLA1A	-0.016369567359409	NA
RAB12	0.158516879320392	0.191361009207608
WNT3A	0.0398338708747398	NA
PURB	0.0345868463915157	0.7920235693473
GLB1L3	0.180527285262349	NA
ZNF267	-0.147819743493965	0.422497434051653
FNBP1	0.03097493933366	0.802775437980848
