PMID,Gene,Effect on gene product,Model,Susceptibility observed,Inferred gene effect,Specificity,Species,pub_date,LastAuthor
22057346,CD59,Removal,Surgical - MM,Detrimental,Protective,Global,Mouse,2011 Nov 6,Robinson WH
27784871,CD9,Removal,Surgical - MML+MCL,No effect,No effect,Global,Mouse,2016,Ochi M
27784871,CD9,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2016,Ochi M
29314205,CDC42,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2018 Feb 15,Wu X
28128866,CDKN1A,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2017 Jan 27,Kuroda R
26546411,CDKN1A,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2015 Nov 7,Kuroda R
29744983,CDKN2A,Removal,Surgical - DMM,No effect,No effect,Cartilage Inducible,Mouse,2018 May 9,Sharpless NE
29744983,CDKN2A,Removal,Spontaneous,No effect,No effect,Cartilage Inducible,Mouse,2018 May 9,Sharpless NE
31644429,CDKN2A,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2019 Oct 22,Brondello JM
22095691,CEBPB,Haploinsufficiency,Surgical - DMM,Protective,Detrimental,Global,Mouse,2011 Nov 17,Kawaguchi H
22095691,CEBPB,Haploinsufficiency,Spontaneous,Protective,Detrimental,Global,Mouse,2011 Nov 17,Kawaguchi H
29074298,CETP,Removal,High Fat Diet,Detrimental,Protective,Global,Mouse,2017 Oct 24,Stoop R
29982662,CFD,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2018 Oct 1,Martel-Pelletier J
32012117,CFD,Removal,Spontaneous,Protective,Detrimental,Global,Mouse,2020 Feb 1,Martel-Pelletier J
30728500,CH25H,Removal,High Fat Diet,Protective,Detrimental,Global,Mouse,2019 Feb 6,Chun JS
30728500,CH25H,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 Feb 6,Chun JS
31222033,CHUK,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2019 Jun 20,Otero M
30716535,CLOCK,Inhibition,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Feb 2,Qian R
25655021,CLOCK,Mutation,Spontaneous,No effect,No effect,Global,Mouse,2015 Sep,Im HJ
25937028,CNR2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2015 Apr 30,Ralston SH
25937028,CNR2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2015 Apr 30,Ralston SH
28898438,COL11A1,Mutation,Cyclic,Detrimental,Protective,Global,Mouse,2017 Oct 31,van der Meulen MCH
27031305,COL11A1,Mutation,Surgical - TMJ,Detrimental,Protective,Global,Mouse,2016 Mar 16,Seegmiller R
15023383,COL11A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2004 Apr,Bridgewater LC
13130470,COL11A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2003 Sep,Li Y
11668593,COL11A2,Removal,Spontaneous,No effect,No effect,Global,Mouse,2001 Oct,Mayne R
18383364,COL1A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2008 Apr,Lipsky PE
27031305,COL2A1,Mutation,Surgical - TMJ,Detrimental,Protective,Global,Mouse,2016 Mar 16,Seegmiller R
23939426,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2013 Aug 9,Seegmiller RE
23518238,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2013 Mar 19,Seegmiller RE
22155431,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2011 Nov 26,Seegmiller RE
22028304,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2012 Feb,Thakker RV
16431140,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2006 Jan 20,Seegmiller RE
15476249,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2004 Oct,Lammi MJ
10943864,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2000 Aug,Vuorio E
10903878,COL2A1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2000 Jul,Metsäranta MP
11171689,COL2A1,Deficiency,Spontaneous,Detrimental,Protective,Global,Mouse,2001 Mar,Helminen HJ
25797646,COL5A1,Removal,Spontaneous,Detrimental,Protective,Tendons,Mouse,2015 Mar 20,Birk DE
22448243,COL6A1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2012 Mar 20,Guilak F
20360435,COL9A1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2010 Apr 1,Griffin TM
18163498,COL9A1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2008 Jan,Setton LA
16947423,COL9A1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2006 Sep,Li Y
17588960,COMP,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2007 Jun 22,Briggs MD
30826358,CORT,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2019 Feb 28,Li W
30826358,CORT,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2019 Feb 28,Li W
24449579,CPB2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2014 Jan,Robinson WH
29074298,CRP,Overexpression,High Fat Diet,Detrimental,Detrimental,Global,Mouse,2017 Oct 24,Stoop R
30248505,CRP,Overexpression,High Fat Diet,Detrimental,Detrimental,Global,Mouse,2018 Sep 22,Stoop R
27415616,CRTAC1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2016 Jul 14,Aliprantis AO
22995428,CSF2,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2012 Sep 20,Hamilton JA
25655021,CSNK1E,Mutation,Spontaneous,No effect,No effect,Global,Mouse,2015 Sep,Im HJ
30912140,CTNNB1,Activated,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2019 Mar 25,Jin H
29686224,CTNNB1,Activated,Spontaneous,Detrimental,Detrimental,Cartilage Inducible,Mouse,2018 Apr 23,Chen D
27018594,CTNNB1,Activated,Surgical - DMM,Protective,Protective,Cartilage Inducible,Mouse,2016 Mar 28,Alman BA
25340802,CTNNB1,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2014 Oct 23,Chen D
18767925,CTNNB1,Activated,Spontaneous,Detrimental,Detrimental,Cartilage Inducible,Mouse,2009 Jan,Chen D
18576323,CTNNB1,Inhibition,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2008 Jul,Chen D
29781506,CTSK,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2018 May 21,Drissi H
22484689,CTSK,Removal,Surgical - ACLT,Protective,Detrimental,Cartilage,Mouse,2012 Mar 30,Duong LT
21968827,CTSK,Removal,Surgical - DMM + MM+ACL,Protective,Detrimental,Global,Mouse,2012 Feb,Ishiguro N
25135253,CXCR2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2014 Aug 18,Dell'Accio F
28108560,CXCR3,Removal,Collagenase,Protective,Detrimental,Global,Mouse,2017 Jan 20,Bernardini G
21652695,CYTL1,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2011 Jun 7,Chun JS
27377816,DCN,Removal,Treadmill,Protective,Detrimental,Global,Mouse,2016 Jul 4,Dreier R
32162789,DCN,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2020 Mar 12,Han L
32162789,DCN,Removal,Surgical - DMM,Detrimental,Protective,Global Inducible,Mouse,2020 Mar 12,Han L
24795271,DDIT3,Removal,Surgical - DMM + MM,Protective,Detrimental,Global,Mouse,2014 May 2,Mizuta H
28334504,DDIT4,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2017 Jun 2,Lotz MK
23912900,DDR1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2013 Aug 4,Miosge N
29073363,DDR2,Removal,Spontaneous,No effect,No effect,Global,Mouse,2017 Oct 26,Franceschi RT
27640147,DDR2,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2016 Sep 16,Xu L
24822272,DDR2,Deficiency,Col11a1 haploinsufficient,Protective,Detrimental,Global,Mouse,2014 Apr,Xu L
21855682,DDR2,Deficiency,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2011 Sep,Li Y
20518074,DDR2,Haploinsufficiency,Surgical - DMM,Protective,Detrimental,Global,Mouse,2010 Sep,Li Y
20518074,DDR2,Haploinsufficiency,Col11a1 haploinsufficient,Protective,Detrimental,Global,Mouse,2010 Sep,Li Y
27505251,EDIL3,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2016 Aug 9,Yang GP
25549200,DIO1,Removal,Spontaneous,No effect,No effect,Global,Mouse,2015 Feb 3,Williams GR
25550340,DIO2,Removal,Treadmill,Protective,Detrimental,Global,Mouse,2014 Dec 30,Lories RJ
25549200,DIO2,Removal,Spontaneous,No effect,No effect,Global,Mouse,2015 Feb 3,Williams GR
25080367,DKK1,Overexpression,Surgical - MM,Protective,Protective,Bone,Mouse,2014 Nov,Cohen-Solal M
22488261,DKK1,Overexpression,Surgical - DMM,Protective,Protective,Cartilage,Mouse,2012 Aug,Chun JS
22488261,DKK2,Overexpression,Surgical - DMM,No effect,No effect,Cartilage,Mouse,2012 Aug,Chun JS
27315306,DLX2,Overexpression,Spontaneous,Detrimental,Detrimental,Neural crest cells,Mouse,2016 Jun 17,Shen G
28759313,DMP1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2017 Jul 31,Sun Y
27766035,DMP1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2016 Sep 15,Feng JQ
25368604,DNAJC3,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2014 Oct 17,Mason DJ
30972197,DNMT3B,Removal,Surgical - TMJ,Detrimental,Protective,Cartilage Inducible,Mouse,2019 Mar 15,Mao JJ
28614801,DNMT3B,Loss of function,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2017 Jun 15,O'Keefe RJ
28614801,DNMT3B,Gain of function,Surgical - DMM,Protective,Protective,Cartilage Inducible,Mouse,2017 Jun 15,O'Keefe RJ
30513362,DOT1L,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2018 Dec 1,Monteagudo S
30513362,DOT1L,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2018 Dec 1,Monteagudo S
25707934,DROSHA,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2015 Feb 21,Chong MW
26562438,DUSP1,Removal,Spontaneous,No effect,No effect,Global,Mouse,2015 Nov 12,Beier F
27780308,EFEMP1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2017 Mar,Lotz MK
27780308,EFEMP1,Removal,Surgical - MML+MCL,Detrimental,Protective,Global,Mouse,2017 Mar,Lotz MK
26980243,EFNB2,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2016 Mar 15,Martel-Pelletier J
29898872,EGFR,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2018 Jun 11,Ouyang H
29024567,EGFR,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2017 Dec 29,Qin L
29024567,EGFR,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2017 Dec 29,Qin L
29024567,EGFR,Removal,Surgical - DMM + MM,Detrimental,Protective,Cartilage,Mouse,2017 Dec 29,Qin L
27911782,EGFR,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2016 Nov 28,Qin L
27911782,EGFR,Removal,Surgical - DMM,Detrimental,Protective,Cartilage,Mouse,2016 Nov 28,Qin L
26120493,EGFR,Inhibition,Surgical - DMM,Detrimental,Protective,Global,Mouse,2014 Aug 5,Qin L
28349987,EGLN1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2017 Mar 28,Mohan S
29691435,ELF3,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage Inducible,Mouse,2018 Apr 24,Otero M
29691435,ELF3,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2018 Apr 24,Otero M
29488175,ENG,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2018 Feb 27,Philip A
30111653,ENPP1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2018 Sep 20,Yang Y
22510396,ENPP1,Mutation,Spontaneous,Detrimental,Protective,Global,Mouse,2012 Apr 17,Pap T
24347567,EPAS1,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2013 Dec 17,Chun JS
21869830,EPAS1,Removal,Surgical - DMM,Protective,Detrimental,Cartilage,Mouse,2011 Aug 26,Chun JS
20495569,EPAS1,Overexpression,Spontaneous,Detrimental,Detrimental,Cartilage,Mouse,2010 May 23,Chun JS
20495569,EPAS1,Haploinsufficiency,Collagenase,Protective,Detrimental,Global,Mouse,2010 May 23,Chun JS
20495569,EPAS1,Haploinsufficiency,Surgical - DMM,Protective,Detrimental,Global,Mouse,2010 May 23,Chun JS
25453723,EPHB4,Overexpression,Surgical - DMM,Protective,Protective,Bone,Mouse,2014 Nov 29,Martel-Pelletier J
25453723,EPHB4,Overexpression,Spontaneous,Protective,Protective,Bone,Mouse,2014 Nov 29,Martel-Pelletier J
22833446,EPHB4,Overexpression,Surgical - DMM,Protective,Protective,Bone,Mouse,2012 Nov,Martel-Pelletier J
19932218,EPYC,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Nov 18,Höök M
26097038,ERG,Removal,Surgical - DMM + MM,Detrimental,Protective,Joints,Mouse,2015 Oct,Iwamoto M
26097038,ERG,Removal,Spontaneous,Detrimental,Protective,Joints,Mouse,2015 Oct,Iwamoto M
24966136,ERRFI1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2014 Oct,Beier F
24670222,ERRFI1,Removal,Surgical - DMM +MM,Detrimental,Protective,Global,Mouse,2014 Mar 27,Williams BO
24550287,ERRFI1,Removal,Spontaneous,Detrimental,Protective,Cartilage,Mouse,2014 Feb 3,Zhang YW
23705804,ERRFI1,Removal,Spontaneous,Detrimental,Protective,Forelimb,Mouse,2013,Dealy CN
16087873,ERRFI1,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2005 Aug 8,Vande Woude GF
19410028,ESR1,Removal,Spontaneous,No effect,No effect,Global,Mouse,2009 Apr 17,Weinans H
19410028,ESR2,Removal,Spontaneous,No effect,No effect,Global,Mouse,2009 Apr 17,Weinans H
29247173,ESRRG,Overexpression,Surgical - DMM,Detrimental,Detrimental,Cartilage,Mouse,2017 Dec 15,Chun JS
29247173,ESRRG,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2017 Dec 15,Chun JS
30327434,EZH2,Removal,Spontaneous,No effect,No effect,Cartilage,Mouse,2018 Oct 16,van Wijnen AJ
31910305,EZH2,Removal,Surgical - MM,Detrimental,Protective,Cartilage Inducible,Mouse,2020 Jan 7,Ouyang H
25200274,F2R,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2014 Dec,Little CB
26698846,F2RL1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2015 Dec 23,Ferrell WR
25200274,F2RL1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2014 Dec,Little CB
21285164,F2RL1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2011 Feb 1,Boileau C
20584806,F2RL1,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2010 Jun 28,McInnes IB
20584806,F2RL1,Removal,Surgical - ACLT,Protective,Detrimental,Global,Mouse,2010 Jun 28,McInnes IB
29549054,FABP4,Removal,High Fat Diet,Protective,Detrimental,Global,Mouse,2018 Mar 13,Yan CH
27480933,FBXO32,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2016 Jul 30,Chun JS
31084709,FCER1A,Removal,Surgical - DMM,Protective,Detrimental,Global,Mouse,2019 May 14,Robinson WH
25748082,FCER1G,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2015 Mar 4,Schett G
25748082,FCGR2B,Removal,Surgical - DMM,No effect,No effect,Global,Mouse,2015 Mar 4,Schett G
25585625,FFAR1,Removal,Surgical - DMM + MM,Detrimental,Protective,Global,Mouse,2015 Jan 13,Wittrant Y
30075737,FFAR4,Removal,Surgical - ACLT,Detrimental,Protective,Global,Mouse,2018 Aug 3,Leung PS
30144364,FGF2,Removal,Spontaneous,Ambiguous,Ambiguous,Global,Mouse,2018 Aug 25,Hurley MM
27732085,FGF2,Overexpression,Spontaneous,Detrimental,Detrimental,Global,Mouse,2016 Oct 12,Hurley MM
19565481,FGF2,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2009 Jul,Vincent T
19565481,FGF2,Removal,Surgical - DMM,Detrimental,Protective,Global,Mouse,2009 Jul,Vincent T
29691281,FGFR1,Removal,Spontaneous,Protective,Detrimental,Cartilage Inducible,Mouse,2018 Apr 24,Chen L
29691281,FGFR1,Removal,Surgical - UAC,Protective,Detrimental,Cartilage Inducible,Mouse,2018 Apr 24,Chen L
22833219,FGFR1,Removal,Spontaneous,Protective,Detrimental,Cartilage Inducible,Mouse,2012 Dec,Chen L
22833219,FGFR1,Removal,Surgical - DMM,Protective,Detrimental,Cartilage Inducible,Mouse,2012 Dec,Chen L
28520086,FGFR3,Activated,Surgical - DMM,Protective,Protective,Cartilage,Mouse,2017 Jun 6,Kitoh H
28520086,FGFR3,Activated,Spontaneous,No effect,No effect,Cartilage,Mouse,2017 Jun 6,Kitoh H
27159076,FGFR3,Removal,Surgical - DMM,Detrimental,Protective,Cartilage Inducible,Mouse,2016 Oct,Chen L
27159076,FGFR3,Activated,Surgical - DMM,Protective,Protective,Cartilage Inducible,Mouse,2016 Oct,Chen L
27159076,FGFR3,Activated,Spontaneous,Protective,Protective,Cartilage Inducible,Mouse,2016 Oct,Chen L
27041063,FGFR3,Removal,Spontaneous,Detrimental,Protective,Cartilage Inducible,Mouse,2016 Apr 4,Chen L
31662319,FGFR3,Removal,Surgical - DMM,Detrimental,Protective,Myeloid Inducible,Mouse,2019 Oct 29,Chen L
31662319,FGFR3,Removal,Spontaneous,Detrimental,Protective,Myeloid Inducible,Mouse,2019 Oct 29,Chen L
16006154,FMOD,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2005 Sep,Ameye LG
12089156,FMOD,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2002 Jun 27,Chakravarti S
11978731,FMOD,Removal,Spontaneous,Detrimental,Protective,Global,Mouse,2002 May,Young MF
29870552,FN1,Mutation,Surgical - MM+Forced Exercise,Detrimental,Protective,Cartilage,Mouse,2018 Jun 5,Costell M
29444976,FOXO1,Removal,Treadmill,Detrimental,Protective,Cartilage,Mouse,2018 Feb 14,Lotz MK
