ratID	HumanID	ratGeneSymbol	HumanGeneSymbol
ENSRNOG00000027232	ENSG00000253873	Pcdhga11	PCDHGA11
ENSRNOG00000007027	ENSG00000019991	Hgf	HGF
ENSRNOG00000006703	ENSG00000197024	Zfp398	ZNF398
ENSRNOG00000019575	ENSG00000164620	Rell2	RELL2
ENSRNOG00000001647	ENSG00000157557	Ets2	ETS2
ENSRNOG00000057389	ENSG00000188542	Dusp28	DUSP28
ENSRNOG00000003508	ENSG00000113719	Ergic1	ERGIC1
ENSRNOG00000047768	ENSG00000172037	Lamb2	LAMB2
ENSRNOG00000021657	ENSG00000179598	Pld6	PLD6
ENSRNOG00000028518	ENSG00000151379	Msgn1	MSGN1
ENSRNOG00000004505	ENSG00000141905	Nfic	NFIC
ENSRNOG00000009675	ENSG00000198752	Cdc42bpb	CDC42BPB
ENSRNOG00000018762	ENSG00000130363	Rsph3	RSPH3
ENSRNOG00000038902	ENSG00000176731	RGD1565641	C8orf59
ENSRNOG00000024780	ENSG00000141219	MGC95210	C17orf80
ENSRNOG00000053524	ENSG00000207056	RF00003	RNU1-8P
ENSRNOG00000013963	ENSG00000134352	Il6st	IL6ST
ENSRNOG00000037217	ENSG00000186364	Nudt17	NUDT17
ENSRNOG00000019212	ENSG00000166340	Tpp1	TPP1
ENSRNOG00000057043	ENSG00000197938	Olr1549	OR5H2
ENSRNOG00000028248	ENSG00000157578	Lca5l	LCA5L
ENSRNOG00000053524	ENSG00000201737	RF00003	RNU1-133P
ENSRNOG00000042286	ENSG00000117697	Nsl1	NSL1
ENSRNOG00000014185	ENSG00000151005	Tktl2	TKTL2
ENSRNOG00000005151	ENSG00000138036	Dync2li1	DYNC2LI1
ENSRNOG00000024707	ENSG00000078900	Tp73	TP73
ENSRNOG00000020182	ENSG00000013364	Mvp	MVP
ENSRNOG00000034107	ENSG00000182307	LOC681282	C8orf33
ENSRNOG00000031766	ENSG00000198727	Mt-cyb	MT-CYB
ENSRNOG00000019804	ENSG00000149541	B3gat3	B3GAT3
ENSRNOG00000009450	ENSG00000138622	Hcn4	HCN4
ENSRNOG00000015850	ENSG00000162444	Rbp7	RBP7
ENSRNOG00000033391	ENSG00000232237	Ascl5	ASCL5
ENSRNOG00000029971	ENSG00000198786	Mt-nd5	MT-ND5
ENSRNOG00000028130	ENSG00000221937	Tas2r144	TAS2R40
ENSRNOG00000013103	ENSG00000166796	Ldhc	LDHC
ENSRNOG00000001928	ENSG00000196083	Il1rap	IL1RAP
ENSRNOG00000045918	ENSG00000008083	Jarid2	JARID2
ENSRNOG00000056879	ENSG00000273544	RF00405	SNORA44
ENSRNOG00000004649	ENSG00000125538	Il1b	IL1B
ENSRNOG00000002657	ENSG00000116711	Pla2g4a	PLA2G4A
ENSRNOG00000006004	ENSG00000134686	Phc2	PHC2
ENSRNOG00000042229	ENSG00000213203	AC099444.2	GIMAP1
ENSRNOG00000050654	ENSG00000181761	Olr526	OR8H3
ENSRNOG00000015716	ENSG00000169347	Gp2	GP2
ENSRNOG00000004438	ENSG00000018236	Cntn1	CNTN1
ENSRNOG00000020460	ENSG00000175334	Banf1	BANF1
ENSRNOG00000050521	ENSG00000112212	Tspo2	TSPO2
ENSRNOG00000019177	ENSG00000146005	Psd2	PSD2
ENSRNOG00000022890	ENSG00000203963	RGD1562532	C1orf141
ENSRNOG00000011471	ENSG00000102678	Fgf9	FGF9
ENSRNOG00000013110	ENSG00000164978	Nudt2	NUDT2
ENSRNOG00000019243	ENSG00000163521	Glb1l	GLB1L
ENSRNOG00000061526	ENSG00000104941	Rsph6a	RSPH6A
ENSRNOG00000035461	ENSG00000283990	Mirlet7c2	MIRLET7A3
ENSRNOG00000020821	ENSG00000105270	Clip3	CLIP3
ENSRNOG00000053812	ENSG00000143416	Selenbp1	SELENBP1
ENSRNOG00000009773	ENSG00000118402	Elovl4	ELOVL4
ENSRNOG00000003357	ENSG00000168542	Col3a1	COL3A1
ENSRNOG00000014187	ENSG00000140443	Igf1r	IGF1R
ENSRNOG00000013241	ENSG00000108242	Cyp2c24	CYP2C18
ENSRNOG00000013969	ENSG00000135541	Ahi1	AHI1
ENSRNOG00000014834	ENSG00000120616	Epc1	EPC1
ENSRNOG00000010492	ENSG00000167182	Sp2	SP2
ENSRNOG00000025938	ENSG00000187772	Lin28b	LIN28B
ENSRNOG00000047493	ENSG00000084453	Slco1a4	SLCO1A2
ENSRNOG00000012604	ENSG00000173928	Swsap1	SWSAP1
ENSRNOG00000055519	ENSG00000120784	AABR07002868.1	ZFP30
ENSRNOG00000006068	ENSG00000139173	Tmem117	TMEM117
ENSRNOG00000026898	ENSG00000273274	Zbtb8b	ZBTB8B
ENSRNOG00000007038	ENSG00000149972	Cntn5	CNTN5
ENSRNOG00000039404	ENSG00000211783	AABR07017662.1	TRAV9-1
ENSRNOG00000049797	ENSG00000188389	NEWGENE_1311658	PDCD1
ENSRNOG00000037124	ENSG00000166262	Fam227b	FAM227B
ENSRNOG00000022619	ENSG00000167996	Fth1	FTH1
ENSRNOG00000033372	ENSG00000114796	Klhl24	KLHL24
ENSRNOG00000005045	ENSG00000154001	Ppp2r5e	PPP2R5E
ENSRNOG00000000963	ENSG00000181234	Tmem132c	TMEM132C
ENSRNOG00000014282	ENSG00000092067	Cebpe	CEBPE
ENSRNOG00000015502	ENSG00000156875	Hiatl3	MFSD14A
ENSRNOG00000013889	ENSG00000166557	Tmed3	TMED3
ENSRNOG00000004521	ENSG00000185246	Prpf39	PRPF39
ENSRNOG00000015304	ENSG00000130748	Tmem160	TMEM160
ENSRNOG00000000979	ENSG00000184992	Bri3bp	BRI3BP
ENSRNOG00000022669	ENSG00000204936	Cd177	CD177
ENSRNOG00000001271	ENSG00000132357	Card6	CARD6
ENSRNOG00000006033	ENSG00000159674	Spon2	SPON2
ENSRNOG00000001592	ENSG00000156261	Cct8	CCT8
ENSRNOG00000010516	ENSG00000122861	Plau	PLAU
ENSRNOG00000011745	ENSG00000256206	Psma1	AC018523.2
ENSRNOG00000016687	ENSG00000179954	Ssc5d	SSC5D
ENSRNOG00000001964	ENSG00000196776	Cd47	CD47
ENSRNOG00000000104	ENSG00000051596	Thoc3	THOC3
ENSRNOG00000031769	ENSG00000170791	Chchd7	CHCHD7
ENSRNOG00000011909	ENSG00000155903	Rasa2	RASA2
ENSRNOG00000060127	ENSG00000281808	RF00560	RF00560
ENSRNOG00000031485	ENSG00000254986	Dpp3	DPP3
ENSRNOG00000005730	ENSG00000168300	Pcmtd1	PCMTD1
ENSRNOG00000007680	ENSG00000112214	Fhl5	FHL5
ENSRNOG00000021119	ENSG00000126249	Pdcd2l	PDCD2L
ENSRNOG00000046040	ENSG00000187080	Olr1445	OR2AK2
ENSRNOG00000019592	ENSG00000132321	AABR07068304.1	IQCA1
ENSRNOG00000015636	ENSG00000119333	Wdr34	WDR34
ENSRNOG00000047314	ENSG00000167900	Tk1	TK1
ENSRNOG00000060127	ENSG00000212461	RF00560	RF00560
ENSRNOG00000015416	ENSG00000173559	Nabp1	NABP1
ENSRNOG00000015235	ENSG00000148690	Fra10ac1	FRA10AC1
ENSRNOG00000002134	ENSG00000183347	Gbp6	GBP6
ENSRNOG00000009564	ENSG00000176532	Prr15	PRR15
ENSRNOG00000020411	ENSG00000107651	Sec23ip	SEC23IP
ENSRNOG00000011178	ENSG00000109771	Lrp2bp	LRP2BP
ENSRNOG00000010930	ENSG00000168883	Usp39	USP39
ENSRNOG00000027938	ENSG00000165757	Jcad	JCAD
ENSRNOG00000013372	ENSG00000145642	Shisal2b	SHISAL2B
ENSRNOG00000014230	ENSG00000166963	Map1a	MAP1A
ENSRNOG00000026898	ENSG00000254553	Zbtb8b	AL033529.1
ENSRNOG00000026157	ENSG00000006757	Pnpla4	PNPLA4
ENSRNOG00000004588	ENSG00000100426	Zbed4	ZBED4
ENSRNOG00000017876	ENSG00000168724	Dnajc21	DNAJC21
ENSRNOG00000025745	ENSG00000144230	Gpr17	GPR17
ENSRNOG00000048917	ENSG00000106006	LOC100911511	HOXA6
ENSRNOG00000004192	ENSG00000186517	Arhgap30	ARHGAP30
ENSRNOG00000029558	ENSG00000205022	Pabpn1l	PABPN1L
ENSRNOG00000045989	ENSG00000206172	Hba-a3	HBA1
ENSRNOG00000016638	ENSG00000078369	Gnb1	GNB1
ENSRNOG00000013225	ENSG00000124490	Crisp2	CRISP2
ENSRNOG00000029773	ENSG00000149311	Atm	ATM
ENSRNOG00000017113	ENSG00000082258	Ccnt2	CCNT2
ENSRNOG00000052232	ENSG00000174151	Cyb561d1	CYB561D1
ENSRNOG00000050654	ENSG00000181693	Olr526	OR8H1
ENSRNOG00000024630	ENSG00000216588	Igsf23	IGSF23
ENSRNOG00000060665	ENSG00000196526	Afap1	AFAP1
ENSRNOG00000017963	ENSG00000005801	AABR07001099.1	ZNF195
ENSRNOG00000020066	ENSG00000113209	Pcdhb11	PCDHB5
ENSRNOG00000053488	ENSG00000200108	RF00026	RNU6-774P
ENSRNOG00000008394	ENSG00000254979	Prg2	AP000781.2
ENSRNOG00000017963	ENSG00000197013	AABR07001099.1	ZNF429
ENSRNOG00000038758	ENSG00000205883	Defb30	DEFB135
ENSRNOG00000011484	ENSG00000198755	AABR07049821.1	RPL10A
ENSRNOG00000049482	ENSG00000211803	AABR07017681.1	TRAV23DV6
ENSRNOG00000021085	ENSG00000168066	Sf1	SF1
ENSRNOG00000021119	ENSG00000266953	Pdcd2l	AC092073.1
ENSRNOG00000046741	ENSG00000198399	Itsn2	ITSN2
ENSRNOG00000015359	ENSG00000124143	Arhgap40	ARHGAP40
ENSRNOG00000007359	ENSG00000115271	Gca	GCA
ENSRNOG00000016177	ENSG00000168077	Scara3	SCARA3
ENSRNOG00000004421	ENSG00000118600	Rxylt1	RXYLT1
ENSRNOG00000052775	ENSG00000205765	RGD1305938	C5orf51
ENSRNOG00000008394	ENSG00000186652	Prg2	PRG2
ENSRNOG00000009431	ENSG00000136111	Tbc1d4	TBC1D4
ENSRNOG00000060127	ENSG00000212589	RF00560	RF00560
ENSRNOG00000032310	ENSG00000196262	AABR07004183.1	PPIA
ENSRNOG00000036260	ENSG00000284027	Mir497	MIR497
ENSRNOG00000031208	ENSG00000131446	Mgat1	MGAT1
ENSRNOG00000045989	ENSG00000188536	Hba-a3	HBA2
ENSRNOG00000017348	ENSG00000109471	Il2	IL2
ENSRNOG00000008680	ENSG00000129038	Loxl1	LOXL1
ENSRNOG00000050654	ENSG00000181767	Olr526	OR8H2
ENSRNOG00000013906	ENSG00000186281	Gpat2	GPAT2
ENSRNOG00000051929	ENSG00000109132	Phox2b	PHOX2B
ENSRNOG00000055607	ENSG00000252079	RF00026	RNU6-327P
ENSRNOG00000021913	ENSG00000185792	Nlrp9	NLRP9
ENSRNOG00000052873	ENSG00000168743	Npnt	NPNT
ENSRNOG00000003866	ENSG00000121966	Cxcr4	CXCR4
ENSRNOG00000014288	ENSG00000115414	Fn1	FN1
ENSRNOG00000014154	ENSG00000143621	Ilf2	ILF2
ENSRNOG00000014743	ENSG00000063854	Hagh	HAGH
ENSRNOG00000061218	ENSG00000204704	Olr1662	OR2W1
ENSRNOG00000016100	ENSG00000171530	AABR07058934.1	TBCA
ENSRNOG00000008518	ENSG00000111305	Gsg1	GSG1
ENSRNOG00000059245	ENSG00000182185	Rad51b	RAD51B
ENSRNOG00000010821	ENSG00000100124	Ankrd54	ANKRD54
ENSRNOG00000021274	ENSG00000101311	Fermt1	FERMT1
ENSRNOG00000013241	ENSG00000276490	Cyp2c24	AL583836.1
ENSRNOG00000021578	ENSG00000127578	Wfikkn1	WFIKKN1
ENSRNOG00000057537	ENSG00000201772	RF00392	SNORA5C
ENSRNOG00000023951	ENSG00000111490	Tbc1d30	TBC1D30
ENSRNOG00000051970	ENSG00000161798	Aqp5	AQP5
ENSRNOG00000025100	ENSG00000263528	Ikbke	IKBKE
ENSRNOG00000029884	ENSG00000280314	Olr486	OR8K3
ENSRNOG00000026564	ENSG00000158079	Ptpdc1	PTPDC1
ENSRNOG00000003098	ENSG00000007062	Prom1	PROM1
ENSRNOG00000003786	ENSG00000000003	Tspan6	TSPAN6
ENSRNOG00000031956	ENSG00000234469	Cldn34c4	CLDN34
ENSRNOG00000018755	ENSG00000131069	Acss2	ACSS2
ENSRNOG00000036562	ENSG00000199168	Mir374b	MIR374A
ENSRNOG00000005362	ENSG00000258052	Rab3ip	AC025263.2
ENSRNOG00000029995	ENSG00000122557	Herpud2	HERPUD2
ENSRNOG00000031331	ENSG00000171049	Fpr3	FPR2
ENSRNOG00000046330	ENSG00000113269	AABR07029581.1	RNF130
ENSRNOG00000014741	ENSG00000215262	Kcnu1	KCNU1
ENSRNOG00000000585	ENSG00000123505	Amd1	AMD1
ENSRNOG00000055924	ENSG00000206898	RF00432	RF00432
ENSRNOG00000060627	ENSG00000231587	RF00153	SNORD62B
ENSRNOG00000061880	ENSG00000207114	RF00026	RNU6-348P
ENSRNOG00000013133	ENSG00000125798	Foxa2	FOXA2
ENSRNOG00000048418	ENSG00000124233	LOC108348183	SEMG1
ENSRNOG00000015670	ENSG00000079950	Stx7	STX7
ENSRNOG00000019301	ENSG00000173239	Lipm	LIPM
ENSRNOG00000014683	ENSG00000115598	Il1rl2	IL1RL2
ENSRNOG00000055924	ENSG00000206853	RF00432	RF00432
ENSRNOG00000003956	ENSG00000047648	Arhgap6	ARHGAP6
ENSRNOG00000004273	ENSG00000185885	Ifitm1	IFITM1
ENSRNOG00000008841	ENSG00000085840	Orc1	ORC1
ENSRNOG00000007127	ENSG00000163093	Bbs5	BBS5
ENSRNOG00000010079	ENSG00000164879	Car3	CA3
ENSRNOG00000003905	ENSG00000073969	Nsf	NSF
ENSRNOG00000016953	ENSG00000140835	Chst4	CHST4
ENSRNOG00000061880	ENSG00000207449	RF00026	RNU6-19P
ENSRNOG00000060325	ENSG00000143768	Lefty2	LEFTY2
ENSRNOG00000011070	ENSG00000114450	Gnb4	GNB4
ENSRNOG00000011875	ENSG00000163581	Slc2a2	SLC2A2
ENSRNOG00000003620	ENSG00000007933	Fmo3	FMO3
ENSRNOG00000013247	ENSG00000256574	Olr823	OR13A1
ENSRNOG00000023320	ENSG00000117472	Tspan1	TSPAN1
ENSRNOG00000008898	ENSG00000155275	Trmt44	TRMT44
ENSRNOG00000012347	ENSG00000179348	Gata2	GATA2
ENSRNOG00000006761	ENSG00000107295	Sh3gl2	SH3GL2
ENSRNOG00000055753	ENSG00000207093	RF00108	SNORD116-8
ENSRNOG00000059765	ENSG00000110881	Asic1	ASIC1
ENSRNOG00000056626	ENSG00000212589	RF00560	RF00560
ENSRNOG00000055928	ENSG00000222320	RF00026	RNU6-1050P
ENSRNOG00000021198	ENSG00000273802	LOC100910200	HIST1H2BG
ENSRNOG00000005679	ENSG00000078098	Fap	FAP
ENSRNOG00000053322	ENSG00000195024	RF00003	RNU1-15P
ENSRNOG00000025302	ENSG00000184661	Cdca2	CDCA2
ENSRNOG00000055845	ENSG00000201882	RF00493	RF00493
ENSRNOG00000055947	ENSG00000201428	RF00100	RN7SKP71
ENSRNOG00000058875	ENSG00000251719	RF00026	RNU6-408P
ENSRNOG00000008135	ENSG00000168907	Pla2g4f	PLA2G4F
ENSRNOG00000043102	ENSG00000266074	Bahcc1	BAHCC1
ENSRNOG00000048508	ENSG00000197849	LOC100909862	OR8G1
ENSRNOG00000004075	ENSG00000161973	Ccdc42	CCDC42
ENSRNOG00000010607	ENSG00000212864	Rnf208	RNF208
ENSRNOG00000049869	ENSG00000147059	LOC103694745	SPIN2A
ENSRNOG00000060325	ENSG00000243709	Lefty2	LEFTY1
ENSRNOG00000012514	ENSG00000107362	Abhd17b	ABHD17B
ENSRNOG00000012965	ENSG00000130775	Themis2	THEMIS2
ENSRNOG00000009712	ENSG00000117308	Gale	GALE
ENSRNOG00000015877	ENSG00000183733	Figla	FIGLA
ENSRNOG00000008960	ENSG00000070388	Fgf22	FGF22
ENSRNOG00000012648	ENSG00000166143	Ppp1r14d	PPP1R14D
ENSRNOG00000031993	ENSG00000198056	Prim1	PRIM1
ENSRNOG00000045965	ENSG00000145911	LOC103689949	N4BP3
ENSRNOG00000026953	ENSG00000181656	Gpr88	GPR88
ENSRNOG00000003403	ENSG00000115084	Slc35f5	SLC35F5
ENSRNOG00000055924	ENSG00000207177	RF00432	RF00432
ENSRNOG00000012767	ENSG00000155970	Micu3	MICU3
ENSRNOG00000025608	ENSG00000121207	Lrat	LRAT
ENSRNOG00000007493	ENSG00000196584	Xrcc2	XRCC2
ENSRNOG00000006126	ENSG00000108559	Nup88	NUP88
ENSRNOG00000061880	ENSG00000207200	RF00026	RNU6-45P
ENSRNOG00000037399	ENSG00000203933	LOC688842	CXorf66
ENSRNOG00000014970	ENSG00000117245	Kif17	KIF17
ENSRNOG00000001090	ENSG00000133121	Stard13	STARD13
ENSRNOG00000061066	ENSG00000251841	RF00026	RNU6-1334P
ENSRNOG00000057771	ENSG00000223263	RF00026	RNU6-387P
ENSRNOG00000004632	ENSG00000183395	Pmch	PMCH
ENSRNOG00000027096	ENSG00000172543	Ctsw	CTSW
ENSRNOG00000027478	ENSG00000182591	Krtap11-1	KRTAP11-1
ENSRNOG00000045929	ENSG00000160284	Spatc1l	SPATC1L
ENSRNOG00000061880	ENSG00000206709	RF00026	RNU6-1080P
ENSRNOG00000007256	ENSG00000123119	Necab1	NECAB1
ENSRNOG00000056626	ENSG00000212461	RF00560	RF00560
ENSRNOG00000017737	ENSG00000149091	Dgkz	DGKZ
ENSRNOG00000024623	ENSG00000138813	RGD1309170	C4orf17
ENSRNOG00000058257	ENSG00000201386	RF00026	RNU6-1163P
ENSRNOG00000053060	ENSG00000133858	Zfc3h1	ZFC3H1
ENSRNOG00000012204	ENSG00000142687	LOC100294508	KIAA0319L
ENSRNOG00000048320	ENSG00000174886	Ndufa11	NDUFA11
ENSRNOG00000007681	ENSG00000169925	Brd3	BRD3
ENSRNOG00000056626	ENSG00000281808	RF00560	RF00560
ENSRNOG00000050158	ENSG00000177685	Cracr2b	CRACR2B
ENSRNOG00000007663	ENSG00000137154	LOC100911372	RPS6
ENSRNOG00000005015	ENSG00000029725	Rabep1	RABEP1
ENSRNOG00000054385	ENSG00000167550	Rhebl1	RHEBL1
ENSRNOG00000020412	ENSG00000087365	Sf3b2	SF3B2
ENSRNOG00000008467	ENSG00000165923	Agbl2	AGBL2
ENSRNOG00000001157	ENSG00000177398	Umodl1	UMODL1
ENSRNOG00000009233	ENSG00000168876	Ankrd49	ANKRD49
ENSRNOG00000026912	ENSG00000164265	Scgb3a2	SCGB3A2
ENSRNOG00000025857	ENSG00000166930	Ms4a5	MS4A5
ENSRNOG00000056904	ENSG00000115207	Gtf3c2	GTF3C2
ENSRNOG00000012757	ENSG00000136098	Nek3	NEK3
ENSRNOG00000010714	ENSG00000104760	Fgl1	FGL1
ENSRNOG00000002291	ENSG00000165288	Brwd3	BRWD3
ENSRNOG00000061066	ENSG00000207023	RF00026	RNU6-975P
ENSRNOG00000057414	ENSG00000206615	RF00026	RNU6-338P
ENSRNOG00000004273	ENSG00000142089	Ifitm1	IFITM3
ENSRNOG00000048418	ENSG00000124157	LOC108348183	SEMG2
ENSRNOG00000058257	ENSG00000252944	RF00026	RNU6-897P
ENSRNOG00000004222	ENSG00000169906	S100g	S100G
ENSRNOG00000048130	ENSG00000114268	LOC100911725	PFKFB4
ENSRNOG00000028299	ENSG00000179046	Triml2	TRIML2
ENSRNOG00000015117	ENSG00000122477	Lrrc39	LRRC39
ENSRNOG00000057971	ENSG00000207065	RF00020	RNU5A-2P
ENSRNOG00000038212	ENSG00000170677	Socs6	SOCS6
ENSRNOG00000049869	ENSG00000186787	LOC103694745	SPIN2B
ENSRNOG00000053089	ENSG00000221719	RF00334	SNORA3C
ENSRNOG00000053089	ENSG00000212607	RF00334	SNORA3B
ENSRNOG00000011624	ENSG00000075043	Kcnq2	KCNQ2
ENSRNOG00000037795	ENSG00000203985	Ldlrad1	LDLRAD1
ENSRNOG00000024470	ENSG00000074695	Lman1	LMAN1
ENSRNOG00000007979	ENSG00000144362	Phospho2	PHOSPHO2
ENSRNOG00000009474	ENSG00000198231	Ddx42	DDX42
ENSRNOG00000018205	ENSG00000114999	Ttl	TTL
ENSRNOG00000053486	ENSG00000144045	AC117925.2	DQX1
ENSRNOG00000055753	ENSG00000275529	RF00108	SNORD116-4
ENSRNOG00000010078	ENSG00000104450	Spag1	SPAG1
ENSRNOG00000061101	ENSG00000147223	Ripply1	RIPPLY1
ENSRNOG00000017869	ENSG00000140968	Irf8	IRF8
ENSRNOG00000014658	ENSG00000102935	Zfp423	ZNF423
ENSRNOG00000005184	ENSG00000182117	Nop10	NOP10
ENSRNOG00000015321	ENSG00000079931	Moxd1	MOXD1
ENSRNOG00000055800	ENSG00000206627	RF00026	RNU6-969P
ENSRNOG00000000871	ENSG00000102245	Cd40lg	CD40LG
ENSRNOG00000046185	ENSG00000186119	LOC686677	OR5D18
ENSRNOG00000058670	ENSG00000175707	LOC100911383	KDF1
ENSRNOG00000052880	ENSG00000135406	Prph	PRPH
ENSRNOG00000053089	ENSG00000221148	RF00334	RF00334
ENSRNOG00000018069	ENSG00000129460	Ngdn	NGDN
ENSRNOG00000047396	ENSG00000145916	LOC103689927	RMND5B
ENSRNOG00000015085	ENSG00000268434	Dmpk	AC011530.1
ENSRNOG00000003443	ENSG00000105610	Klf1	KLF1
ENSRNOG00000055753	ENSG00000207001	RF00108	SNORD116-2
ENSRNOG00000055753	ENSG00000207133	RF00108	SNORD116-7
ENSRNOG00000039241	ENSG00000047188	Ythdc2	YTHDC2
ENSRNOG00000018940	ENSG00000156222	Slc28a1	SLC28A1
ENSRNOG00000017130	ENSG00000187010	Rhd	RHD
ENSRNOG00000012163	ENSG00000116786	Plekhm2	PLEKHM2
ENSRNOG00000001052	ENSG00000174032	Slc25a30	SLC25A30
ENSRNOG00000014481	ENSG00000111863	Adtrp	ADTRP
ENSRNOG00000055924	ENSG00000207147	RF00432	RF00432
ENSRNOG00000058875	ENSG00000251931	RF00026	RNU6-871P
ENSRNOG00000015669	ENSG00000213859	Kctd11	KCTD11
ENSRNOG00000007345	ENSG00000126016	Amot	AMOT
ENSRNOG00000011330	ENSG00000172831	Ces2a	CES2
ENSRNOG00000019282	ENSG00000135018	Ubqln1	UBQLN1
ENSRNOG00000058628	ENSG00000197617	Vom1r96	VN1R5
ENSRNOG00000003931	ENSG00000141337	Arsg	ARSG
