accession	comparison	comparisonsText
GSE108035	2	chondrocyte-like cells (ChiPS)vschondrocyte cell line:  HC-402-05a
GSE108035	3	chondrocyte-like cells (ChiPS)vsprimary articular cartilage chondrocyte cell culture
GSE21959	1	HSF (healthy synovial fibroblasts) gene expression under hypoxic conditionsvsHSF (healthy synovial fibroblasts) gene expression under normoxic conditions
GSE21959	2	RASF (rheumatoid arthritis synovial fibroblasts) gene expression under hypoxic conditionsvsRASF (rheumatoid arthritis synovial fibroblasts) gene expression under normoxic conditions
GSE24742	1	EULAR Good-responder.12 weeks of RTX therapyvsEULAR Good-responder.baseline
GSE24742	2	EULAR Moderate-responder.12 weeks of RTX therapyvsEULAR Moderate-responder.baseline
GSE24742	3	EULAR Poor-responder.12 weeks of RTX therapyvsEULAR Poor-responder.baseline
GSE74668	1	treated with IL-17A _4hvsnon-treated control_4h
E-GEOD-57723	1	TNFvsnone
E-GEOD-57723	2	co-culture with fibroblastvsnone
E-GEOD-57723	3	TNF and co-culture with fibroblastvsnone
E-GEOD-83930	1	Pre-miR-17vsNC-Pre-miR
GSE100268	1	HPIP_KOvsControl
E-GEOD-10024	1	NDSF stimulated chondrocytesvsunstimulated chondrocytes
E-GEOD-10024	2	RASF stimulated chondrocytesvsunstimulated chondrocytes
E-GEOD-12860	1	RASF stimulated chondrocytesvsNDSF stimulated chondrocytes
E-GEOD-12860	2	Chondrocytes stimulated with prednisolone (solu-decortin) treated RASFvsNDSF stimulated chondrocytes
E-GEOD-12860	3	Chondrocytes stimulated with prioxicam treated RASFvsNDSF stimulated chondrocytes
E-GEOD-12860	4	Chondrocytes stimulated with azathioprine (imurek) treated RASFvsNDSF stimulated chondrocytes
E-GEOD-12860	5	Chondrocytes stimulated with diclofenac treated RASFvsNDSF stimulated chondrocytes
E-GEOD-12860	6	Chondrocytes stimulated with methylprednisolone (urbason) treated RASFvsNDSF stimulated chondrocytes
E-GEOD-12860	7	Chondrocytes stimulated with sodium aurothiomalate (tauredon) treated RASFvsNDSF stimulated chondrocytes
E-GEOD-12860	8	Chondrocytes stimulated with chloroquine phosphate (resochin) treated RASFvsNDSF stimulated chondrocytes
E-GEOD-14359	1	conventional ostosarcoma tissuevsNon-neoplastic primary osteoblast cells with limited live span in vitro
E-GEOD-14359	2	metastatis tissuevsconventional ostosarcoma tissue
E-GEOD-1919	1	rheumatoid arthritis.disease modifying antirheumatic drugsvsrheumatoid arthritis.non-steroidal anti-inflammatory drugs
E-GEOD-1919	2	rheumatoid arthritis.steroids, disease modifying antirheumatic drugs and non-steroidal anti-inflammatory drugsvsrheumatoid arthritis.non-steroidal anti-inflammatory drugs
E-GEOD-1919	3	rheumatoid arthritis.steroids, disease modifying antirheumatic drugs and non-steroidal anti-inflammatory drugsvsrheumatoid arthritis.disease modifying antirheumatic drugs
E-GEOD-1919	4	rheumatoid arthritis.disease modifying antirheumatic drugsvsnormal.none
E-GEOD-1919	5	rheumatoid arthritis.steroids, disease modifying antirheumatic drugs and non-steroidal anti-inflammatory drugsvsnormal.none
E-GEOD-1919	6	rheumatoid arthritis.non-steroidal anti-inflammatory drugsvsnormal.none
E-GEOD-1919	7	osteoarthritis.non-steroidal anti-inflammatory drugsvsnormal.none
E-GEOD-1919	8	osteoarthritis.nonevsnormal.none
E-GEOD-1919	9	osteoarthritis.non-steroidal anti-inflammatory drugsvsosteoarthritis.none
E-GEOD-19664	1	Pooled_6_MSCs_d3vsPooled_5_MSCs_d0
E-GEOD-19664	2	Pooled_7_MSCs_d7vsPooled_5_MSCs_d0
E-GEOD-19664	3	Pooled_8_MSCs_d14vsPooled_5_MSCs_d0
E-GEOD-19664	4	Pooled_6_MSCs_d3vsPooled_5_MSCs_d0
E-GEOD-19664	5	Pooled_7_MSCs_d7vsPooled_6_MSCs_d3
E-GEOD-19664	6	Pooled_8_MSCs_d14vsPooled_7_MSCs_d7
E-GEOD-19664	7	Pooled_10_Chondros_d3vsPooled_9_Chondros_d0
E-GEOD-19664	8	Pooled_11_Chondros_d7vsPooled_10_Chondros_d3
E-GEOD-19664	9	Pooled_12_Chondros_d14vsPooled_11_Chondros_d7
E-GEOD-43923	1	osteophytic cartilagevsarticular cartilage
E-GEOD-51812	1	Chondrocyte_condensation_6wks_LCMvsArticular_chondrocytes_17wks
E-GEOD-51812	2	Remaining limb cells_6wks_LCMvsArticular_chondrocytes_17wks
E-GEOD-68760	1	X50.µg.ml.Galectin.1.for.24h.in.starvation.mediumvsuntreated
E-GEOD-82107	1	osteoarthritisvsHealthy control
E-GEOD-9451	1	chondrocytevsiliac
E-GEOD-9451	2	osteoblastvsiliac
E-GEOD-9451	3	fibroblastvsiliac
E-GEOD-9451	4	adipocytevsiliac
E-MEXP-2019	1	intermediate cell derived from dendritic cellsvsdendritic cell
E-MEXP-2019	2	osteoclast derived from dendritic cellsvsintermediate cell derived from dendritic cells
E-MEXP-2019	3	intermediate cell derived from monocytesvsmonocyte
E-MEXP-2019	4	osteoclast derived from monocytesvsintermediate cell derived from monocytes
E-MEXP-2276	1	thanatophoric dysplasiavsnormal
E-MEXP-2488	1	articular cartilagevsnucleus pulposus
E-MEXP-3129	1	X550vsX380
E-MEXP-3474	1	Kashin-beck diseasevsprimary osteoarthritis
E-MTAB-3010	1	DMEM-F12 + MIMIC miR450a-5pvsDMEM-F12
E-MTAB-3010	2	DMEM + beta-glycerol phosphate, ascorbic acid and dexamethasone for 7 days + MIMIC miR28-5pvsDMEM + beta-glycerol phosphate, ascorbic acid and dexamethasone for 7 days
E-MTAB-3010	3	DMEM + beta-glycerol phosphate, ascorbic acid and dexamethasone for 7 daysvsDMEM + beta-glycerol phosphate, ascorbic acid and dexamethasone for 2 days
E-MTAB-3010	4	DMEM + beta-glycerol phosphate, ascorbic acid and dexamethasone for 21 daysvsDMEM + beta-glycerol phosphate, ascorbic acid and dexamethasone for 7 days
E-MTAB-4152	1	direct co-culture with human umbilical vein endothelial cellsvsindirect co-culture with human umbilical vein endothelial cells
E-MTAB-4152	2	indirect co-culture with human umbilical vein endothelial cellsvsmonoculture
E-MTAB-4152	3	direct co-culture with human umbilical vein endothelial cellsvsmonoculture
GSE100609	1	normal - osteoporosis: Osteoporosisvsnormal - osteoporosis: Normal
GSE100786	1	Bone marrow Monocytes from RA patientvsBone marrow Monocytes from OA patient
GSE100786	2	Peripheral blood Monocytes from RA patientvsPeripheral blood Monocytes from OA patient
GSE103697	1	ARP-1.5 ug/ml CRP for 24 hoursvsARP-1.Control
GSE103697	2	MM.1S.5 ug/ml CRP for 24 hoursvsMM.1S.Control
GSE103697	3	U266.5 ug/ml CRP for 24 hoursvsU266.Control
GSE104113	1	chondrocyte.Adultvschondrocyte.Juvenile
GSE104113	2	Stem cells.Adultvschondrocyte.Juvenile
GSE104113	3	chondrocyte.Adultvschondrocyte.Juvenile
GSE10575	1	migratory cells only found in diseased OA tissue with stem cell characteristicsvshealthy chondrocytes
GSE10575	2	Osteocytes/-blasts in P2 from human bone chips of patients with OAvshealthy chondrocytes
GSE10575	3	T/C-28 cells (fetal human sternal chondrocytes, immortalized, M.Goldring)vshealthy chondrocytes
GSE13604	1	mesenchymal stem cells treated 8 hours with BMP6vsmesenchymal stem cells cultured 8 hours without BMP6
GSE13837	1	TGF stimulated synovial fibroblasts (1h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	2	TGF stimulated synovial fibroblasts (2h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	3	TGF stimulated synovial fibroblasts (4h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	4	TGF stimulated synovial fibroblasts (12h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	5	TGF stimulated synovial fibroblasts (1h).osteoarthritisvsTGF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	6	TGF stimulated synovial fibroblasts (2h).osteoarthritisvsTGF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	7	TGF stimulated synovial fibroblasts (4h).osteoarthritisvsTGF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	8	TGF stimulated synovial fibroblasts (12h).osteoarthritisvsTGF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	9	TGF stimulated synovial fibroblasts (1h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (1h).osteoarthritis
GSE13837	10	TGF stimulated synovial fibroblasts (2h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (2h).osteoarthritis
GSE13837	11	TGF stimulated synovial fibroblasts (4h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (4h).osteoarthritis
GSE13837	12	TGF stimulated synovial fibroblasts (12h).rheumatoid arthritisvsTGF stimulated synovial fibroblasts (12h).osteoarthritis
GSE13837	13	TNF stimulated synovial fibroblasts (1h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	14	TNF stimulated synovial fibroblasts (2h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	15	TNF stimulated synovial fibroblasts (4h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	16	TNF stimulated synovial fibroblasts (12h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (0h).rheumatoid arthritis
GSE13837	17	TNF stimulated synovial fibroblasts (1h).osteoarthritisvsTNF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	18	TNF stimulated synovial fibroblasts (2h).osteoarthritisvsTNF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	19	TNF stimulated synovial fibroblasts (4h).osteoarthritisvsTNF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	20	TNF stimulated synovial fibroblasts (12h).osteoarthritisvsTNF stimulated synovial fibroblasts (0h).osteoarthritis
GSE13837	21	TNF stimulated synovial fibroblasts (1h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (1h).osteoarthritis
GSE13837	22	TNF stimulated synovial fibroblasts (2h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (2h).osteoarthritis
GSE13837	23	TNF stimulated synovial fibroblasts (4h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (4h).osteoarthritis
GSE13837	24	TNF stimulated synovial fibroblasts (12h).rheumatoid arthritisvsTNF stimulated synovial fibroblasts (12h).osteoarthritis
GSE16464	1	monolayer chondrocytes from OAvsmonolayer chondrocytes from normal
GSE16464	2	3D-cultured chondrocytes from OAvsmonolayer chondrocytes from OA
GSE19060	1	OAvsNormal
GSE27372	1	co-cultured with the JJN3 human myeloma cell linevscontrol
GSE27390	1	rheumatoid arthritisvsosteoarthritis
GSE29106	1	Measles Virus Nucleocapsid ProteinvsEmpty Vector
GSE29107	1	p62_wild_typevsp62_empty_vector
GSE29107	2	p62_P392Lvsp62_wild_type
GSE29745	1	Gene expression of human amnion infected 5 genesvsGene expression of human fetal re-differentiation chondrocytes
GSE29745	2	Gene expression of human adult re-differentiation chondrocytesvsGene expression of human fetal re-differentiation chondrocytes
GSE29745	3	Gene expression of human amnion infected 5 genesvsGene expression of human amnion
GSE35546	1	Kartogenin_1nM_6hvsDMSO
GSE35546	2	Kartogenin_10nM_6hvsDMSO
GSE35546	3	Kartogenin_100nM_6hvsDMSO
GSE35546	4	Kartogenin_1nM_24hvsDMSO
GSE35546	5	Kartogenin_10nM_24hvsDMSO
GSE35546	6	Kartogenin_100nM_24hvsDMSO
GSE35955	1	hMSC-old_elderlyvshMSC-C_middle-aged
GSE35956	1	diagnosis: primary osteoporosisvstissue: bone marrow
GSE35957	1	hMSC-senescentvshMSC-C_middle-aged
GSE35958	1	diagnosis: primary osteoporosisvstissue: bone marrow
GSE39340	1	ankylosing spondylitisvsrheumatoid arthritis
GSE39340	2	osteoarthritisvsrheumatoid arthritis
GSE39340	3	ankylosing spondylitisvsosteoarthritis
GSE39795	1	cartilage, middle zonevscartilage, deep zone
GSE39795	2	cartilage, superficial zonevscartilage, deep zone
GSE39795	3	cartilage, superficial zonevscartilage, middle zone
GSE41038	1	ankylosing spondylitisvsnormal control
GSE41038	2	seronegative spondyloarthropyvsnormal control
GSE41038	3	osteoarthritisvsnormal control
GSE41992	1	IL3vsnone
GSE42235	1	passage: 2vspassage: 0
GSE42235	2	passage: 4vspassage: 0
GSE42235	3	passage: 6vspassage: 0
GSE42235	4	passage: 8vspassage: 0
GSE45233	1	Knee meniscus, old, chondrosisvsKnee meniscus, young, chondrosis
GSE45233	2	Knee meniscus, old, chondrosisvsKnee meniscus, old, no chondrosis
GSE45233	3	Knee meniscus, young, chondrosisvsKnee meniscus, young, no chondrosis
GSE45233	4	Knee meniscus, old, no chondrosisvsKnee meniscus, young, no chondrosis
GSE46053	1	MSCs from healthy Donor cocultured with MM.1S cellsvsMSCs from healthy Donor cultured in solitary (i.e. no cocultured)
GSE46053	2	MSCs from MM patient cocultured with MM.1S cellsvsMSCs from healthy Donor cultured in solitary (i.e. no cocultured)
GSE46750	1	cultured.cells.from.synovial.membrane..inflammatoryvscultured.cells.from.synovial.membrane.normal.reactive
GSE51588	1	OA-Subchondral bone from medial tibialvsNormal-Subchondral bone from medial tibial
GSE51588	2	OA-Subchondral bone from lateral tibialvsNormal-Subchondral bone from lateral tibial
GSE51588	3	OA-Subchondral bone from medial tibialvsOA-Subchondral bone from lateral tibial
GSE52817	1	dOB (osteoblasts)vsgingival fibroblasts
GSE52817	2	dOB (osteoblasts)vsosteoblasts (OB)
GSE52817	3	dOB (osteoblasts)vsmesenchymal stem cells (MSC)
GSE52817	4	osteoblasts (OB)vsgingival fibroblasts
GSE55235	1	synovial tissue from rheumatoid arthritis jointvssynovial tissue from osteoarthritic joint
GSE55235	2	synovial tissue from rheumatoid arthritis jointvssynovial tissue from healthy joint
GSE55235	3	synovial tissue from osteoarthritic jointvssynovial tissue from healthy joint
GSE55457	1	rheumatoid arthritisvsosteoarthritis
GSE55457	2	rheumatoid arthritisvsnormal control
GSE55584	1	rheumatoid arthritisvsosteoarthritis
GSE57218	1	OAvsPreserved
GSE60762	1	OsteoarthriticvsHealthy
GSE62914	1	iPSC differentiated to chondrocyte for 4 daysvsiPSC
GSE62914	2	iPSC differentiated to chondrocyte for 9 daysvsiPSC
GSE62914	3	iPSC-derived chondrocytes (passage 3)vsiPSC
GSE62914	4	iPSC-derived chondrocytes (passage 3)vsadult chondrocyte
GSE64394	1	OA chondrocytesvsNormal chondrocytes
GSE66635	1	injured meniscusvsnormal articular cartilage
GSE68038	1	cartilage from knee (tibial plateau)vscartilage from proximal interphalangeal joint (PIP)
GSE68428	1	untreated + IL1vsuntreated
GSE68428	2	neg vehicle control + IL1vsuntreated
GSE68428	3	Lama4 + IL1vsuntreated
GSE69459	1	resFOP-iMSCs (+ActA)vsresFOP-iMSCs (-ActA)
GSE69459	2	FOP-iMSCs (+ActA)vsFOP-iMSCs (-ActA)
GSE69459	3	FOP-iMSCs (+ActA)vsresFOP-iMSCs (+ActA)
GSE69459	4	FOP-iMSCs (+ActA)vsresFOP-iMSCs (-ActA)
GSE69992	1	MSX1 siRNAvscontrol siRNA
GSE70719	1	fluoride (8 ppm) for 30 daysvsnone (untreated control)
GSE7116	1	Multiple Myeloma patient with osteonecrosis of the jawvsMultiple Myeloma patient on bisphosphonate therapy without osteonecrosis of the jaw
GSE7116	2	Multiple Myeloma patient with osteonecrosis of the jawvsHealthy volunteer
GSE7116	3	Multiple Myeloma patient on bisphosphonate therapy without osteonecrosis of the jawvsHealthy volunteer
GSE72575	1	IL-1β-stimulated in the presence of alloxanvsnon-stimulated
GSE72575	2	IL-1β-stimulated in the presence of GlcNvsnon-stimulated
GSE72575	3	IL-1β-stimulated in the presence of GlcN and alloxanvsnon-stimulated
GSE72575	4	IL-1β-stimulated MH7Avsnon-stimulated
GSE75181	1	cultured chondrocytes from cartilage_COTvscultured chondrocytes from cartilage_control
GSE75181	2	cultured chondrocytes from cartilage_ctrl_IL1Bvscultured chondrocytes from cartilage_control
GSE75181	3	cultured chondrocytes from cartilage_COT_IL1Bvscultured chondrocytes from cartilage_control
GSE75230	1	OIM treated, grow at 39oCvsuntreated, grow at 39oC in BM
GSE7669	1	fibroblasts_RAvsfibroblasts_OA
GSE77916	1	EPZ.5676.3.µM.4.daysvsvehicle..DMSO..4.days
GSE80614	1	AD_1hrvsAD_0hr
GSE80614	2	AD_2hrvsAD_0hr
GSE80614	3	AD_05hrvsAD_0hr
GSE80614	4	AD_6hrvsAD_0hr
GSE80614	5	AD_12hrvsAD_0hr
GSE80614	6	AD_1dvsAD_0hr
GSE80614	7	AD_2dvsAD_0hr
GSE80614	8	AD_4dvsAD_0hr
GSE80614	9	OS_1hrvsOS_0hr
GSE80614	10	OS_2hrvsOS_0hr
GSE80614	11	OS_05hrvsOS_0hr
GSE80614	12	OS_6hrvsOS_0hr
GSE80614	13	OS_12hrvsOS_0hr
GSE80614	14	OS_1dvsOS_0hr
GSE80614	15	OS_2dvsOS_0hr
GSE80614	16	OS_4dvsOS_0hr
GSE85254	1	chondrocytes, Gal-3, 50 µg/mlvschondrocytes, untreated
GSE86578	1	IL.1.OSM.1vsnone (control).0
GSE86578	2	IL.1.OSM.1.25vsnone (control).0
GSE86578	3	IL.1.OSM.24vsnone (control).0
GSE9329	1	OsteoarthritisvsRhumatoid arthritis
GSE93698	1	diffuse systemic sclerosisvsMicrocrystalline arthritis
GSE93698	2	diffuse systemic sclerosisvsOsteoarthritis
GSE93698	3	diffuse systemic sclerosisvsRheumatoid arthritis
GSE93698	4	diffuse systemic sclerosisvsSeronegative arthritis
GSE93698	5	diffuse systemic sclerosisvsSystemic lupus erythematosus
GSE93698	6	Microcrystalline arthritisvsOsteoarthritis
GSE93698	7	Microcrystalline arthritisvsRheumatoid arthritis
GSE93698	8	Microcrystalline arthritisvsSeronegative arthritis
GSE93698	9	Microcrystalline arthritisvsSystemic lupus erythematosus
GSE93698	10	OsteoarthritisvsRheumatoid arthritis
GSE93698	11	OsteoarthritisvsSeronegative arthritis
GSE93698	12	OsteoarthritisvsSystemic lupus erythematosus
GSE93698	13	Rheumatoid arthritisvsSeronegative arthritis
GSE93698	14	Rheumatoid arthritisvsSystemic lupus erythematosus
GSE93698	15	Seronegative arthritisvsSystemic lupus erythematosus
E-GEOD-55769	1	Ad-NOER_E2vsAd-NOER
E-GEOD-55769	2	Ad-NERKI_E2vsAd-NERKI
E-GEOD-55769	3	Ad-Era_E2vsAd-Era
E-MTAB-4304	1	DamagedvsIntact
E-MTAB-4879	1	osteocyte_oldvsosteocyte_young
E-MTAB-4879	2	chondrocyte_oldvschondrocyte_young
E-MTAB-4879	3	tendon_oldvstendon_young
E-MTAB-4879	4	msc_oldvsmsc_young
E-MTAB-5564	1	osteoarthritisvsnormal
E-MTAB-6266	1	OAvsnonOA
GSE77753	1	EDS-HT/JHSvshealthy
GSE43861	1	Fibrogenesis imperfecta ossiumvscontrol
GSE112809	1	PBMC after 56 days of CPN10 treatmentvsPBMC at baseline
GSE111946	1	synthetic precursor miR-218vsscrambled control
GSE111946	2	inhibitors of miR-218vsAnti-miR Negative Control
E-MTAB-3201	1	psoriatic arthritis.synovial fluidvshealthy.synovial fluid
GSE54749	1	treated.with.Hh.inhibitorvsnone
GSE74220	1	IL1BvsControl
GSE114007	1	OAvsNonOA
GSE109503	1	Day21vsDay14
GSE109503	2	Day14vsDay7
GSE109503	3	Day7vsDay3
GSE109503	4	Day3vsDay1
GSE109503	5	Day1vsDay0
GSE109503	6	Day21vsDay0
GSE109503	7	Day14vsDay0
GSE109503	8	Day7vsDay0
GSE109503	9	Day3vsDay0
GSE109503	10	Day1vsDay0
GSE109108	1	mir138_day2vsNS_control_day2
GSE109108	2	mir138_day7vsNS_control_day7
GSE109108	3	mir181_day2vsNS_control_day2
GSE109108	4	mir181_day7vsNS_control_day7
GSE57218_B	1	OAvsHealthy
GSE57218_B	2	PreservedvsHealthy
GSE99662	1	HighvsLow
GSE73087	1	MSC-Day1 Induction-ApoA1vsMSC-Day1-Induction
GSE73087	2	MSC-Day3-Induction-ApoA1vsMSC-Day3-Induction
GSE73087	3	MSC-Day5-Induction-ApoA-1vsMSC-Day5-Induction
GSE121892	1	transfected.with.miR.320a.inhibitor..I.vstransfected.with.control.inhibitor..CI.
GSE121892	2	transfected.with.miR.320a.mimic..M.vstransfected.with.control.mimic..CM.
GSE114237	1	MG-63, mineralized bonevsMG-63, demineralized bone
GSE108771	1	Activinvscontrol
GSE108771	2	Activin + CP-724714vscontrol
GSE108771	3	Activin + Lapatinibvscontrol
GSE108771	4	Activin + TAKvscontrol
EGAD00001001331	1	OsteoarthritisvsNormal
GSE125167	1	Control_10_days_difvsControl_2_days_dif
GSE125167	2	Control_2_days_difvsNaiveControl
GSE125167	3	PLZF_10_days_diffvsPLZF_2_days_diff
GSE125167	4	PLZF_2_days_diffvsNaivePLZF
GSE125167	5	PLZF_10_days_diffvsControl_10_days_dif
GSE125167	6	PLZF_2_days_diffvsControl_2_days_dif
GSE125167	7	NaivePLZFvsNaiveControl
GSE80285	1	treated with 40ng/ml recombinant a-Klotho for 7 daysvsuntreated
GSE80285	2	transfected with siRNA against a-Klothovstransfected with siRNA control
OANOF	1	OAvsNOF
GSE70667	1	Flow_2hvsControl_2h
GSE87608	1	Runx2HET_vehiclevsWT_vehicle
GSE87608	2	WT_MS275vsWT_vehicle
GSE87608	3	Runx2HET_MS275vsRunx2HET_vehicle
GSE87608	4	Runx2HET_MS275vsWT_MS275
GSE90890	1	Cdc73fKOvsWT
GSE97118	1	WT_D7vsWT_D3
GSE97118	2	WT_D14vsWT_D7
GSE97118	3	Ezh2_cKO_D7vsEzh2_cKO_D3
GSE97118	4	Ezh2_cKO_D14vsEzh2_cKO_D7
GSE97118	5	Ezh2_cKO_D7vsWT_D7
GSE97118	6	Ezh2_cKO_D14vsWT_D14
GSE97118	7	Ezh2_cKO_D3vsWT_D3
GSE57740	1	shRNA specific for CHADLvsscrambled negative control shRNA
GSE52992	1	human TNF transgenic and knockout in Rsk2 gene (Rsk2-/y FLS)vshuman TNF transgenic without knockout (Rsk2+/y FLS)
GSE17160	1	Wild-type.LPS-treatedvsWild-type.none
GSE17160	2	Wild-type.HA-treatedvsWild-type.none
GSE17160	3	Wild-type.TSG6-treatedvsWild-type.none
GSE17160	4	Wild-type.TNFa-treatedvsWild-type.none
GSE17160	5	TSG-6 knockout.LPS-treatedvsTSG-6 knockout.none
GSE17160	6	TSG-6 knockout.HA-treatedvsTSG-6 knockout.none
GSE17160	7	TSG-6 knockout.TSG6-treatedvsTSG-6 knockout.none
GSE17160	8	TSG-6 knockout.TNFa-treatedvsTSG-6 knockout.none
GSE17160	9	TSG-6 knockout.LPS-treatedvsWild-type.LPS-treated
GSE17160	10	TSG-6 knockout.HA-treatedvsWild-type.HA-treated
GSE17160	11	TSG-6 knockout.TSG6-treatedvsWild-type.TSG6-treated
GSE17160	12	TSG-6 knockout.TNFa-treatedvsWild-type.TNFa-treated
GSE22971	1	MMP-8 KO control mousevsMMP-8 wild type control mouse
GSE22971	2	MMP-8 KO arthritic mousevsMMP-8 wild type arthritic mouse
GSE22971	3	MMP-8 wild type arthritic mousevsMMP-8 wild type control mouse
GSE22971	4	MMP-8 KO arthritic mousevsMMP-8 KO control mouse
GSE13590	1	siRNA-140vssiRNA-96
GSE13590	2	antimicroRNA-140vsantimicroRNA-449
GSE99731	1	DMM.1 wkvssham.1 wk
GSE99731	2	DMM.6 wkvssham.6 wk
GSE99731	3	DMM.6 wkvsDMM.1 wk
GSE27492	1	Ankle.D01vsAnkle.D00
GSE27492	2	Ankle.D03vsAnkle.D00
GSE27492	3	Ankle.D07vsAnkle.D00
GSE27492	4	Ankle.D12vsAnkle.D00
GSE27492	5	Ankle.D18vsAnkle.D00
GSE27492	6	Synovial fluid.D07vsSynovial fluid.D03
GSE27492	7	Synovial fluid.D12vsSynovial fluid.D03
GSE27492	8	Synovial fluid.D18vsSynovial fluid.D03
GSE107592	1	Adult CartilagevsEmbryonic Cartilage
GSE92641	1	Uhrf1KOvsControl
GSE107849	1	RORB_KOvsControl
E-GEOD-15069	1	LY294002-treated embryonic primary chondrocyte cultures, incubated for 24hrs.vsDMSO-treated embryonic primary chondrocyte cultures, incubated for 24hrs.
E-GEOD-15069	2	SB202190-treated embryonic primary chondrocyte cultures, incubated for 24hrs.vsDMSO-treated embryonic primary chondrocyte cultures, incubated for 24hrs.
E-GEOD-15069	3	TSA-treated embryonic primary chondrocyte cultures, incubated for 24hrs.vsDMSO-treated embryonic primary chondrocyte cultures, incubated for 24hrs.
E-GEOD-15069	4	UO126-treated embryonic primary chondrocyte cultures, incubated for 24hrs.vsDMSO-treated embryonic primary chondrocyte cultures, incubated for 24hrs.
E-GEOD-15118	1	The CH10T1/2 cell line transfected with the wild type PTHR1 treated with PTHrPvsThe CH10T1/2 cell line transfected with the wild type PTHR1
E-GEOD-15118	2	The CH10T1/2 cell line transfected with the R150C variant PTHR1 treated for one hour with PTHrPvsThe CH10T1/2 cell line transfected with the R150C variant PTHR1 treated with carrier
E-GEOD-15118	3	The CH10T1/2 cell line transfected with the R150C variant PTHR1 treated for one hour with PTHrPvsThe CH10T1/2 cell line transfected with the wild type PTHR1 treated with PTHrP
