mouseID	HumanID	mouseGeneSymbol	HumanGeneSymbol
ENSMUSG00000025076	ENSG00000165806	Casp7	CASP7
ENSMUSG00000096313	ENSG00000207191	Snord116l7	SNORD116-5
ENSMUSG00000065653	ENSG00000200394	Gm23105	SNORA38B
ENSMUSG00000096313	ENSG00000206727	Snord116l7	SNORD116-9
ENSMUSG00000025092	ENSG00000165868	Hspa12a	HSPA12A
ENSMUSG00000024885	ENSG00000006534	Aldh3b1	ALDH3B1
ENSMUSG00000089161	ENSG00000212181	Gm24130	RF00554
ENSMUSG00000065725	ENSG00000252657	Gm26165	RF00156
ENSMUSG00000071037	ENSG00000143919	Camkmt	CAMKMT
ENSMUSG00000089161	ENSG00000212383	Gm24130	RF00554
ENSMUSG00000089161	ENSG00000252228	Gm24130	RF00554
ENSMUSG00000024587	ENSG00000134440	Nars	NARS
ENSMUSG00000096313	ENSG00000207442	Snord116l7	SNORD116-6
ENSMUSG00000064487	ENSG00000200608	Gm23736	SNORD114-11
ENSMUSG00000080396	ENSG00000221066	Snord111	SNORD111
ENSMUSG00000098859	ENSG00000276105	Gm27389	RF01947
ENSMUSG00000025172	ENSG00000165887	Ankrd2	ANKRD2
ENSMUSG00000096313	ENSG00000207014	Snord116l7	SNORD116-3
ENSMUSG00000095635	ENSG00000206593	Gm22951	RNU6-47P
ENSMUSG00000098750	ENSG00000252190	Gm27653	RF00492
ENSMUSG00000095037	ENSG00000212589	Gm22347	RF00560
ENSMUSG00000098265	ENSG00000276965	Gm27517	RF01891
ENSMUSG00000057858	ENSG00000165669	Fam204a	FAM204A
ENSMUSG00000096313	ENSG00000207093	Snord116l7	SNORD116-8
ENSMUSG00000024970	ENSG00000168005	Spindoc	SPINDOC
ENSMUSG00000088383	ENSG00000277209	Gm24687	RPPH1
ENSMUSG00000089161	ENSG00000209582	Gm24130	SNORA48
ENSMUSG00000064999	ENSG00000201428	Gm26035	RN7SKP71
ENSMUSG00000089161	ENSG00000212228	Gm24130	RF00554
ENSMUSG00000064487	ENSG00000201036	Gm23736	RF00181
ENSMUSG00000096313	ENSG00000207063	Snord116l7	SNORD116-1
ENSMUSG00000088651	ENSG00000253065	Gm24853	RF00561
ENSMUSG00000088225	ENSG00000253065	Gm22598	RF00561
ENSMUSG00000089161	ENSG00000252774	Gm24130	RF00554
ENSMUSG00000095660	ENSG00000201143	Gm22274	SNORD115-42
ENSMUSG00000095342	ENSG00000201143	Gm26096	SNORD115-42
ENSMUSG00000095031	ENSG00000201143	Gm22348	SNORD115-42
ENSMUSG00000095660	ENSG00000199311	Gm22274	SNORD115-34
ENSMUSG00000095342	ENSG00000199311	Gm26096	SNORD115-34
ENSMUSG00000095031	ENSG00000199311	Gm22348	SNORD115-34
ENSMUSG00000077148	ENSG00000222610	Gm22935	RNU6-402P
ENSMUSG00000065628	ENSG00000199631	Snord33	SNORD33
ENSMUSG00000065653	ENSG00000201042	Gm23105	RF00428
ENSMUSG00000095660	ENSG00000200726	Gm22274	SNORD115-8
ENSMUSG00000095342	ENSG00000200726	Gm26096	SNORD115-8
ENSMUSG00000095031	ENSG00000200726	Gm22348	SNORD115-8
ENSMUSG00000064511	ENSG00000201384	Gm22459	RF00421
ENSMUSG00000065644	ENSG00000201384	Gm25859	RF00421
ENSMUSG00000024907	ENSG00000069482	Gal	GAL
ENSMUSG00000065686	ENSG00000201772	Snora5c	SNORA5C
ENSMUSG00000096826	ENSG00000213927	Ccl27b	CCL27
ENSMUSG00000096313	ENSG00000207133	Snord116l7	SNORD116-7
ENSMUSG00000088099	ENSG00000274303	Gm23673	RF00100
ENSMUSG00000095660	ENSG00000200398	Gm22274	SNORD115-24
ENSMUSG00000095342	ENSG00000200398	Gm26096	SNORD115-24
ENSMUSG00000096313	ENSG00000207001	Snord116l7	SNORD116-2
ENSMUSG00000095660	ENSG00000201679	Gm22274	SNORD115-15
ENSMUSG00000095342	ENSG00000201679	Gm26096	SNORD115-15
ENSMUSG00000095031	ENSG00000201679	Gm22348	SNORD115-15
ENSMUSG00000071659	ENSG00000214753	Hnrnpul2	HNRNPUL2
ENSMUSG00000088474	ENSG00000251951	Gm23085	RN7SKP34
ENSMUSG00000087817	ENSG00000252484	Gm22492	RN7SKP49
ENSMUSG00000088474	ENSG00000252490	Gm23085	RN7SKP66
ENSMUSG00000084441	ENSG00000272445	Gm26255	RNU6-84P
ENSMUSG00000071659	ENSG00000234857	Hnrnpul2	HNRNPUL2-BSCL2
ENSMUSG00000094869	ENSG00000139351	Gm21679	SYCP3
ENSMUSG00000089175	ENSG00000252712	Gm22433	SCARNA14
ENSMUSG00000096313	ENSG00000275529	Snord116l7	SNORD116-4
ENSMUSG00000089161	ENSG00000212626	Gm24130	RF00554
ENSMUSG00000095660	ENSG00000201907	Gm22274	SNORD115-38
ENSMUSG00000095342	ENSG00000201907	Gm26096	SNORD115-38
ENSMUSG00000098578	ENSG00000252506	Gm27449	RNU6-180P
ENSMUSG00000095660	ENSG00000200949	Gm22274	SNORD115-32
ENSMUSG00000095342	ENSG00000200949	Gm26096	SNORD115-32
ENSMUSG00000095031	ENSG00000200949	Gm22348	SNORD115-32
ENSMUSG00000077413	ENSG00000212611	Gm23389	RF00088
ENSMUSG00000077575	ENSG00000221148	Gm24888	RF00334
ENSMUSG00000040541	ENSG00000204300	Tmem225	TMEM225
ENSMUSG00000095660	ENSG00000199960	Gm22274	SNORD115-14
ENSMUSG00000095342	ENSG00000199960	Gm26096	SNORD115-14
ENSMUSG00000095031	ENSG00000199960	Gm22348	SNORD115-14
ENSMUSG00000098850	ENSG00000277502	Gm27390	RF02271
ENSMUSG00000077461	ENSG00000200882	Gm26420	RNU6-681P
ENSMUSG00000064487	ENSG00000199914	Gm23736	SNORD114-16
ENSMUSG00000044201	ENSG00000158402	Cdc25c	CDC25C
ENSMUSG00000096136	ENSG00000201679	Gm25146	SNORD115-15
ENSMUSG00000093997	ENSG00000201679	Gm26499	SNORD115-15
ENSMUSG00000094037	ENSG00000201679	Gm24652	SNORD115-15
ENSMUSG00000094148	ENSG00000201679	Gm24952	SNORD115-15
ENSMUSG00000093860	ENSG00000201679	Gm22632	SNORD115-15
ENSMUSG00000096392	ENSG00000201679	Gm23688	SNORD115-15
ENSMUSG00000094636	ENSG00000201679	Gm24219	SNORD115-15
ENSMUSG00000094059	ENSG00000201679	Gm23471	SNORD115-15
ENSMUSG00000095425	ENSG00000201679	Gm24417	SNORD115-15
ENSMUSG00000098260	ENSG00000278055	Gm27522	RF02149
ENSMUSG00000089296	ENSG00000207352	Gm23205	RNU6-540P
ENSMUSG00000095031	ENSG00000200398	Gm22348	SNORD115-24
ENSMUSG00000096136	ENSG00000200398	Gm25146	SNORD115-24
ENSMUSG00000093997	ENSG00000200398	Gm26499	SNORD115-24
ENSMUSG00000094037	ENSG00000200398	Gm24652	SNORD115-24
ENSMUSG00000094148	ENSG00000200398	Gm24952	SNORD115-24
ENSMUSG00000093860	ENSG00000200398	Gm22632	SNORD115-24
ENSMUSG00000096392	ENSG00000200398	Gm23688	SNORD115-24
ENSMUSG00000094636	ENSG00000200398	Gm24219	SNORD115-24
ENSMUSG00000094059	ENSG00000200398	Gm23471	SNORD115-24
ENSMUSG00000095425	ENSG00000200398	Gm24417	SNORD115-24
ENSMUSG00000098857	ENSG00000275666	Gm27395	RF01946
ENSMUSG00000065251	ENSG00000274452	Gm23971	RF00004
ENSMUSG00000089186	ENSG00000207269	Gm22948	RN7SKP62
ENSMUSG00000096136	ENSG00000199960	Gm25146	SNORD115-14
ENSMUSG00000093997	ENSG00000199960	Gm26499	SNORD115-14
ENSMUSG00000094037	ENSG00000199960	Gm24652	SNORD115-14
ENSMUSG00000094148	ENSG00000199960	Gm24952	SNORD115-14
ENSMUSG00000093860	ENSG00000199960	Gm22632	SNORD115-14
ENSMUSG00000096392	ENSG00000199960	Gm23688	SNORD115-14
ENSMUSG00000094636	ENSG00000199960	Gm24219	SNORD115-14
ENSMUSG00000094059	ENSG00000199960	Gm23471	SNORD115-14
ENSMUSG00000095425	ENSG00000199960	Gm24417	SNORD115-14
ENSMUSG00000059734	ENSG00000110717	Ndufs8	NDUFS8
ENSMUSG00000052713	ENSG00000168916	Zfp608	ZNF608
ENSMUSG00000065251	ENSG00000223247	Gm23971	RNU2-64P
ENSMUSG00000092097	ENSG00000059145	Gm5819	UNKL
ENSMUSG00000087831	ENSG00000201898	Gm23960	RF00139
ENSMUSG00000065251	ENSG00000275616	Gm23971	RF00004
ENSMUSG00000024854	ENSG00000175482	Pold4	POLD4
ENSMUSG00000096136	ENSG00000200949	Gm25146	SNORD115-32
ENSMUSG00000093997	ENSG00000200949	Gm26499	SNORD115-32
ENSMUSG00000094037	ENSG00000200949	Gm24652	SNORD115-32
ENSMUSG00000094148	ENSG00000200949	Gm24952	SNORD115-32
ENSMUSG00000093860	ENSG00000200949	Gm22632	SNORD115-32
ENSMUSG00000096392	ENSG00000200949	Gm23688	SNORD115-32
ENSMUSG00000094636	ENSG00000200949	Gm24219	SNORD115-32
ENSMUSG00000094059	ENSG00000200949	Gm23471	SNORD115-32
ENSMUSG00000095425	ENSG00000200949	Gm24417	SNORD115-32
ENSMUSG00000087781	ENSG00000212626	Gm23168	RF00554
ENSMUSG00000095031	ENSG00000201907	Gm22348	SNORD115-38
ENSMUSG00000096136	ENSG00000201907	Gm25146	SNORD115-38
ENSMUSG00000093997	ENSG00000201907	Gm26499	SNORD115-38
ENSMUSG00000094037	ENSG00000201907	Gm24652	SNORD115-38
ENSMUSG00000094148	ENSG00000201907	Gm24952	SNORD115-38
ENSMUSG00000093860	ENSG00000201907	Gm22632	SNORD115-38
ENSMUSG00000096392	ENSG00000201907	Gm23688	SNORD115-38
ENSMUSG00000094636	ENSG00000201907	Gm24219	SNORD115-38
ENSMUSG00000094059	ENSG00000201907	Gm23471	SNORD115-38
ENSMUSG00000095425	ENSG00000201907	Gm24417	SNORD115-38
ENSMUSG00000087781	ENSG00000209582	Gm23168	SNORA48
ENSMUSG00000099068	ENSG00000276771	Gm27861	RF01976
ENSMUSG00000025016	ENSG00000077147	Tm9sf3	TM9SF3
ENSMUSG00000087781	ENSG00000212228	Gm23168	RF00554
ENSMUSG00000065251	ENSG00000278591	Gm23971	RF00004
ENSMUSG00000045730	ENSG00000169252	Adrb2	ADRB2
ENSMUSG00000064858	ENSG00000202216	Snora43	RF00560
ENSMUSG00000077506	ENSG00000201882	Scarna9	RF00493
ENSMUSG00000039840	ENSG00000152223	Epg5	EPG5
ENSMUSG00000089070	ENSG00000251773	Gm24498	RNU6-1129P
ENSMUSG00000087831	ENSG00000207084	Gm23960	RF00139
ENSMUSG00000096302	ENSG00000207093	Gm25210	SNORD116-8
ENSMUSG00000096019	ENSG00000207093	Gm26504	SNORD116-8
ENSMUSG00000024854	ENSG00000256514	Pold4	AP003419.1
ENSMUSG00000077191	ENSG00000276610	Snord64	SNORD64
ENSMUSG00000089578	ENSG00000253020	Gm25971	RN7SKP40
ENSMUSG00000096136	ENSG00000200726	Gm25146	SNORD115-8
ENSMUSG00000093997	ENSG00000200726	Gm26499	SNORD115-8
ENSMUSG00000094037	ENSG00000200726	Gm24652	SNORD115-8
ENSMUSG00000094148	ENSG00000200726	Gm24952	SNORD115-8
ENSMUSG00000093860	ENSG00000200726	Gm22632	SNORD115-8
ENSMUSG00000096392	ENSG00000200726	Gm23688	SNORD115-8
ENSMUSG00000094636	ENSG00000200726	Gm24219	SNORD115-8
ENSMUSG00000094059	ENSG00000200726	Gm23471	SNORD115-8
ENSMUSG00000095425	ENSG00000200726	Gm24417	SNORD115-8
ENSMUSG00000064477	ENSG00000201384	Gm23404	RF00421
ENSMUSG00000087781	ENSG00000252774	Gm23168	RF00554
ENSMUSG00000080465	ENSG00000208772	Gm22486	SNORD94
ENSMUSG00000080342	ENSG00000221656	Gm24589	MIR1225
ENSMUSG00000089296	ENSG00000252462	Gm23205	RNU6-113P
ENSMUSG00000096786	ENSG00000206675	Gm24641	RNU6-32P
ENSMUSG00000084644	ENSG00000207195	Gm24379	RF00019
ENSMUSG00000024510	ENSG00000181867	Ftmt	FTMT
ENSMUSG00000096136	ENSG00000200987	Gm25146	SNORD115-30
ENSMUSG00000093997	ENSG00000200987	Gm26499	SNORD115-30
ENSMUSG00000094037	ENSG00000200987	Gm24652	SNORD115-30
ENSMUSG00000094148	ENSG00000200987	Gm24952	SNORD115-30
ENSMUSG00000093860	ENSG00000200987	Gm22632	SNORD115-30
ENSMUSG00000096392	ENSG00000200987	Gm23688	SNORD115-30
ENSMUSG00000094636	ENSG00000200987	Gm24219	SNORD115-30
ENSMUSG00000094059	ENSG00000200987	Gm23471	SNORD115-30
ENSMUSG00000095425	ENSG00000200987	Gm24417	SNORD115-30
ENSMUSG00000024485	ENSG00000113073	Slc4a9	SLC4A9
ENSMUSG00000064407	ENSG00000252554	Gm23926	RNU6-861P
ENSMUSG00000045094	ENSG00000183111	Arhgef37	ARHGEF37
ENSMUSG00000024078	ENSG00000018699	Ttc27	TTC27
ENSMUSG00000098838	ENSG00000199020	Mir381	MIR381
ENSMUSG00000065251	ENSG00000277903	Gm23971	RF00004
ENSMUSG00000096479	ENSG00000206833	Gm24464	RNU6-20P
ENSMUSG00000064407	ENSG00000206980	Gm23926	RNU6-662P
ENSMUSG00000077677	ENSG00000199885	Gm24468	RNU6-330P
ENSMUSG00000089596	ENSG00000253079	Nron	NRON
ENSMUSG00000077274	ENSG00000212608	Gm22786	RF00568
ENSMUSG00000095754	ENSG00000147059	Spin2f	SPIN2A
ENSMUSG00000065251	ENSG00000274862	Gm23971	RF00004
ENSMUSG00000087781	ENSG00000252228	Gm23168	RF00554
ENSMUSG00000087781	ENSG00000212383	Gm23168	RF00554
ENSMUSG00000087781	ENSG00000212445	Gm23168	RF00554
ENSMUSG00000105400	ENSG00000281516	Gm22897	RF00423
ENSMUSG00000065622	ENSG00000222973	Gm24763	RNU2-25P
ENSMUSG00000095754	ENSG00000186787	Spin2f	SPIN2B
ENSMUSG00000105400	ENSG00000281394	Gm22897	SCARNA4
ENSMUSG00000088524	ENSG00000238707	Snord2	RF01299
ENSMUSG00000077409	ENSG00000200703	Gm25416	RNU6-873P
ENSMUSG00000031600	ENSG00000155975	Vps37a	VPS37A
ENSMUSG00000096136	ENSG00000200812	Gm25146	SNORD115-6
ENSMUSG00000093997	ENSG00000200812	Gm26499	SNORD115-6
ENSMUSG00000094037	ENSG00000200812	Gm24652	SNORD115-6
ENSMUSG00000094148	ENSG00000200812	Gm24952	SNORD115-6
ENSMUSG00000093860	ENSG00000200812	Gm22632	SNORD115-6
ENSMUSG00000096392	ENSG00000200812	Gm23688	SNORD115-6
ENSMUSG00000094636	ENSG00000200812	Gm24219	SNORD115-6
ENSMUSG00000094059	ENSG00000200812	Gm23471	SNORD115-6
ENSMUSG00000095425	ENSG00000200812	Gm24417	SNORD115-6
ENSMUSG00000054134	ENSG00000177398	Umodl1	UMODL1
ENSMUSG00000067279	ENSG00000119938	Ppp1r3c	PPP1R3C
ENSMUSG00000024352	ENSG00000170469	Spata24	SPATA24
ENSMUSG00000064858	ENSG00000199815	Snora43	RF00560
ENSMUSG00000099295	ENSG00000278324	Gm27718	RF02166
ENSMUSG00000098599	ENSG00000277941	Gm27627	RF01875
ENSMUSG00000089296	ENSG00000201641	Gm23205	RNU6-1187P
ENSMUSG00000024306	ENSG00000166960	Ccdc178	CCDC178
ENSMUSG00000003779	ENSG00000112984	Kif20a	KIF20A
ENSMUSG00000065251	ENSG00000278774	Gm23971	RF00004
ENSMUSG00000065251	ENSG00000274062	Gm23971	RF00004
ENSMUSG00000065392	ENSG00000276788	Gm25894	SNORD26
ENSMUSG00000025025	ENSG00000119950	Mxi1	MXI1
ENSMUSG00000096302	ENSG00000207001	Gm25210	SNORD116-2
ENSMUSG00000096019	ENSG00000207001	Gm26504	SNORD116-2
ENSMUSG00000094579	ENSG00000252081	Gm23552	RNU6-277P
ENSMUSG00000096302	ENSG00000207133	Gm25210	SNORD116-7
ENSMUSG00000096019	ENSG00000207133	Gm26504	SNORD116-7
ENSMUSG00000065251	ENSG00000274585	Gm23971	RNU2-1
ENSMUSG00000065448	ENSG00000207978	Mir154	MIR154
ENSMUSG00000065037	ENSG00000252963	Rn7sk	RN7SKP147
ENSMUSG00000089296	ENSG00000200522	Gm23205	RNU6-957P
ENSMUSG00000084621	ENSG00000222627	Gm25106	RNU2-37P
ENSMUSG00000093325	ENSG00000206627	Gm26061	RNU6-969P
ENSMUSG00000089296	ENSG00000202528	Gm23205	RNU6-650P
ENSMUSG00000096302	ENSG00000275529	Gm25210	SNORD116-4
ENSMUSG00000096019	ENSG00000275529	Gm26504	SNORD116-4
ENSMUSG00000073639	ENSG00000099246	Rab18	RAB18
ENSMUSG00000065251	ENSG00000274432	Gm23971	RF00004
ENSMUSG00000064783	ENSG00000201393	Gm22684	RF00056
ENSMUSG00000089296	ENSG00000207295	Gm23205	RNU6-851P
ENSMUSG00000039954	ENSG00000169302	Stk32a	STK32A
ENSMUSG00000089296	ENSG00000207227	Gm23205	RNU6-900P
ENSMUSG00000073565	ENSG00000184838	Prr16	PRR16
ENSMUSG00000089298	ENSG00000252396	Gm24636	RN7SKP195
ENSMUSG00000089239	ENSG00000222937	Gm22200	RF00154
ENSMUSG00000077274	ENSG00000212517	Gm22786	RF00568
ENSMUSG00000065251	ENSG00000273709	Gm23971	RF00004
ENSMUSG00000088518	ENSG00000202231	Gm24438	RF00411
ENSMUSG00000024989	ENSG00000138180	Cep55	CEP55
ENSMUSG00000096302	ENSG00000207063	Gm25210	SNORD116-1
ENSMUSG00000096019	ENSG00000207063	Gm26504	SNORD116-1
ENSMUSG00000077191	ENSG00000212161	Snord64	RF00570
ENSMUSG00000036278	ENSG00000133315	Macrod1	MACROD1
ENSMUSG00000065251	ENSG00000276596	Gm23971	RF00004
ENSMUSG00000096136	ENSG00000201143	Gm25146	SNORD115-42
ENSMUSG00000093997	ENSG00000201143	Gm26499	SNORD115-42
ENSMUSG00000094037	ENSG00000201143	Gm24652	SNORD115-42
ENSMUSG00000094148	ENSG00000201143	Gm24952	SNORD115-42
ENSMUSG00000093860	ENSG00000201143	Gm22632	SNORD115-42
ENSMUSG00000096392	ENSG00000201143	Gm23688	SNORD115-42
ENSMUSG00000094636	ENSG00000201143	Gm24219	SNORD115-42
ENSMUSG00000094059	ENSG00000201143	Gm23471	SNORD115-42
ENSMUSG00000095425	ENSG00000201143	Gm24417	SNORD115-42
ENSMUSG00000098732	ENSG00000277524	Gm27834	RF02175
ENSMUSG00000088661	ENSG00000212545	Gm25334	RNU6-337P
ENSMUSG00000096136	ENSG00000199311	Gm25146	SNORD115-34
ENSMUSG00000093997	ENSG00000199311	Gm26499	SNORD115-34
