pigID	HumanID	pigGeneSymbol	HumanGeneSymbol
ENSSSCG00000040193	ENSG00000188818	NA	ZDHHC11
ENSSSCG00000025343	ENSG00000197483	ZNF628	ZNF628
ENSSSCG00000035075	ENSG00000277830	RF02215	RF02215
ENSSSCG00000038686	ENSG00000212266	RF00561	RF00561
ENSSSCG00000018178	ENSG00000212266	RF00561	RF00561
ENSSSCG00000020952	ENSG00000212266	RF00561	RF00561
ENSSSCG00000036807	ENSG00000274792	NA	AC171558.1
ENSSSCG00000037948	ENSG00000181752	NA	OR8K5
ENSSSCG00000012181	ENSG00000067992	PDK3	PDK3
ENSSSCG00000033528	ENSG00000171634	BPTF	BPTF
ENSSSCG00000032252	ENSG00000167822	NA	OR8J3
ENSSSCG00000038759	ENSG00000211785	NA	TRAV12-1
ENSSSCG00000008948	ENSG00000163631	ALB	ALB
ENSSSCG00000015985	ENSG00000128652	HOXD3	HOXD3
ENSSSCG00000036179	ENSG00000258817	NA	OR4C13
ENSSSCG00000018081	ENSG00000198899	ATP6	MT-ATP6
ENSSSCG00000000202	ENSG00000187778	MCRS1	MCRS1
ENSSSCG00000017022	ENSG00000072571	HMMR	HMMR
ENSSSCG00000034945	ENSG00000212363	RF00561	RF00561
ENSSSCG00000034271	ENSG00000169953	NA	HSFY2
ENSSSCG00000036563	ENSG00000169953	NA	HSFY2
ENSSSCG00000036112	ENSG00000169953	NA	HSFY2
ENSSSCG00000017940	ENSG00000132522	NA	GPS2
ENSSSCG00000013460	ENSG00000104904	OAZ1	OAZ1
ENSSSCG00000035128	ENSG00000182854	NA	OR4F15
ENSSSCG00000034374	ENSG00000176495	NA	OR5AN1
ENSSSCG00000036179	ENSG00000185926	NA	OR4C46
ENSSSCG00000032252	ENSG00000172487	NA	OR8J1
ENSSSCG00000009535	ENSG00000125266	EFNB2	EFNB2
ENSSSCG00000001913	ENSG00000067221	STOML1	STOML1
ENSSSCG00000034945	ENSG00000210825	RF00561	SNORA40
ENSSSCG00000034945	ENSG00000212579	RF00561	RF00561
ENSSSCG00000034180	ENSG00000278802	RF01969	RF01969
ENSSSCG00000036807	ENSG00000183706	NA	OR4N4
ENSSSCG00000034945	ENSG00000252188	RF00561	RF00561
ENSSSCG00000038493	ENSG00000113068	PFDN1	PFDN1
ENSSSCG00000018091	ENSG00000198786	ND5	MT-ND5
ENSSSCG00000034945	ENSG00000251704	RF00561	RF00561
ENSSSCG00000040689	ENSG00000110244	APOA4	APOA4
ENSSSCG00000037668	ENSG00000204702	NA	OR2J1
ENSSSCG00000039779	ENSG00000089199	CHGB	CHGB
ENSSSCG00000008725	ENSG00000170891	CYTL1	CYTL1
ENSSSCG00000040817	ENSG00000274230	RF01964	RF01964
ENSSSCG00000018094	ENSG00000198727	CYTB	MT-CYB
ENSSSCG00000033127	ENSG00000172208	NA	OR4X2
ENSSSCG00000039460	ENSG00000108107	NA	RPL28
ENSSSCG00000023870	ENSG00000212304	RF00581	SNORD12
ENSSSCG00000034405	ENSG00000167077	MEI1	MEI1
ENSSSCG00000017998	ENSG00000065325	GLP2R	GLP2R
ENSSSCG00000036807	ENSG00000285472	NA	AC134980.3
ENSSSCG00000040193	ENSG00000206077	NA	ZDHHC11B
ENSSSCG00000018075	ENSG00000198804	COX1	MT-CO1
ENSSSCG00000006049	ENSG00000164933	NA	SLC25A32
ENSSSCG00000039471	ENSG00000182070	NA	OR52A1
ENSSSCG00000034945	ENSG00000253047	RF00561	RF00561
ENSSSCG00000024876	ENSG00000146433	TMEM181	TMEM181
ENSSSCG00000031525	ENSG00000183654	MARCH11	MARCH11
ENSSSCG00000026564	ENSG00000242715	NA	CCDC169
ENSSSCG00000008675	ENSG00000168924	LETM1	LETM1
ENSSSCG00000018069	ENSG00000198763	ND2	MT-ND2
ENSSSCG00000018605	ENSG00000207392	RF00401	SNORA20
ENSSSCG00000019928	ENSG00000201660	RF00401	RF00401
ENSSSCG00000031618	ENSG00000201660	RF00401	RF00401
ENSSSCG00000026753	ENSG00000144909	OSBPL11	OSBPL11
ENSSSCG00000018087	ENSG00000198886	ND4	MT-ND4
ENSSSCG00000020206	ENSG00000252693	RF00561	RF00561
ENSSSCG00000034945	ENSG00000222966	RF00561	RF00561
ENSSSCG00000034945	ENSG00000273499	RF00561	RF00561
ENSSSCG00000018082	ENSG00000198938	COX3	MT-CO3
ENSSSCG00000028359	ENSG00000109743	BST1	BST1
ENSSSCG00000039016	ENSG00000222490	RF00026	RNU6-712P
ENSSSCG00000024084	ENSG00000209042	RF00581	SNORD12C
ENSSSCG00000032695	ENSG00000272445	RF00026	RNU6-84P
ENSSSCG00000034945	ENSG00000252352	RF00561	RF00561
ENSSSCG00000037198	ENSG00000181371	NA	OR5M8
ENSSSCG00000033535	ENSG00000106341	PPP1R17	PPP1R17
ENSSSCG00000040752	ENSG00000138326	NA	RPS24
ENSSSCG00000012371	ENSG00000169083	AR	AR
ENSSSCG00000033426	ENSG00000204703	NA	OR2B3
ENSSSCG00000033051	ENSG00000177084	POLE	POLE
ENSSSCG00000034194	ENSG00000181767	NA	OR8H2
ENSSSCG00000034885	ENSG00000169488	NA	OR4K15
ENSSSCG00000036807	ENSG00000280709	NA	LINC02203
ENSSSCG00000020764	ENSG00000167791	CABP2	CABP2
ENSSSCG00000008881	ENSG00000109756	RAPGEF2	RAPGEF2
ENSSSCG00000034945	ENSG00000212587	RF00561	SNORA40C
ENSSSCG00000026111	ENSG00000283927	MIR133A-2	MIR133A1
ENSSSCG00000019007	ENSG00000221059	RF00619	RNU6ATAC6P
ENSSSCG00000036252	ENSG00000277678	RF00003	RF00003
ENSSSCG00000020469	ENSG00000221518	RF00619	RNU6ATAC16P
ENSSSCG00000018448	ENSG00000207523	RF00155	SNORA66
ENSSSCG00000039222	ENSG00000176788	NA	BASP1
ENSSSCG00000020528	ENSG00000212345	RF00026	RNU6-700P
ENSSSCG00000002877	ENSG00000089335	NA	ZNF302
ENSSSCG00000018412	ENSG00000221363	RF00619	RNU6ATAC20P
ENSSSCG00000034336	ENSG00000277694	RF01979	RF01979
ENSSSCG00000014998	ENSG00000149313	AASDHPPT	AASDHPPT
ENSSSCG00000019280	ENSG00000201660	RF00401	RF00401
ENSSSCG00000018716	ENSG00000271907	RF00566	SNORA35B
ENSSSCG00000034079	ENSG00000277269	RF02148	RF02148
ENSSSCG00000036252	ENSG00000206698	RF00003	RNU1-73P
ENSSSCG00000036356	ENSG00000176371	ZSCAN2	ZSCAN2
ENSSSCG00000034375	ENSG00000284231	ssc-mir-424	MIR424
ENSSSCG00000016385	ENSG00000156345	NA	CDK20
ENSSSCG00000000500	ENSG00000258052	NA	AC025263.2
ENSSSCG00000023604	ENSG00000002549	LAP3	LAP3
ENSSSCG00000019154	ENSG00000283904	ssc-mir-155	MIR155
ENSSSCG00000002877	ENSG00000197841	NA	ZNF181
ENSSSCG00000037833	ENSG00000251608	NA	OR12D1
ENSSSCG00000040697	ENSG00000120685	PROSER1	PROSER1
ENSSSCG00000036252	ENSG00000199426	RF00003	RNU1-108P
ENSSSCG00000020595	ENSG00000221375	RF00619	RNU6ATAC23P
ENSSSCG00000030350	ENSG00000006059	NA	KRT33A
ENSSSCG00000036252	ENSG00000275987	RF00003	RF00003
ENSSSCG00000033430	ENSG00000176294	NA	OR4N2
ENSSSCG00000022222	ENSG00000128654	MTX2	MTX2
ENSSSCG00000003055	ENSG00000073050	XRCC1	XRCC1
ENSSSCG00000004761	ENSG00000166140	ZFYVE19	ZFYVE19
ENSSSCG00000018563	ENSG00000209582	RF00554	SNORA48
ENSSSCG00000015986	ENSG00000128645	HOXD1	HOXD1
ENSSSCG00000036522	ENSG00000210709	RF00619	RNU6ATAC3P
ENSSSCG00000038061	ENSG00000274051	RF02271	RF02271
ENSSSCG00000021926	ENSG00000221676	RF00619	RNU6ATAC
ENSSSCG00000036252	ENSG00000275229	RF00003	RNU1-68P
ENSSSCG00000032751	ENSG00000269035	NA	AC010319.2
ENSSSCG00000026060	ENSG00000180822	NA	PSMG4
ENSSSCG00000034808	ENSG00000206596	RF00003	RNU1-27P
ENSSSCG00000039548	ENSG00000122420	PTGFR	PTGFR
ENSSSCG00000019843	ENSG00000221468	RF00619	RNU6ATAC11P
ENSSSCG00000019493	ENSG00000207827	ssc-mir-30e	MIR30A
ENSSSCG00000036252	ENSG00000200997	RF00003	RNU1-85P
ENSSSCG00000033309	ENSG00000186113	NA	OR5D14
ENSSSCG00000036252	ENSG00000273516	RF00003	RF00003
ENSSSCG00000020469	ENSG00000221564	RF00619	RNU6ATAC42P
ENSSSCG00000035742	ENSG00000284564	MIR3064	MIR3064
ENSSSCG00000005266	ENSG00000165091	TMC1	TMC1
ENSSSCG00000013761	ENSG00000132024	CC2D1A	CC2D1A
ENSSSCG00000025362	ENSG00000252135	RF00003	RNVU1-2
ENSSSCG00000015843	ENSG00000104691	UBXN8	UBXN8
ENSSSCG00000025362	ENSG00000252491	RF00003	RNU1-142P
ENSSSCG00000015898	ENSG00000184611	KCNH7	KCNH7
ENSSSCG00000032630	ENSG00000275958	RF02271	RF02271
ENSSSCG00000037113	ENSG00000273515	RF02091	RF02091
ENSSSCG00000025362	ENSG00000252826	RF00003	RNU1-92P
ENSSSCG00000009237	ENSG00000173083	HPSE	HPSE
ENSSSCG00000010300	ENSG00000166343	MSS51	MSS51
ENSSSCG00000036252	ENSG00000252105	RF00003	RNU1-143P
ENSSSCG00000018951	ENSG00000199043	ssc-mir-335	MIR335
ENSSSCG00000035008	ENSG00000252807	RF00026	RNU6-1006P
ENSSSCG00000025362	ENSG00000202313	RF00003	RNU1-64P
ENSSSCG00000036252	ENSG00000277234	RF00003	RNU1-5P
ENSSSCG00000031894	ENSG00000179626	NA	OR6C4
ENSSSCG00000005030	ENSG00000087303	NID2	NID2
ENSSSCG00000001921	ENSG00000067141	NEO1	NEO1
ENSSSCG00000014369	ENSG00000170458	CD14	CD14
ENSSSCG00000038759	ENSG00000211789	NA	TRAV12-2
ENSSSCG00000038262	ENSG00000165684	SNAPC4	SNAPC4
ENSSSCG00000020372	ENSG00000253085	RF00564	RF00564
ENSSSCG00000036252	ENSG00000200231	RF00003	RNU1-23P
ENSSSCG00000009393	ENSG00000123179	EBPL	EBPL
ENSSSCG00000019203	ENSG00000208839	RF00566	SNORA35
ENSSSCG00000036936	ENSG00000208839	RF00566	SNORA35
ENSSSCG00000011750	ENSG00000075651	PLD1	PLD1
ENSSSCG00000020111	ENSG00000253001	RF00100	RN7SKP105
ENSSSCG00000018731	ENSG00000207656	ssc-mir-489	MIR489
ENSSSCG00000009129	ENSG00000145365	TIFA	TIFA
ENSSSCG00000035758	ENSG00000172362	NA	OR5B12
ENSSSCG00000017743	ENSG00000176390	CRLF3	CRLF3
ENSSSCG00000002972	ENSG00000269547	NA	AC011455.2
ENSSSCG00000021183	ENSG00000207961	MIR496	MIR496
ENSSSCG00000012528	ENSG00000166681	BEX3	BEX3
ENSSSCG00000038759	ENSG00000211794	NA	TRAV12-3
ENSSSCG00000002972	ENSG00000104835	NA	SARS2
ENSSSCG00000020608	ENSG00000207023	RF00026	RNU6-975P
ENSSSCG00000025362	ENSG00000252990	RF00003	RNU1-54P
ENSSSCG00000018708	ENSG00000238707	RF01299	RF01299
ENSSSCG00000018621	ENSG00000238707	RF01299	RF01299
ENSSSCG00000025362	ENSG00000252561	RF00003	RNU1-125P
ENSSSCG00000029242	ENSG00000263793	MIR3115	MIR3115
ENSSSCG00000036252	ENSG00000206917	RF00003	RNU1-52P
ENSSSCG00000036252	ENSG00000277344	RF00003	RNU1-6P
ENSSSCG00000020115	ENSG00000207969	MIR507	MIR507
ENSSSCG00000036522	ENSG00000210839	RF00619	RNU6ATAC5P
ENSSSCG00000020372	ENSG00000251898	RF00564	SCARNA11
ENSSSCG00000022659	ENSG00000141367	CLTC	CLTC
ENSSSCG00000018729	ENSG00000284346	MIR940	MIR940
ENSSSCG00000021771	ENSG00000238833	RF00003	RNU1-131P
ENSSSCG00000037833	ENSG00000280236	NA	OR12D2
ENSSSCG00000035458	ENSG00000277941	RF01875	RF01875
ENSSSCG00000033420	ENSG00000131115	ZNF227	ZNF227
ENSSSCG00000019280	ENSG00000252689	RF00401	RF00401
ENSSSCG00000020212	ENSG00000252118	RF00619	RNU6ATAC39P
ENSSSCG00000035756	ENSG00000160307	NA	S100B
ENSSSCG00000018104	ENSG00000207468	RF00413	SNORA19
ENSSSCG00000037113	ENSG00000275502	RF02091	RF02091
ENSSSCG00000036252	ENSG00000200745	RF00003	RNU1-31P
ENSSSCG00000034808	ENSG00000273768	RF00003	RF00003
ENSSSCG00000022719	ENSG00000139832	RAB20	RAB20
ENSSSCG00000019173	ENSG00000284329	ssc-mir-9-3	MIR9-3
ENSSSCG00000032751	ENSG00000188051	NA	TMEM221
ENSSSCG00000023424	ENSG00000239057	MIR500B	MIR500B
ENSSSCG00000018541	ENSG00000222588	RF00413	RF00413
ENSSSCG00000018746	ENSG00000238942	RF01299	SNORD2
ENSSSCG00000039009	ENSG00000106772	NA	PRUNE2
ENSSSCG00000036061	ENSG00000211802	NA	TRAV22
ENSSSCG00000020353	ENSG00000252727	RF00564	RF00564
ENSSSCG00000031189	ENSG00000125871	NA	MGME1
ENSSSCG00000018398	ENSG00000207569	MIR433	MIR433
ENSSSCG00000023014	ENSG00000161649	NA	CD300LG
ENSSSCG00000007197	ENSG00000101282	RSPO4	RSPO4
ENSSSCG00000018352	ENSG00000206754	RF00186	SNORD101
ENSSSCG00000034062	ENSG00000122012	SV2C	SV2C
ENSSSCG00000032699	ENSG00000172150	NA	OR1A2
ENSSSCG00000027591	ENSG00000252190	RF00492	RF00492
ENSSSCG00000020045	ENSG00000252190	RF00492	RF00492
ENSSSCG00000035898	ENSG00000275158	NA	TRBV12-5
ENSSSCG00000036091	ENSG00000133131	MORC4	MORC4
ENSSSCG00000036188	ENSG00000164975	NA	SNAPC3
ENSSSCG00000038961	ENSG00000206638	RF00026	RNU6-672P
ENSSSCG00000018530	ENSG00000206910	RF00429	SNORA29
ENSSSCG00000019923	ENSG00000207800	ssc-mir-504	MIR504
ENSSSCG00000018612	ENSG00000212452	RF00574	SNORD69
ENSSSCG00000018203	ENSG00000212420	RF00026	RNU6-1111P
ENSSSCG00000021648	ENSG00000199783	RF00275	RF00275
ENSSSCG00000019284	ENSG00000207475	RF00406	SNORA80E
ENSSSCG00000009784	ENSG00000150967	ABCB9	ABCB9
ENSSSCG00000021648	ENSG00000207444	RF00275	SNORD56B
ENSSSCG00000015987	ENSG00000116044	NFE2L2	NFE2L2
ENSSSCG00000030018	ENSG00000186496	ZNF396	ZNF396
ENSSSCG00000040761	ENSG00000277124	RF01888	RF01888
ENSSSCG00000036810	ENSG00000152213	ARL11	ARL11
ENSSSCG00000017814	ENSG00000187624	NA	C17orf97
ENSSSCG00000032863	ENSG00000206841	RF00026	RNU6-409P
ENSSSCG00000028126	ENSG00000154889	MPPE1	MPPE1
ENSSSCG00000000847	ENSG00000139372	TDG	TDG
ENSSSCG00000018364	ENSG00000275558	RF00100	RN7SKP175
ENSSSCG00000018295	ENSG00000201032	RF00026	RNU6-704P
ENSSSCG00000040170	ENSG00000275054	RF02183	RF02183
ENSSSCG00000028212	ENSG00000207996	ssc-mir-301	MIR301A
ENSSSCG00000020093	ENSG00000252712	RF00582	SCARNA14
ENSSSCG00000027845	ENSG00000206633	RF00406	SNORA80B
ENSSSCG00000038051	ENSG00000274760	RF02216	RF02216
ENSSSCG00000036041	ENSG00000274547	RF02251	RF02251
ENSSSCG00000027451	ENSG00000207811	MIR34B	MIR34B
ENSSSCG00000016671	ENSG00000180347	ITPRID1	ITPRID1
ENSSSCG00000020340	ENSG00000212384	RF00181	SNORD113-2
ENSSSCG00000010855	ENSG00000255835	NA	AL117348.2
ENSSSCG00000036292	ENSG00000211801	NA	TRAV21
ENSSSCG00000032627	ENSG00000200350	RF00026	RNU6-1285P
ENSSSCG00000036337	ENSG00000200350	RF00026	RNU6-1285P
ENSSSCG00000040630	ENSG00000279514	NA	OR4C16
ENSSSCG00000038361	ENSG00000281516	RF00423	RF00423
ENSSSCG00000018233	ENSG00000201980	RF00091	RF00091
ENSSSCG00000005836	ENSG00000187922	LCN10	LCN10
ENSSSCG00000027591	ENSG00000252020	RF00492	RF00492
ENSSSCG00000020045	ENSG00000252020	RF00492	RF00492
ENSSSCG00000023669	ENSG00000277846	RF00088	SNORD30
ENSSSCG00000026222	ENSG00000272015	RF00091	RF00091
ENSSSCG00000019937	ENSG00000222588	RF00413	RF00413
ENSSSCG00000036771	ENSG00000220986	RF00407	SNORA50D
ENSSSCG00000035358	ENSG00000220986	RF00407	SNORA50D
ENSSSCG00000018598	ENSG00000220986	RF00407	SNORA50D
ENSSSCG00000032105	ENSG00000238503	RF00093	RF00093
ENSSSCG00000021648	ENSG00000200753	RF00275	RF00275
ENSSSCG00000036238	ENSG00000275939	RF02271	RF02271
ENSSSCG00000033523	ENSG00000276528	RF01975	RF01975
ENSSSCG00000018926	ENSG00000199574	RF00093	SNORD18C
ENSSSCG00000018637	ENSG00000222343	RF00100	RN7SKP139
ENSSSCG00000034549	ENSG00000200150	RF00181	RF00181
ENSSSCG00000039625	ENSG00000200150	RF00181	RF00181
ENSSSCG00000032293	ENSG00000200150	RF00181	RF00181
ENSSSCG00000036212	ENSG00000200150	RF00181	RF00181
ENSSSCG00000038625	ENSG00000200150	RF00181	RF00181
ENSSSCG00000040572	ENSG00000200150	RF00181	RF00181
ENSSSCG00000037419	ENSG00000200150	RF00181	RF00181
ENSSSCG00000032458	ENSG00000252073	RF00026	RNU6-947P
ENSSSCG00000035782	ENSG00000207077	RF00026	RNU6-1119P
ENSSSCG00000021648	ENSG00000200112	RF00275	RF00275
ENSSSCG00000016173	ENSG00000138363	ATIC	ATIC
ENSSSCG00000019194	ENSG00000199753	RF00289	SNORD104
ENSSSCG00000019587	ENSG00000202529	RF00093	SNORD18B
ENSSSCG00000031494	ENSG00000200789	RF00003	RNU1-65P
ENSSSCG00000033096	ENSG00000281910	RF00407	SNORA50A
ENSSSCG00000036790	ENSG00000118507	AKAP7	AKAP7
ENSSSCG00000001453	ENSG00000204287	HLA-DRA	HLA-DRA
ENSSSCG00000040290	ENSG00000215966	MIR876	MIR876
ENSSSCG00000037925	ENSG00000237388	NA	OR4A47
ENSSSCG00000019224	ENSG00000221740	RF00606	SNORD93
ENSSSCG00000008020	ENSG00000187535	IFT140	IFT140
ENSSSCG00000035442	ENSG00000123643	SLC36A1	SLC36A1
ENSSSCG00000029877	ENSG00000075975	MKRN2	MKRN2
ENSSSCG00000029569	ENSG00000175325	PROP1	PROP1
ENSSSCG00000031989	ENSG00000277524	RF02175	RF02175
ENSSSCG00000018875	ENSG00000202601	ssc-mir-582	MIR582
ENSSSCG00000020562	ENSG00000251733	RF00286	SCARNA8
ENSSSCG00000019829	ENSG00000206855	RF00026	RNU6-571P
ENSSSCG00000019284	ENSG00000207217	RF00406	SNORA80D
ENSSSCG00000012771	ENSG00000130821	SLC6A8	SLC6A8
ENSSSCG00000033237	ENSG00000274491	RF02130	RF02130
ENSSSCG00000037563	ENSG00000278233	RF00002	RNA5-8SN2
ENSSSCG00000015988	ENSG00000170144	HNRNPA3	HNRNPA3
ENSSSCG00000000119	ENSG00000100129	EIF3L	EIF3L
ENSSSCG00000034244	ENSG00000275071	RF02271	RF02271
ENSSSCG00000033515	ENSG00000211807	NA	TRAV26-1
ENSSSCG00000032714	ENSG00000211807	NA	TRAV26-1
ENSSSCG00000035898	ENSG00000274752	NA	TRBV12-3
ENSSSCG00000035035	ENSG00000212385	RF00026	RNU6-817P
ENSSSCG00000040471	ENSG00000278643	RF02271	RF02271
ENSSSCG00000040451	ENSG00000223265	RF00026	RNU6-592P
ENSSSCG00000040234	ENSG00000106153	NA	CHCHD2
ENSSSCG00000026956	ENSG00000207548	ssc-mir-217-1	MIR217
ENSSSCG00000037740	ENSG00000275634	RF02160	RF02160
ENSSSCG00000036779	ENSG00000274917	RF00002	RNA5-8SN2
ENSSSCG00000019338	ENSG00000251922	RF00397	RF00397
ENSSSCG00000034467	ENSG00000201028	RF00026	RNU6-151P
ENSSSCG00000018455	ENSG00000199846	RF00003	RNU1-72P
ENSSSCG00000040506	ENSG00000201823	RF00282	SNORD48
ENSSSCG00000035162	ENSG00000267120	NA	AD000671.2
ENSSSCG00000019020	ENSG00000207779	ssc-mir-15b	MIR15B
ENSSSCG00000032593	ENSG00000200296	RF00003	RNU1-83P
ENSSSCG00000040173	ENSG00000116544	DLGAP3	DLGAP3
ENSSSCG00000012771	ENSG00000273554	SLC6A8	AC136616.1
ENSSSCG00000018748	ENSG00000207421	RF00476	SNORD38B
ENSSSCG00000033888	ENSG00000281295	RF00407	SNORA50B
ENSSSCG00000029719	ENSG00000212377	RF00440	RF00440
ENSSSCG00000032286	ENSG00000211800	NA	TRAV20
ENSSSCG00000040478	ENSG00000278498	RF02271	RF02271
ENSSSCG00000034691	ENSG00000275372	RF01984	RF01984
ENSSSCG00000023906	ENSG00000252947	RF00553	SCARNA1
ENSSSCG00000032699	ENSG00000172146	NA	OR1A1
ENSSSCG00000038362	ENSG00000091317	CMTM6	CMTM6
ENSSSCG00000028940	ENSG00000253032	RF00026	RNU6-299P
ENSSSCG00000038302	ENSG00000201569	RF00181	SNORD114-17
ENSSSCG00000019848	ENSG00000201569	RF00181	SNORD114-17
ENSSSCG00000038302	ENSG00000201839	RF00181	SNORD114-3
ENSSSCG00000019848	ENSG00000201839	RF00181	SNORD114-3
ENSSSCG00000039908	ENSG00000274606	RF02190	RF02190
ENSSSCG00000038479	ENSG00000207547	MIR25	MIR25
ENSSSCG00000032534	ENSG00000199765	RF00026	RNU6-363P
ENSSSCG00000009278	ENSG00000102678	FGF9	FGF9
ENSSSCG00000019718	ENSG00000207068	RF00026	RNU6-463P
ENSSSCG00000033640	ENSG00000243238	NA	IGKV2-30
ENSSSCG00000035162	ENSG00000161265	NA	U2AF1L4
ENSSSCG00000023313	ENSG00000271394	RF00100	RF00100
ENSSSCG00000032219	ENSG00000277732	RF02212	RF02212
ENSSSCG00000000680	ENSG00000250510	GPR162	GPR162
ENSSSCG00000039528	ENSG00000278072	RF01879	RF01879
ENSSSCG00000038753	ENSG00000275215	RF00002	RNA5-8SN2
ENSSSCG00000037004	ENSG00000165650	NA	PDZD8
ENSSSCG00000039056	ENSG00000007237	GAS7	GAS7
ENSSSCG00000019675	ENSG00000207818	ssc-mir-105-2	MIR105-2
ENSSSCG00000035163	ENSG00000211803	NA	TRAV23DV6
ENSSSCG00000032379	ENSG00000211803	NA	TRAV23DV6
ENSSSCG00000019338	ENSG00000201643	RF00397	SNORA14A
ENSSSCG00000021648	ENSG00000207299	RF00275	RF00275
ENSSSCG00000019284	ENSG00000199787	RF00406	RF00406
ENSSSCG00000034724	ENSG00000201384	RF00421	RF00421
ENSSSCG00000029455	ENSG00000252884	RF00026	RNU6-1213P
ENSSSCG00000039150	ENSG00000252884	RF00026	RNU6-1213P
ENSSSCG00000032246	ENSG00000211805	NA	TRAV24
ENSSSCG00000018790	ENSG00000284508	ssc-mir-133a-1	MIR133A2
ENSSSCG00000014244	ENSG00000164902	PHAX	PHAX
ENSSSCG00000018650	ENSG00000229686	RF00275	SNORD56
ENSSSCG00000040505	ENSG00000211813	NA	TRAV34
ENSSSCG00000018241	ENSG00000200898	RF00026	RNU6-1243P
ENSSSCG00000038252	ENSG00000276443	RF02164	RF02164
ENSSSCG00000038227	ENSG00000276443	RF02164	RF02164
ENSSSCG00000035898	ENSG00000276953	NA	TRBV12-4
ENSSSCG00000027591	ENSG00000274625	RF00492	RF00492
ENSSSCG00000020045	ENSG00000274625	RF00492	RF00492
ENSSSCG00000032458	ENSG00000207203	RF00026	RNU6-71P
ENSSSCG00000023605	ENSG00000277925	RF00024	RF00024
ENSSSCG00000036027	ENSG00000176058	TPRN	TPRN
ENSSSCG00000039329	ENSG00000278218	RF02271	RF02271
ENSSSCG00000018364	ENSG00000254144	RF00100	AC067930.1
ENSSSCG00000033322	ENSG00000183303	NA	OR5P2
ENSSSCG00000039941	ENSG00000199914	RF00181	SNORD114-16
ENSSSCG00000038259	ENSG00000273658	RF02271	RF02271
ENSSSCG00000036137	ENSG00000212327	RF00026	RNU6-882P
ENSSSCG00000029742	ENSG00000284140	MIR3618	MIR3618
ENSSSCG00000018401	ENSG00000207269	RF00100	RN7SKP62
ENSSSCG00000034886	ENSG00000222092	RF00026	RNU6-908P
