gene_name	InjuryRepair.Day28vsInjury.Day28_log2FoldChange	InjuryRepair.Day28vsInjury.Day28_padj
	0.23507323161193	1
	-0.358950668960141	1
BIN2	0.464515706565541	1
SCN8A	0.415099856493832	1
ANKRD33	0.145358419205138	1
ACVRL1	0.024282382106996	1
ACVR1B	0.263363587085414	1
GRASP	0.207195415572936	1
KRT82	-0.00852261129664485	1
KRT75	-0.00782212027865896	1
	NA	NA
	0	1
KRT85	NA	NA
KRT84	NA	NA
	0.516276787178478	1
KRT71	-0.00554045051055629	1
KRT5	0.64757897534716	1
KRT72	0.0864372702600744	1
KRT73	NA	NA
KRT1	NA	NA
KRT8	0.269394863456614	1
KRT18	0.349518805890326	1
ITGB7	-0.303639874795227	1
RARG	0.221953936758839	1
CSAD	0.0669447634873984	1
SOAT2	-0.217501594836497	1
IGFBP6	-0.361134602763943	1
SPRYD3	0.05296223138142	1
TNS2	-0.188047507177428	1
MFSD5	-0.0878862637036004	1
ESPL1	0.465952918936629	1
C12orf10	-0.462193367974365	1
AAAS	0.0864391679303327	1
AMHR2	-0.333720534209738	1
SP1	0.116005433338048	1
	0.019975845117543	1
PCBP2	-0.0380916927266742	1
MAP3K12	-0.281125863841508	1
TARBP2	-0.220519636594571	1
NPFF	-0.631429562653274	1
	0.239652449199101	1
HOXC13	-0.00783741430549871	1
HOXC12	NA	NA
HNRNPA1	-0.0192025384677742	1
NFE2	0.24089135054125	1
COPZ1	0.00754532717743362	1
GPR84	0.343373004146097	1
ZNF385A	0.426263618545789	1
ITGA5	0.38389264774472	1
NCKAP1L	0.553942150413024	1
	NA	NA
PDE1B	-0.389454203848391	1
PPP1R1A	-0.242042241913049	1
TESPA1	-0.00496223925501704	1
	0	1
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
BLOC1S1	-0.436275466086815	1
CD63	-0.197144305599515	1
RDH5	-0.00719568123799575	1
GDF11	0.106594837597676	1
SARNP	-0.221565792010211	1
	-0.199093818093822	1
DNAJC14	0.100229302469294	1
	-0.0701873386989539	1
MMP19	-0.136085530969503	1
DGKA	-0.0230554049298817	1
PMEL	0.870231002605951	1
CDK2	0.323078709861738	0.951711805684101
RPS26	-0.489908041706064	1
SUOX	0.147920968547285	1
	-0.111563263186821	1
ESYT1	0.309965875108766	1
SMARCC2	-0.0571489905766468	1
RNF41	0.0264830207462768	1
NABP2	-0.104443478723526	1
SLC39A5	-0.824128800739291	1
ANKRD52	0.344815895431039	1
PAN2	0.0859834310277122	1
	-0.164291441217693	1
STAT2	-0.110081772406887	1
APOF	0.0599506179782871	1
TIMELESS	0.488000763532936	1
MIP	0	1
GLS2	0.187804967334828	1
RBMS2	-0.462017231568986	0.847045112319655
BAZ2A	0.431539919062023	1
	-0.0777014963930288	1
	0.0580164546984281	1
NAB2	0.0845219068488751	1
MYO1A	-0.171853982336989	1
SDR9C7	0.00730341509134871	1
TAC3	0.130759113215745	1
RDH16	-0.266675882054094	1
LRP1	0.427474480147756	1
MBD6	0.098463223406951	1
B4GALNT1	0.235416144118852	1
ARHGEF25	-0.260594800693456	1
PIP4K2C	0.164513731606511	1
ARHGAP9	0.0386083223184867	1
KIF5A	0.249015976860309	1
INHBE	-0.00883459935872954	1
GLI1	0.158166809729209	1
DCTN2	-0.225528481658868	1
DTX3	-0.145793355457929	1
ATP23	-0.0477769361485951	1
LRIG3	-0.255111079566689	1
SLC16A7	-0.423613940750354	1
USP15	0.0607363268390186	1
MON2	0.129038586000777	1
	NA	NA
RXYLT1	-0.100583944749841	1
C12orf56	0.207047095000687	1
XPOT	0.187737757854066	1
LEMD3	0.0869937661725463	1
	-0.0134647115774903	1
IRAK3	0.0932260258558754	1
HELB	-0.113230430026497	1
GRIP1	-0.0805554514272329	1
IL22	0	1
	0.0961373625977218	1
	-0.0543532365277851	1
NUP107	0.0138487013249124	1
SLC35E3	0.117901189483508	1
MDM2	0.294847864979113	1
LYZ	0.126228567170631	1
FRS2	0.0817953108040135	1
CCT2	-0.106862234455171	1
BEST3	0.142941083630419	1
	0.369903591034111	1
CNOT2	-0.00573241298492988	1
PTPRB	0.295854455420993	1
ZFC3H1	-0.0156816728042667	1
TMEM19	-0.0360997728408976	1
TBC1D15	0.0542322670940789	1
TRHDE	-0.203992827358157	1
KCNC2	-0.190122340397072	1
CAPS2	-0.489323533685081	1
GLIPR1	0.395403717216029	1
PHLDA1	0.000268456956146264	1
NAP1L1	-0.324393596362706	1
BBS10	-0.213668952295952	1
SYT10	NA	NA
PKP2	-0.214890168856446	1
DNM1L	0.117536643009737	1
FGD4	0.141337549788585	1
BICD1	0.0805557932906895	1
IPO8	0.0322663058852867	1
ERGIC2	0.0542858634911028	1
OVCH1	-0.228133600572591	1
FAR2	0.520126905951355	0.750456976710131
KLHL42	0.254952622801634	1
MANSC4	-0.0446196195026634	1
MRPS35	0.271327360814411	1
PPFIBP1	0.384262837097222	1
SMCO2	NA	NA
ARNTL2	0.135133963115181	1
MED21	-0.202094028526792	1
TM7SF3	0.611525562895177	0.951711805684101
FGFR1OP2	-0.0747975582366768	1
ITPR2	0.18219810070482	1
RASSF8	0.194787021426559	1
LRMP	-0.358477221817124	1
SOX5	-0.0595486542563114	1
C2CD5	0.0544059885850964	1
ABCC9	-0.0812446303345851	1
KCNJ8	-0.132999956499654	1
	-0.151568220555577	1
GYS2	0.369547899205679	1
GOLT1B	0.207273707490761	1
RECQL	0.217696975351484	1
IAPP	0.00325818692597276	1
PYROXD1	-0.29109922162624	1
SLCO1A2	-0.164331323510726	1
SLCO1C1	-0.0207370482772134	1
AEBP2	-0.011248360962254	1
PLEKHA5	0.0385471154885153	1
CAPZA3	NA	NA
PLCZ1	-0.00768378060974774	1
PIK3C2G	-1.3263086003776	0.479153094847287
	0	1
SLC15A5	0	1
DERA	0.168284052149178	1
EPS8	-0.0155514251526285	1
PTPRO	0.111832920403247	1
RERG	0.290851185052154	1
ERP27	0.0219256155334548	1
ART4	-0.316116084559939	1
	0	1
SMCO3	NA	NA
	0.127623069733324	1
ATF7IP	-0.098486612534975	1
GRIN2B	-0.114497894930738	1
	NA	NA
FAM234B	0.0377983046762805	1
	0.022513471927545	1
BCL2L14	-0.634684749325884	1
LRP6	0.00268529806846155	1
	-0.00848183111297954	1
	-0.456350034595949	1
TAS2R9	NA	NA
YBX3	-0.0321270526855365	1
STYK1	-0.0104608616487132	1
	-0.0191161919140732	1
	0.373196688870591	1
	0.0449425280824759	1
	0	1
	-0.0660602244124821	1
	0	1
GABARAPL1	0.0177855895782155	1
OLR1	0.750522350507213	1
CLEC7A	0.495446501705173	1
CLEC1A	0.0589721706394136	1
CLEC1B	0.00728500906461106	1
CLEC12B	0.28609729560455	1
CD69	-0.0832270469285557	1
KLRF1	0.0500909453751932	1
CLEC2B	-0.0646662521932685	1
	-0.0834444965633144	1
	0.0427182139795845	1
A2M	0.548766914455147	1
PHC1	-0.071987111906474	1
	0.206164349832606	1
	0.352192343457038	1
RIMKLB	0.569553783603887	1
AICDA	-0.103321364077737	1
APOBEC1	NA	NA
GDF3	NA	NA
	0	1
CLSTN3	-0.0301044599598845	1
C1R	-0.0855007878985202	1
LRRC23	-0.601210374370009	1
GPR162	-0.462367148219929	1
P3H3	-0.301297731794074	1
GNB3	-0.273925736127879	1
CDCA3	0.204383116578615	1
USP5	0.0706054606109167	1
TPI1	-0.0182467258406611	1
CD4	-0.137081232782376	1
LAG3	-1.8223945170446	0.00714556705649839
MLF2	0.000446562992342092	1
COPS7A	-0.0928029259093868	1
PIANP	0.171498440099083	1
NCAPD2	0.230383215555345	1
GAPDH	-0.0362351438587014	1
IFFO1	-0.2777401364891	1
	-0.0979452805875912	1
	0.0189468096227985	1
LPAR5	-0.137562332622035	1
ACRBP	-0.270864796108492	0.951711805684101
ZNF384	0.159954024832754	1
VAMP1	0.520012667022093	1
TAPBPL	-0.180633807087398	1
CD27	-0.154926992883271	1
LTBR	-0.0151174613314777	1
SCNN1A	0.358049261881183	1
TNFRSF1A	0.0709336892780777	1
PLEKHG6	-0.179937056234517	1
VWF	0.21865916729615	1
	-0.808712328330278	1
KCNA1	-0.0198394672327693	1
KCNA6	0.42559619313982	1
	0	1
NDUFA9	-0.0662899010827956	1
AKAP3	-0.237961875050472	1
	0.272983320533073	1
RAD51AP1	0.142998869342248	1
C12orf4	-0.240962548503941	1
PARP11	0.0779431911145961	1
PRMT8	0.292526294862734	1
CRACR2A	-0.161748600443921	1
	-0.422007922056783	1
TSPAN9	0.0367195720986268	1
TEAD4	0.419157482430981	1
TULP3	-0.0574957839320251	1
RHNO1	0.337466576116264	1
FOXM1	0.509981254187394	1
TEX52	-0.0226587238097818	1
NRIP2	-0.161359723063517	1
ITFG2	-0.350355530788933	0.951711805684101
FKBP4	0.171369026111011	1
	-0.274081434234585	1
DDX11	0.00881910203000909	1
WASHC1	-0.282185330339278	1
IQSEC3	0.053828417067102	1
SLC6A12	0.0470950120712025	1
CCDC77	0.0431628269821374	1
WNK1	0.334655960308743	1
RAD52	-0.0339599052823599	1
ERC1	0.315608030495021	1
ADIPOR2	0.103810928154483	1
	-0.571432486083827	1
LRTM2	-0.518481259799801	1
HDHD5	0.0930386060695289	1
IL17RA	-0.0413864528048395	1
CECR2	0.232037672278411	1
ATP6V1E1	0.114625051872857	1
BID	-0.129262390593152	1
MICAL3	0.594788052759128	0.861510623142537
TUBA8	-0.0697125974382015	1
USP18	0.535948651798013	1
	NA	NA
CPNE8	0.241110938742083	1
KIF21A	0.309307317125766	1
ABCD2	-0.0244031300430641	1
	0.021252607533576	1
SLC2A13	0.229572539637598	1
LRRK2	0.0211677498166202	1
CNTN1	-0.366482677897269	1
PDZRN4	-0.833621379914035	1
PPHLN1	0.00865266535575712	1
ADAMTS20	0.162987760595565	1
TWF1	0.104840482689113	1
IRAK4	-0.235039116847081	1
PUS7L	-0.203810339229625	1
TMEM117	-0.097738691282154	1
NELL2	0.122601002788583	1
ANO6	0.306814349078941	1
SCAF11	0.102876425738771	1
SLC38A1	-0.0985340652158431	1
SLC38A2	-0.260153800896229	1
AMIGO2	0.545922704026853	1
PCED1B	0.0938837668646	1
	NA	NA
SENP1	0.01461180275424	1
H1FNT	NA	NA
CHST11	0.372419570860685	1
SLC41A2	0.0742869278019016	1
ALDH1L2	0.294460831752787	1
WASHC4	0.0210865199133858	1
APPL2	-0.204708793928909	1
KANSL2	-0.146704299260275	1
TXNRD1	0.0616490677856811	1
NFYB	-0.113353260779253	1
HCFC2	0.0498535630841745	1
TDG	0.424004281654463	0.894326306470539
GLT8D2	-0.0242031592339181	1
	-0.057553640057215	1
NT5DC3	-0.0401076884117931	1
	0.426320416513122	1
PAH	-0.375930576920338	1
IGF1	-0.58704412503289	1
PMCH	0.528312989375121	1
PARPBP	0.431998343989201	1
NUP37	0.0572687049345587	1
GNPTAB	-0.166332285873948	1
SYCP3	NA	NA
CHPT1	-0.166364668202862	1
MYBPC1	-1.29370069837788	0.750456976710131
	0.550724350000611	1
UTP20	0.253415518498793	1
ARL1	0.167535507023065	1
SLC5A8	-0.260401301182276	1
ANO4	-0.98718947235694	0.988764991895049
GAS2L3	-0.107957547368763	1
NR1H4	0	1
SCYL2	0.0663590262095333	1
ANKS1B	0.281869443692707	1
	NA	NA
APAF1	0.372621056162551	1
SLC25A3	-0.125185475530432	1
	-0.0696707975762086	1
NEDD1	-0.0582660252302786	1
LTA4H	-0.329528977675385	0.841539616821685
HAL	-0.0452214499938118	1
AMDHD1	0.274534534040464	1
CCDC38	0.346453075918422	1
SNRPF	0.0948906358032252	1
NTN4	0.0779148032859932	1
	NA	NA
VEZT	0.000187125153570033	1
FGD6	0.630862049137348	0.783702786487712
NR2C1	0.122984162100789	1
	-0.144350777980857	1
	-0.118053816823705	1
PLXNC1	0.557691849879163	1
	-0.00733389738810585	1
CRADD	-0.22895041955774	1
DCN	-0.428901090376781	1
LUM	-0.071640127812931	1
KERA	-1.78042858235302	0.198507409765464
EPYC	-1.05055122603298	0.969938027505858
POC1B	0.142003525765724	1
C12orf50	-0.209352452013859	1
C12orf29	-0.331876435092974	0.575464150473275
CEP290	-0.0176116541313561	1
TMTC3	-0.0451780622779328	1
NTS	0.171830217067029	1
LRRIQ1	-0.119734363837628	1
SLC6A15	-0.589054048492588	1
MYF5	-0.00782713148765756	1
ACSS3	0.338892438691634	1
PPFIA2	0.0836281582189205	1
METTL25	0.0539336109586827	1
OTOGL	0.0222750872069791	1
SYT1	-0.256367816439467	1
E2F7	0.833973495628012	0.841539616821685
	0.154958132531375	1
	0.10304953646392	1
TBC1D22A	-0.0805546792056203	1
DYRK2	0.171017028684879	1
	0.056967215282292	1
KLHDC7B	0.197243562673719	1
SYCE3	-0.933484259849061	0.773964430190411
LMF2	-0.0375695343058715	1
NCAPH2	-0.0601184164313269	1
ODF3B	0.0527787813098569	1
SBF1	0.185663232435746	1
PPP6R2	-0.121110610852292	1
HDAC10	-0.266032029724706	1
TUBGCP6	-0.100318092878977	1
SELENOO	-0.379104312749865	1
TRABD	-0.19213186745101	1
PANX2	-0.120968084753365	1
MOV10L1	0	1
MLC1	0.0211386714771992	1
ALG12	-0.31089574126979	1
CRELD2	0.129992480626872	1
TTLL8	0	1
	-0.791677116270805	1
EXOC2	-0.17005734684484	1
FOXQ1	0	1
GMDS	-0.218493908842563	1
PPP1R3G	0.457652388992595	1
RPP40	0.352037998590966	1
CDYL	0.160330765715594	1
ECI2	-0.198038729308674	1
	-0.020875861465552	1
PRPF4B	0.088034281797549	1
SLC22A23	0.794951951000935	0.867926151782675
	NA	NA
BPHL	0.00911848293831053	1
RIPK1	0.192006425624495	1
	0.0267258111167163	1
SERPINB1	-0.0163963945332848	1
RREB1	0.513416812146995	1
SSR1	0.399558394195085	1
RIOK1	0.0946735294974383	1
DSP	0.122035376414091	1
BMP6	-0.193303441441463	1
SLC35B3	-0.0839624183336192	1
	NA	NA
TFAP2A	0.363515084055963	1
	-0.0460757181198885	1
C6orf52	-0.457505340991831	1
PAK1IP1	-0.124359567675787	1
MAK	0.0454795065377498	1
ELOVL2	0.316424832531626	1
ADTRP	0.022002129188819	1
HIVEP1	0.219170716250624	1
PHACTR1	0.214343063545903	1
TBC1D7	-0.189357731818731	1
RANBP9	0.235594808993099	1
MCUR1	0.432094104976331	1
	NA	NA
JARID2	0.168789802109949	1
DTNBP1	-0.30302256838097	1
	-0.245219795003436	1
GMPR	-0.366475731851947	1
ATXN1	0.124932952604938	1
STMND1	-0.57710131463265	1
CAP2	-0.23719276555048	1
FAM8A1	-0.107343536959194	1
NHLRC1	0.017077802121574	1
TPMT	-0.0899911002746687	1
KDM1B	0.289383187766295	1
	0.197306569534773	1
RNF144B	0.650067815116253	1
MBOAT1	0.315748782901925	1
CDKAL1	-0.147118955667547	1
SOX4	-0.63404547698803	0.951711805684101
	-0.00742264029529521	1
DCDC2	0.0220595784351692	1
MRS2	0.113469524081362	1
	0.495747545666736	1
GPLD1	-0.0232855167747375	1
ALDH5A1	0.01808856628338	1
KIAA0319	0.0891895113362632	1
TDP2	0.0767905393959224	1
GMNN	0.207946414723233	1
ARMH2	-0.00847328279658267	1
	-0.329589350915192	1
	-0.314822465654855	1
CMAH	-0.0981270560704805	1
CARMIL1	-0.108961637796914	1
SCGN	-0.00343015977343721	1
	0	1
SLC17A1	-0.090298375821318	1
BTN2A2	-0.371018191354335	1
BTN1A1	-0.0771111195741182	1
HIST1H1D	0.788203716715573	0.82647732037916
ZNF322	-0.0737560380662531	1
ZNF184	0.240511170466353	1
	0	1
ZNF165	0.0146193678977536	1
ZKSCAN8	0.117657631476327	1
	-0.0208105849709067	1
ZSCAN9	0.0261862878343618	1
ZKSCAN4	-0.342020943039283	1
NKAPL	0.0483446003612534	1
ZSCAN26	-0.262312959824634	1
PGBD1	-0.436070912634936	0.951711805684101
ZSCAN12	-0.0554714484667703	1
	NA	NA
GPX6	0.0201016515230625	1
GPX5	0.199021212437195	1
	0.109693735830187	1
TRIM27	-0.056497577894848	1
	0.010925581203824	1
	0.20252237521808	1
	0.0445790011466248	1
TRIM26	0.068550150022425	1
TRIM10	-0.110775508573423	1
TRIM15	0.00677062425671264	1
TRIM40	-0.0286316871536386	1
GABBR1	-0.233690075977588	1
ZNRD1	-0.189857013614057	1
ZFP57	0.248262449542443	1
MOG	-0.100863346724063	1
	-0.10809809196005	1
	0	1
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	0.0552029923982292	1
TRIM39	0.021559230512716	1
ABCF1	-0.0181426197501762	1
PPP1R10	0.278598004350463	1
MDC1	0.129647879696773	1
GNL1	-0.219078252640649	1
DHX16	0.0525114386225146	1
TUBB	0.181440948525377	1
DDR1	-0.0110837141717717	1
GTF2H4	-0.166100618818649	1
VARS2	-0.0585748139671649	1
C6orf15	NA	NA
CCHCR1	-0.228369768522828	1
TCF19	0.341660279055875	1
	-0.721510247106481	1
	0.0706215863842315	1
	-0.108227071839572	1
	0.115917762047436	1
	-0.301556073369564	1
DDX39B	-0.188577684277447	1
ATP6V1G2-DDX39B	-0.387780406895098	1
NFKBIL1	-0.462293028539047	1
LTA	0.00911933231893876	1
TNF	0.103965030988483	1
LTB	-0.492971942596233	1
	0.00673138656962646	1
PRRC2A	0.0597038667064231	1
BAG6	0.0587685402686741	1
APOM	-0.0736936408353173	1
GPANK1	-0.40002175623112	1
	-0.219627168513633	1
LY6G5C	0.240572417229996	1
NEU1	-0.169028748183363	1
SLC44A4	-0.431511679696279	1
EHMT2	-0.179165003883856	1
ZBTB12	-0.0793014510357503	1
C2	0.0336748561474388	1
NELFE	-0.236279107412278	1
SKIV2L	-0.0919192492674745	1
DXO	-0.381639130636028	1
STK19	-0.211138540563204	1
C4A	-1.01962347906002	0.749048453880233
CYP21A2	-0.765584957375795	1
ATF6B	-0.155936147584291	1
	-0.201370931798128	1
	0.0509045089575955	1
EGFL8	-0.70064405763474	0.984341272175879
AGPAT1	0.0449051839855139	1
RNF5	-0.0422709096471382	1
AGER	0.129532458704509	1
PBX2	-0.10247490248272	1
GPSM3	0.376172489742829	1
NOTCH4	0.337986710115312	1
	NA	NA
	NA	NA
	0.0705958371062879	1
HLA-DRA	0.0358902147629043	1
	0.145693738082842	1
	0.0344287616404577	1
SLA-DQB1	0.184697698507965	1
	-0.068666211698679	1
HLA-DOB	-0.182976693462615	1
PSMB9	0.0652633988389678	1
SLA-DMB	-0.0172921674727803	1
SLA-DMA	0.0643215523218011	1
BRD2	0.0789035570450747	1
SLA-DOA	0.488567906287252	1
COL11A2	0.192716685291221	1
RXRB	-0.146556543903348	1
SLC39A7	-0.088113872419249	1
HSD17B8	-0.399740194313447	1
RING1	-0.276441680684468	1
BMP5	-0.620782709422359	1
HMGCLL1	-0.307212858882413	1
GFRAL	0.296787796884865	1
HCRTR2	NA	NA
FAM83B	0.0350072760647775	1
TINAG	0.0795492027098848	1
MLIP	0.0813444632680188	1
LRRC1	0.365845194026217	1
KLHL31	-0.485260061687102	1
GCLC	0.113675251800438	1
	0.0201016515230625	1
KHDRBS2	-0.461091716618003	1
PRIM2	0.385552420003468	0.999778294889956
ZNF451	0.0539991333014083	1
BEND6	-0.23710569914232	1
DST	0.0959747500130489	1
	-0.334126093323299	1
VPS52	-0.0769394944723862	1
RPS18	-0.377681795624952	1
B3GALT4	-0.479356774943306	1
WDR46	-0.255974673865583	1
	-0.3482556160647	1
RGL2	-0.103410766422968	1
TAPBP	0.188409195740644	1
DAXX	-0.0459263312197997	1
KIFC1	0.115522532394934	1
PHF1	-0.313647420088119	1
CUTA	-0.342121374931322	1
SYNGAP1	-0.193103010887575	1
BAK1	0.164124186261789	1
	-0.595713253830549	0.992267329788745
ITPR3	0.832049968140017	0.749321952377336
LEMD2	-0.143581886876148	1
MLN	NA	NA
GRM4	-0.620702913993087	1
C6orf106	0.0933482115149517	1
RPS10	-0.491174958949704	1
	-0.05749709321682	1
UHRF1BP1	0.365457967589685	1
TAF11	-0.450645236218566	0.861510623142537
ANKS1A	0.0446340964833632	1
TCP11	-0.213203093236927	1
SCUBE3	0.310754534405124	1
ZNF76	-0.0967718753031345	1
DEF6	0.00624311987965962	1
PPARD	0.297115805454417	0.781432008814667
	0	1
RPL10A	-0.411475914419684	1
TEAD3	0.215099453972594	1
FANCE	-0.0485178488142837	1
FKBP5	0.388581600754861	1
ARMC12	0.805225042221131	1
	0.492334492604234	1
CLPS	-0.00883033728673963	1
LHFPL5	NA	NA
SRPK1	0.111997145861184	1
SLC26A8	0.0216410203525623	1
MAPK14	0.0929795411380518	1
PNPLA1	-0.0239503998237102	1
C6orf222	0.0230302370866846	1
ETV7	-0.0206493034724487	1
KCTD20	0.119360052836248	1
STK38	0.121579000966172	1
SRSF3	0.162999801497928	1
CDKN1A	0.935193417332251	0.671573214108815
RAB44	0.167567037859308	1
CPNE5	-0.415779722732903	1
PI16	-0.0481811306374698	1
MTCH1	-0.137241873522146	1
FGD2	0.324410851789057	1
PIM1	0.181666624980108	1
	NA	NA
TMEM217	NA	NA
TBC1D22B	0.26497152551205	1
RNF8	0.0289059334449456	1
CMTR1	0.212188765028296	1
MDGA1	0.316423737384859	1
DNAH8	0.743136207496074	1
GLP1R	0.207571585120606	1
KCNK17	0.0208081017854469	1
	-0.209505971995187	1
DAAM2	-0.203653078153876	1
	-0.0166439319392466	1
LRFN2	-0.240972162216128	1
NFYA	-0.0174132097223414	1
	-0.299610753694287	1
TREML1	0	1
TREML2	-0.088125402142848	1
	0.00661499470644115	1
FOXP4	0.382556529565795	0.951711805684101
MDFI	0.0573663027699717	1
TFEB	-0.522617715058505	1
FRS3	0.124406637661242	1
PGC	0.583997585268451	1
USP49	0.104560693674062	1
	-0.364806340078403	1
GUCA1A	-1.06824802729775	0.951711805684101
GUCA1B	-0.168896133484938	1
MRPS10	-0.0371438824752143	1
TRERF1	0.159401286396954	1
UBR2	0.191116964194624	1
BICRAL	0.0679841516700549	1
PTCRA	NA	NA
CNPY3	-0.256386607791402	1
PEX6	-0.353178435980633	0.951711805684101
PPP2R5D	-0.0737485384558619	1
MEA1	-0.316053178759875	1
RRP36	-0.42035891835812	1
CUL7	-0.0931895289053546	1
MRPL2	0.0350449250597303	1
KLC4	-0.41095886792156	0.951711805684101
PTK7	0.00407048552513842	1
SRF	0.295703873389551	1
TTBK1	0	1
ZNF318	0.199197747722539	1
CRIP3	-0.154543488642127	1
LRRC73	0.244841232930481	1
XPO5	0.309458365929814	1
ABCC10	0.100629161741438	1
DLK2	-0.490303835274645	1
POLH	-0.00339399923037505	1
TJAP1	-0.162832269422046	1
GTPBP2	0.298054738283614	1
RSPH9	-0.0990703268159364	1
MRPS18A	-0.315788085473031	1
VEGFA	1.11175279838473	0.51272379031425
	-0.307854814089999	1
TMEM63B	0.00714636118596146	1
CAPN11	-0.779574679001717	1
SLC29A1	0.119535207199729	1
	-0.232215100304537	1
SLC35B2	0.171721792875451	1
NFKBIE	0.392333339933879	1
TCTE1	0	1
AARS2	-0.0547205238048923	1
CDC5L	-0.248533344121329	1
SUPT3H	-0.140137587950354	1
RUNX2	0.198834961814109	1
ENPP5	-0.207349409466763	1
RCAN2	0.25164825836839	1
