gene_name	Injury.Day7vsControl.Day0_log2FoldChange	Injury.Day7vsControl.Day0_padj
APOBEC3B	0.686841256572888	0.0860881733494787
NPTXR	0.547351664780342	0.118085412248019
DNAL4	-0.205548933797268	0.460872141131538
SUN2	-0.663892369419872	0.00174275789912828
GTPBP1	-0.193887847663365	0.422130762674087
	-0.131174189024786	0.68586022762476
DMC1	-0.0647989193188287	NA
DDX17	-0.419267595772813	0.0510340839898248
KDELR3	0.27609491140925	0.447483148373795
KCNJ4	-0.0318487492678448	NA
	0.455296042821475	0.0789102139163742
TMEM184B	-0.140214089755269	0.606690278493003
PLA2G6	0.133045003391048	0.78309536304027
BAIAP2L2	0.122648818105699	0.9657342537937
SLC16A8	-0.143162130468887	0.915522873420531
PICK1	-0.361260872851426	0.421933367583746
POLR2F	-0.257574527090782	0.590946503088342
C22orf23	0.168252431791825	0.767763837937699
MICALL1	0.288852170833611	0.431586685873199
EIF3L	-0.39876843706191	0.13762200507418
ANKRD54	-0.149325692663432	0.745160989814751
GALR3	-0.756848062569917	0.342741173132898
CYTH4	1.07629676952142	0.175715342424714
ELFN2	0	NA
TEX33	NA	NA
TST	-0.318495065224443	0.554767778931137
KCTD17	0.248181931645411	0.522310058319079
CSF2RB	1.74160756786748	0.00212635987750731
NCF4	1.50927431437036	0.00608857946595515
PVALB	-0.269300631344071	NA
IFT27	0.364351975536675	0.472255607937436
EIF3D	-0.106826050603249	0.789631190883951
FOXRED2	0.546613789462533	0.0906547416995403
TXN2	-0.125794812896823	0.751338676575469
MYH9	1.15980589283123	0.00379584487839211
MYH11	2.54048482539741	1.79085694134844e-05
	0.584535594659165	0.43140839653187
	0.428080638578262	0.664445970126034
RBFOX2	-0.159136169393806	0.575870554002348
FBXO7	-0.24029888704182	0.279524415412418
BPIFC	-1.10118065281633	0.00220244107861753
RTCB	0.173984837562469	0.241397749615892
ASCL4	NA	NA
PRDM4	-0.130917828779613	0.587026761622512
PWP1	-0.0590653467043091	0.836127655862962
BTBD11	1.96760236956723	0.000232031060689177
CRY1	-0.0254053829607698	0.970554948004432
RIC8B	-0.280577061830164	0.395193292003115
POLR3B	0.0497924848711143	0.876752154110046
CKAP4	0.458756478787015	0.277446409426295
TEX49	0.0505543681412573	NA
ADCY6	0.626907023605544	0.131080701904746
DDX23	0.150740816098926	0.366143602460078
CCDC65	-0.102172431875144	0.876752154110046
FKBP11	0.715646910883552	0.00502584129560513
WNT10B	0.0134327408517637	0.988304045276498
WNT1	-0.017102487891034	NA
DDN	0.0259559822010632	NA
PRKAG1	-0.305428489413162	0.0834078950074241
RHEBL1	0.0472342790084937	0.96032029594419
DHH	0.558463326354026	NA
LMBR1L	-0.445642486678099	0.262282335463352
TUBA1B	0.257005289025241	0.115638158247648
	0.138682781367991	0.875313673202267
	0.387585455149185	0.320653986268538
PRPH	-0.0187425682923117	0.993496738378765
C1QL4	-0.010944886513658	NA
DNAJC22	-0.00405019370992767	NA
	0.177394256489224	0.557096565480195
MCRS1	0.179982965385685	0.451540391185611
KCNH3	-0.00451911121261336	0.966132239155966
PRPF40B	-0.645562155840109	0.0555388295030218
FAM186B	0.0790137754485437	0.901384766976007
FAIM2	-0.99813925175701	0.262282335463352
	-0.262071142209612	0.801158964235936
NCKAP5L	-0.109082726075524	0.810818947329985
AQP5	-0.215545341328916	0.781298293956533
AQP6	0.28035349908837	NA
GPD1	0.205183313279067	0.741518450288082
SMARCD1	-0.049983838040043	0.863223246361201
ASIC1	1.27522127016851	0.0852192536618816
	1.12366487282398	0.00189538369030414
	-0.667203225311749	0.0711746225178085
BIN2	0.609668369948337	0.592934691149316
SCN8A	-0.212025971045642	0.768155860999759
ANKRD33	0.411585491431597	0.754277066529711
ACVRL1	1.3584550979439	3.12397234391253e-05
ACVR1B	-0.111615545115498	0.79654351993376
GRASP	1.33464990254513	0.0357297092078774
KRT82	0	NA
KRT75	0	NA
	NA	NA
	0	NA
KRT85	NA	NA
KRT84	NA	NA
	0.748505763567852	0.148309059169007
KRT71	0.0402103360260556	NA
KRT5	0.214904335631762	0.775617236782885
KRT72	-0.126088117891861	NA
KRT73	NA	NA
KRT1	NA	NA
KRT8	-0.736997652680809	0.270766052928065
KRT18	-0.286604902325225	0.912668510872522
ITGB7	-0.511430431221527	0.399007864775742
RARG	-0.59498530338063	0.0107607018692662
CSAD	-0.888890178823465	1.64889546481189e-07
SOAT2	-0.170100270840649	0.831593677968426
IGFBP6	0.392681046322979	0.517731439062828
SPRYD3	-0.263013706885871	0.19335309085816
TNS2	-0.120218437604832	0.836975902542423
MFSD5	0.389052069013182	0.0950898606936559
ESPL1	1.43695189852026	0.000914418514767508
C12orf10	-0.118267700838672	0.816946548024196
AAAS	0.341077581687051	0.298878093259455
AMHR2	-0.177559608155749	0.883261019272579
SP1	0.345848192624049	0.602124278209307
	0.369255457411459	0.27425523813598
PCBP2	-0.079461551384721	0.71964862095764
MAP3K12	-0.221802843744475	0.556968940274141
TARBP2	-0.194659651461781	0.615175958339559
NPFF	-0.102643081407343	0.943114838587111
	-0.29665541275301	0.365361824108874
HOXC13	-0.0173014224502637	NA
HOXC12	NA	NA
HNRNPA1	-0.184392614509735	0.512377249179643
NFE2	-0.963273855592487	0.194865795932838
COPZ1	0.319181128067125	0.13128028874067
GPR84	1.05490206034691	0.250178663197181
ZNF385A	0.896013056411072	0.0887320664518904
ITGA5	1.06255189423686	0.010574530610663
NCKAP1L	1.59980416697883	0.0158562468116121
	NA	NA
PDE1B	1.31829284582635	0.00753931479671707
PPP1R1A	-0.29411706738935	0.738071658070181
TESPA1	-0.592814189369387	0.329724420356741
	0	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
BLOC1S1	0.441658447980809	0.34055232471542
CD63	0.189968633418242	0.567062614955769
RDH5	0.333222242607308	NA
GDF11	1.00223437228079	0.00895396472769622
SARNP	0.251472456437542	0.460731691783506
	0.213856746431527	0.596524148490512
DNAJC14	0.210636482571318	0.260239537086258
	0.628793838955541	0.0393842545124808
MMP19	0.706858872014149	0.0136026815484205
DGKA	0.0178452981195476	0.966656393470349
PMEL	-0.338401159744614	0.746272050978149
CDK2	0.11301782598525	0.720409997337151
RPS26	-0.335764093436533	0.475151428334617
SUOX	-0.203404151915113	0.284047382805694
	0.156449633825107	0.386108592212649
ESYT1	0.886367607800198	0.00306449284551639
SMARCC2	-0.095631615479847	0.695311202534856
RNF41	0.349640973525019	0.0351962168452123
NABP2	0.0779867872292257	0.822911683431079
SLC39A5	-0.789757933773434	0.361435963732499
ANKRD52	0.208286832225211	0.679480473804782
PAN2	-0.223166840818312	0.44004617293548
	0.0368133185214569	0.91687024694138
STAT2	-0.12081460678445	0.744575299834291
APOF	0.0242396096727813	0.98905735824716
TIMELESS	0.903747659587866	0.0400949195277372
MIP	0	NA
GLS2	-0.0135035061537002	0.99848047838974
RBMS2	-0.126168987825017	0.727753144171442
BAZ2A	-0.177902721305521	0.665624369235547
	0.411460876517618	0.0523049744713927
	-0.172854249551841	0.352721991562867
NAB2	0.742633120018958	0.0159684913704683
MYO1A	-0.473149098543617	0.597718480856555
SDR9C7	0	NA
TAC3	0.236634873587863	NA
RDH16	0.253005265107821	0.703332181366598
LRP1	-0.0620014007587299	0.943983747117049
MBD6	-0.291030994300764	0.373593345762269
B4GALNT1	1.22832201564481	0.0826677603731117
ARHGEF25	0.859712503094045	0.00119652159129618
PIP4K2C	-0.701121569396847	0.00548899524158974
ARHGAP9	0.449640691120255	0.52246645854019
KIF5A	-0.716954448812276	0.0157832195763526
INHBE	0	NA
GLI1	-0.67986620171234	0.128438748120718
DCTN2	0.111164064121677	0.718685469118419
DTX3	-0.267910226559584	0.364036964616739
ATP23	0.294804618735524	0.273514979226862
LRIG3	-0.682746646049212	0.116131446154886
SLC16A7	0.588630901722723	0.332136914745362
USP15	0.0170837783956835	0.988689662003213
MON2	-0.166755290171687	0.689325901398252
	NA	NA
RXYLT1	0.0385128960485813	0.917337437577314
C12orf56	-0.274908906532722	0.76807995461974
XPOT	-0.312943807872642	0.206136737149827
LEMD3	-0.101887120336035	0.805812483600035
	-0.256258353758206	0.294951271873388
IRAK3	-0.173947813851173	0.901384766976007
HELB	-0.0823248015493121	0.897658807224925
GRIP1	1.53006340522929	3.15416950963885e-07
IL22	0.0116467654704146	NA
	-0.562077053892835	0.18672657264416
	0.0286831667169217	NA
NUP107	-0.0876406381480706	0.833017671454275
SLC35E3	0.0359228330373535	0.93982122957274
MDM2	-0.194956214118661	0.460731691783506
LYZ	0.066626770212436	0.989801072685383
FRS2	-0.29059952652387	0.48893620890931
CCT2	0.101579938115899	0.772005079718881
BEST3	-0.322212673961632	0.772661171885481
	0.327311838950212	0.786745052366053
CNOT2	-0.151466112789478	0.383709264400226
PTPRB	2.13402202611571	0.000326499615594762
ZFC3H1	-0.162159420219324	0.680317015026009
TMEM19	-0.103738441308184	0.767408210897582
TBC1D15	-0.224608197738783	0.551577158042018
TRHDE	0.730676583975838	0.453795990260701
KCNC2	-0.240693739314445	0.703611625854711
CAPS2	-0.407976685045211	0.611239953986451
GLIPR1	0.00133203598059698	0.927801000846459
PHLDA1	-0.206851577621575	0.809545417623594
NAP1L1	-0.261872662307727	0.452407146642972
BBS10	-0.346470240496925	0.495645575364739
SYT10	NA	NA
PKP2	-0.79939076515868	0.207456287676053
DNM1L	0.0288746788783245	0.945189765039914
FGD4	0.795987754573078	0.271306052571725
BICD1	0.735147243049048	0.415866498790455
IPO8	0.0884065483091086	0.830745226589074
ERGIC2	-0.0208708620393397	0.956950884442421
OVCH1	0.205744857023716	0.855632886031137
FAR2	0.442583056691466	0.159881590369054
KLHL42	0.158371830378341	0.779637812155789
MANSC4	-0.768293199417862	0.202931305537211
MRPS35	-0.0492221843189564	0.893841035136636
PPFIBP1	0.292078216144288	0.452407146642972
SMCO2	NA	NA
ARNTL2	0.825663345579092	0.316774343837188
MED21	0.0192051319012082	0.964620969808036
TM7SF3	-0.284254639208363	0.532640874393384
FGFR1OP2	-0.598338124280874	0.00296187860250053
ITPR2	-0.313612621364316	0.542382624692746
RASSF8	0.221868472573203	0.633919842707101
LRMP	0.429677784634613	0.696360809973998
SOX5	-0.482937695430373	0.400900189512891
C2CD5	0.00807994696427545	0.989039792660996
ABCC9	2.1543630398025	0.000425445329884823
KCNJ8	1.77596354968339	0.00375716688460912
	0.0516260794442603	0.882759086465386
GYS2	0.15929093343422	0.88774855155874
GOLT1B	0.197304680446637	0.519319554379479
RECQL	0.17046574297028	0.695309401434065
IAPP	0.0211152356891234	NA
PYROXD1	-0.41224468604162	0.0979572027663704
SLCO1A2	-0.761821931265931	0.117030104627446
SLCO1C1	0.0541125046103317	NA
AEBP2	-0.320008516229692	0.206363599613128
PLEKHA5	-0.112830380371448	0.795427370231608
CAPZA3	NA	NA
PLCZ1	0	NA
PIK3C2G	0.313166510099492	0.813007864424016
	-0.0311044971987722	NA
SLC15A5	0	NA
DERA	-0.185381948543933	0.435513955266037
EPS8	0.370023198716026	0.360978688407969
PTPRO	1.72099501721266	0.0140289444971962
RERG	0.391877900739261	0.664984795001683
ERP27	0.171347195922495	NA
ART4	-0.0556172677471679	0.805443384011812
	-0.0171782167207243	NA
SMCO3	NA	NA
	-0.16668203459255	0.453727894576092
ATF7IP	0.0959847102672015	0.863709002579059
GRIN2B	0.171982973508186	NA
	NA	NA
FAM234B	-0.0520046045129873	0.930895164013895
	0.0396710837678069	NA
BCL2L14	0.520358212545124	0.565950038515268
LRP6	0.23130648585568	0.77246314646694
	-0.0171018472273227	NA
	-0.00200248500372677	NA
TAS2R9	NA	NA
YBX3	0.427030506622089	0.226445412511582
STYK1	0.304248627686064	NA
	0.463142705273241	0.129698631734502
	-0.351032739713517	0.79952475024218
	0.485425868140107	0.561350822830057
	-0.0173133366297569	NA
	0.0377344024021421	NA
	0.0116467654704146	NA
GABARAPL1	-0.0282000657166349	0.939191773555881
OLR1	0.814568315265171	0.366668702375551
CLEC7A	0.633253893584656	0.595200631291286
CLEC1A	1.84456400622942	0.00339140342335223
CLEC1B	0.0113380509471201	NA
CLEC12B	0.44929773513151	NA
CD69	-0.182414104694053	NA
KLRF1	0.0379782213448909	NA
CLEC2B	0.971742318727836	0.235148475443875
	0.478176934098766	0.60941350425843
	0.743918457512766	0.260239537086258
A2M	0.761401619184464	0.277426727100879
PHC1	-0.315411863401654	0.136448362572005
	0.56386522200318	0.512377249179643
	0.667651696812256	0.71964862095764
RIMKLB	0.322334404555697	0.829124886445526
AICDA	-0.794024329651439	0.331653491355317
APOBEC1	NA	NA
GDF3	NA	NA
	0	NA
CLSTN3	0.51828567421028	0.378501522626434
C1R	1.69045814383302	4.97246632341966e-05
LRRC23	0.259499673375374	0.779820352237519
GPR162	-0.368436567919219	0.672278590549442
P3H3	0.345030270675221	0.212010824649589
GNB3	-0.427426061031982	0.545570581771709
CDCA3	1.13866550914968	0.00574113076368597
USP5	0.267375021498833	0.123697073591377
TPI1	0.796404191974136	0.0101716336777178
CD4	1.2198335746875	0.151258834070132
LAG3	-1.3758644425051	0.00714124932736281
MLF2	0.284093845864148	0.293426932598952
COPS7A	-0.140317288320842	0.629100522541123
PIANP	0.0601848820485965	NA
NCAPD2	-0.0156457895782726	0.979717791002785
GAPDH	1.04663644720224	0.00328470143793136
IFFO1	-0.399633942076074	0.243098930253383
	0.0362218693714453	0.923336672271724
	0.279164618488285	0.0480481518058818
LPAR5	-1.46686301266386	6.92960431906601e-05
ACRBP	-0.123055161793786	0.582900846938116
ZNF384	-0.0589778724436187	0.86428495786378
VAMP1	-0.36822019763758	0.647458563339097
TAPBPL	0.257688869107742	0.412521501435277
CD27	-0.484858252740218	NA
LTBR	0.45909682652466	0.0250651664274446
SCNN1A	-0.114898686078415	0.859820036280259
TNFRSF1A	0.713180473491631	4.32334666650488e-05
PLEKHG6	0.454934298006709	0.829116333590906
VWF	1.87955773084606	0.001507043915383
	1.16613068166946	0.0569279517566325
KCNA1	0.0234012479690672	0.942523993930062
KCNA6	0.340329253629903	0.396374371121021
	0.0117535203585104	NA
NDUFA9	0.432675808164101	0.000315525479880847
AKAP3	-0.520219161459504	0.155371406234324
	-0.617089478890722	0.456668546555521
RAD51AP1	0.456497920598716	0.31364026967996
C12orf4	0.254097139766438	0.371812852278856
PARP11	0.388253386926193	0.336199768011371
PRMT8	-0.085499247237437	0.849740709768167
CRACR2A	0.454281172463392	0.459103228759929
	1.57099559154745	0.00390590571578638
TSPAN9	1.41079340110166	7.96147154430625e-06
TEAD4	1.8500532279849	1.23846631291691e-08
TULP3	0.0453696965130239	0.845562747421584
RHNO1	0.324189996675249	0.366993005776575
FOXM1	1.48113618850708	0.000426170072060303
TEX52	0.011584703098086	NA
NRIP2	0.570331868131276	0.700073551489653
ITFG2	-0.342824517012327	0.151680903032035
FKBP4	0.223551714429831	0.311265075235788
	0.051649992865937	NA
DDX11	-0.224225273876346	0.646472237955265
WASHC1	0.134442432780899	0.730073869674246
IQSEC3	0.129523081221534	0.808110012918942
SLC6A12	0.0908895462254326	0.885627805265602
CCDC77	-0.248242516962709	0.458698351156555
WNK1	0.416529352136692	0.515199029594898
RAD52	-0.112571760511156	0.800446036367042
ERC1	0.404791299560925	0.103600488001965
ADIPOR2	-0.0396660031022782	0.864034423763607
	-0.794007564094193	0.198371380051316
LRTM2	0.938812728752318	0.180722290262224
HDHD5	-0.321431859382214	0.437905972813008
IL17RA	0.33228646751452	0.313976382315501
CECR2	-0.433354033156608	0.210803205276044
ATP6V1E1	0.0342760420524576	0.954005585853246
BID	0.196121560622262	0.392443580753975
MICAL3	0.135033079086366	0.78846019170417
TUBA8	-0.652217820173574	0.129698631734502
USP18	0.485028203511334	0.600986102685415
	NA	NA
CPNE8	-0.0657012148417208	0.893217327553993
KIF21A	-0.375544569216047	0.472446658217288
ABCD2	0.10993704157918	0.891794010680288
	0.0115420128347376	NA
SLC2A13	-0.0962446474270157	0.895942499644488
LRRK2	0.679321856011166	0.321683962885326
CNTN1	-0.453656038876811	0.452407146642972
PDZRN4	0.576838428582378	0.672573547489878
PPHLN1	-0.167556802766483	0.437087154019644
ADAMTS20	0.525615625238994	0.456214527006056
TWF1	0.335582857927998	0.279020727577704
IRAK4	0.420758293107408	0.0958235616171575
PUS7L	-0.0215683172624858	0.962775594778659
TMEM117	0.026167124309261	0.98491110120228
NELL2	-0.0968708536888683	0.807204874354902
ANO6	0.882988696705247	0.190985062714453
SCAF11	0.0826332405292145	0.896196970879015
SLC38A1	-0.739932800054475	0.219141012297535
SLC38A2	-0.611757707820302	0.0661539128275507
AMIGO2	1.25037174433985	0.0429984517817134
PCED1B	0.951901417828675	0.272006420757064
	NA	NA
SENP1	-0.0596836104868625	0.908280019516479
H1FNT	NA	NA
CHST11	0.0815943503391588	0.889062739290448
SLC41A2	0.822037509694554	0.122312397336979
ALDH1L2	1.01211579462214	0.014070885828858
WASHC4	-0.125429374145581	0.828000859038293
APPL2	-0.126050517059564	0.570921415234122
KANSL2	-0.312627809289667	0.0598713865137016
TXNRD1	0.233593399611476	0.382004748076223
NFYB	-0.427864242709215	0.111367084616927
HCFC2	-0.13879244598743	0.741548400937839
TDG	-0.199350275899857	0.566555897931072
GLT8D2	-0.346097990666457	0.268924094817113
	0.198341207120597	0.570277729942415
NT5DC3	0.276132374014264	0.763783980703585
	0.759478724100048	0.56775370057462
PAH	0.243211490072655	NA
IGF1	3.17920231467913	2.32288259134831e-11
PMCH	-0.147646296022348	NA
PARPBP	1.14080680118143	0.0196267078206182
NUP37	0.296709720457292	0.353815085234657
GNPTAB	-0.020376304570429	0.98075473022773
SYCP3	NA	NA
CHPT1	-0.522155050982525	0.0478897234342151
MYBPC1	-0.379678644736323	0.697564310684454
	-0.767499488097083	0.159190177934459
UTP20	-0.023413569042241	0.968206437234631
ARL1	-0.0681333790308443	0.793648267963958
SLC5A8	-0.624830320511999	0.420854364163531
ANO4	0.123865345884846	0.914936134331417
GAS2L3	0.894086204861966	0.0576984701308411
NR1H4	-0.017113696673235	NA
SCYL2	-0.0329024903540269	0.943983747117049
ANKS1B	-0.231282001392034	0.673773520013613
	NA	NA
APAF1	-0.280951556859683	0.45254309909206
SLC25A3	-0.288743344670606	0.170770150685722
	0.299885949703951	0.708547831467786
NEDD1	-0.00488519812224052	0.995102567645664
LTA4H	-0.00664228740133968	0.984612271408389
HAL	-0.0395488459433235	0.994869384021946
AMDHD1	-0.64539742687031	0.359204545927964
CCDC38	-1.18644215803528	0.0512760422245849
SNRPF	0.0129506175469431	0.981979282062256
NTN4	-0.107872816602118	0.888530520536746
	NA	NA
VEZT	-0.423837555569624	0.0458741096709633
FGD6	-0.172251712500376	0.739624108972011
NR2C1	-0.306273814184056	0.171796031203172
	-0.286243334257953	0.356568210708058
	0.430076276277731	0.49880905372348
PLXNC1	1.95654592380211	0.000248464775891469
	0.280003718770281	0.360978688407969
CRADD	0.468833683321002	0.175254462430504
DCN	-1.19149290100431	0.000568817029429079
LUM	1.84900210839997	0.00473340751834196
KERA	1.83401801276876	0.00162898639196443
EPYC	0.919558537918279	0.198300105415405
POC1B	-0.454364719656702	0.0450923836342055
C12orf50	-0.631499903045347	0.341224409052043
C12orf29	-0.497413076211406	0.000573858918478217
CEP290	-0.245567333491406	0.679459453042781
TMTC3	-0.329234397220613	0.402299437314109
NTS	0.566005087495659	0.534665641769311
LRRIQ1	0.187856832212176	0.876372109227222
SLC6A15	-0.251425664354134	0.743380891253478
MYF5	-0.0316321620326576	NA
ACSS3	-0.032447459717601	0.934408730754376
PPFIA2	-0.880862148658967	0.172132282688433
METTL25	-0.265394772161025	0.612098056825122
OTOGL	0	NA
SYT1	1.79243529993245	0.0405473165447662
E2F7	1.24990313990855	0.0130053479355937
	1.33993685048765	0.00104251350230587
	-0.573686668835834	0.0577533408146053
TBC1D22A	-0.151687726232677	0.607348742867182
DYRK2	0.31340283410972	0.288982233749091
	0.779007282545865	0.000211987471938796
KLHDC7B	0.349163921757422	NA
SYCE3	0.155435348525379	0.777868670215272
LMF2	-0.208577144926431	0.597718480856555
NCAPH2	0.0576640306534484	0.883261019272579
ODF3B	-0.988171438560098	0.279869371743248
SBF1	0.185909161890503	0.478429285029475
PPP6R2	-0.472686242022699	0.203026985350256
HDAC10	-0.288436298359312	0.57610781465108
TUBGCP6	-0.160406261962594	0.700073551489653
SELENOO	-0.114004295241228	0.823837903589586
TRABD	0.171660452413001	0.697076428995375
PANX2	-0.489310261309031	0.549626521801902
MOV10L1	0	NA
MLC1	-0.0173083603628563	NA
ALG12	-0.250864009195318	0.597397152745673
CRELD2	0.264395538937826	0.420874253762057
TTLL8	0.0128704651486218	NA
	0.192894288177888	0.869041204725486
EXOC2	-0.0242618120914227	0.949732161663756
FOXQ1	0.0116878441246814	NA
GMDS	-0.363137498712631	0.216667502240913
PPP1R3G	0.751374528510318	0.084580379330853
RPP40	-0.0807579073730846	0.834855505015092
CDYL	0.263247901073319	0.397401596897128
ECI2	0.316241543087819	0.447663483522156
	0.0094996508482127	NA
PRPF4B	0.155227988507601	0.579543665474117
SLC22A23	0.941015590418359	0.0410123992016751
	NA	NA
BPHL	-0.146935940919841	0.81574306174473
RIPK1	0.133214871563699	0.470155209140192
	-0.187822888646461	0.264204767646888
SERPINB1	0.582291486972207	0.0662681594292089
RREB1	0.292196003185305	0.680518946572727
SSR1	0.171725702643859	0.675989745374388
RIOK1	0.280840528737985	0.42345176657434
DSP	-0.798585295733361	5.76708279667768e-05
BMP6	-0.28423311873645	0.639527436390953
SLC35B3	-0.174357529501557	0.424664666724753
	NA	NA
TFAP2A	-0.0571525351625544	NA
	0.21396879066573	0.373593345762269
C6orf52	-0.993511360452388	0.19243006823988
PAK1IP1	0.117864621755383	0.680317015026009
MAK	0.882678408212199	0.244996586374607
ELOVL2	0.274051917474393	0.72748367311516
ADTRP	-0.0174139944419507	NA
HIVEP1	0.129343283128063	0.833773600670519
PHACTR1	0.868897434336661	0.0193646886922293
TBC1D7	-0.256522201170435	0.540076233855852
RANBP9	0.46828951439485	0.240637597504827
MCUR1	0.96434714606908	0.00511317202109182
	NA	NA
JARID2	0.422073232568723	0.019193541709075
DTNBP1	0.162026542860226	0.803494992443698
	-0.141370456660408	0.758741869813245
GMPR	0.986323763846563	0.0795840526005551
ATXN1	-0.226260059051193	0.742766097009318
STMND1	-0.0974000306286795	NA
CAP2	2.08916299093803	0.000626099908533825
FAM8A1	-0.494830053149835	0.0039328962193543
NHLRC1	-0.186549452706963	0.786663874668195
TPMT	0.29916383384714	0.408543526781007
KDM1B	0.0550976669536391	0.906362417975685
	-0.0415690185576609	0.899518080452651
RNF144B	-0.405957761420259	0.592206066709042
MBOAT1	-0.934341134852932	0.00250196255350969
CDKAL1	0.290273596538896	0.301314150514214
SOX4	0.0550497483805421	0.953278110830208
	0.0115097743366983	NA
DCDC2	0	NA
MRS2	-0.202476950997568	0.579070501039256
	-0.38565703478035	NA
GPLD1	-1.2752252143488	0.0145263494727387
ALDH5A1	-1.05641552252498	0.00155632059711521
KIAA0319	0.829438372018718	0.230558241979338
TDP2	-0.392001556513968	0.0361297530942859
GMNN	0.156379735651627	0.696408207692314
ARMH2	0	NA
	-0.526778742133929	0.434702710200754
	0.233978463861847	0.695961385954852
CMAH	1.24198655679061	0.0790289374535087
CARMIL1	-0.263772394096893	0.524387897433236
SCGN	0.0422535266071161	NA
	-0.017047768896969	NA
SLC17A1	-0.424619882174131	0.555699965954884
BTN2A2	-0.173568942102551	0.764593040229057
BTN1A1	-1.30270680224119	0.0496771326852424
HIST1H1D	-0.654136425755889	0.178379021975639
ZNF322	0.373664152690682	0.0935628645121812
ZNF184	-0.233836137519719	0.422130762674087
	0.0116439958936126	NA
ZNF165	-0.049243754585517	0.932983090399387
ZKSCAN8	-0.458805845222064	0.26662733192703
	-0.273798015644672	NA
ZSCAN9	-0.906831856929472	0.0089932910384776
ZKSCAN4	0.398004032681195	0.307338667432019
NKAPL	-0.0570753049136122	0.980472370089889
ZSCAN26	-0.160630089498979	0.680317015026009
PGBD1	0.0252815691553743	0.951074561747963
ZSCAN12	0.0266053058493491	0.958297238556736
	NA	NA
GPX6	0	NA
GPX5	-0.0686296753927411	0.901384766976007
	-0.448557096338092	0.559433508994208
TRIM27	0.0854246737689334	0.667653124494352
	0.38338083425081	0.374925785402811
	1.76169154863339	0.000144617204928605
	-0.0721844991833375	NA
TRIM26	0.132380051613158	0.804201375207564
TRIM10	0.515674115825704	0.447140790439217
TRIM15	-0.766160310914511	0.247836028768419
TRIM40	-0.65995245260422	0.382584164236633
GABBR1	-0.158762919622729	0.695961385954852
ZNRD1	0.225899720760142	0.390297675231769
ZFP57	0.175545141110364	0.800360310441419
MOG	-0.285895381920354	0.678423902850106
	0.290459111198286	0.858923499252988
	-0.017113696673235	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	NA	NA
	-0.0745681226890491	0.881518699784128
TRIM39	-0.502983417958568	0.138408864286275
ABCF1	0.387718574764798	0.00981324626702898
PPP1R10	0.699028448705314	0.00526081677918826
MDC1	-0.0161979660137802	0.980655265354753
GNL1	0.302059195269885	0.0998532109926293
DHX16	-0.329527702122136	0.0819308794236553
TUBB	0.780292332699907	1.78204079701972e-05
