gene_name	log2FoldChange	padj	ID
CYP26B1	0.175152810744821	0.258037511623632	ENSG00000003137
ICA1	0.360025506577819	0.0942821520433018	ENSG00000003147
DBNDD1	0.916730641899814	2.71015659396913e-06	ENSG00000003249
ALS2	0.107962462418491	0.494998704582277	ENSG00000003393
CASP10	-0.103796034911998	0.808548786661632	ENSG00000003400
CFLAR	-0.0230028688485184	0.935338145991069	ENSG00000003402
TFPI	0.32255529028107	0.103858006198182	ENSG00000003436
NDUFAF7	0.0577831120755509	0.750665193433009	ENSG00000003509
RBM5	-0.0849797651163964	0.458289937275555	ENSG00000003756
MTMR7	0.48252308182998	0.0233349338563688	ENSG00000003987
SLC7A2	0.951712010136136	1.02453405223593e-08	ENSG00000003989
ARF5	0.0897473268906952	0.528830518242456	ENSG00000004059
SARM1	-0.191324856687462	0.158827138415153	ENSG00000004139
POLDIP2	-0.0310710678545751	0.753054149441891	ENSG00000004142
PLXND1	-0.410797527368928	0.0034843639723064	ENSG00000004399
AK2	0.0558782720088076	0.597715968257349	ENSG00000004455
CD38	0.358394181862567	0.197205149899661	ENSG00000004468
FKBP4	0.0674090072135507	0.56122220463493	ENSG00000004478
KDM1A	0.0976096955188596	0.242370645283108	ENSG00000004487
RBM6	0.0983406717951032	0.22647205333566	ENSG00000004534
CAMKK1	0.383457523904838	0.00593650593265294	ENSG00000004660
RECQL	0.29436104850295	0.0991073664019348	ENSG00000004700
VPS50	0.0320091891675122	0.882160388397177	ENSG00000004766
HSPB6	-0.414978924200966	0.0841302529406779	ENSG00000004776
ARHGAP33	0.0237678541229106	0.953519085478477	ENSG00000004777
NDUFAB1	0.246957484057993	0.13505158205281	ENSG00000004779
PDK4	-0.278886648268565	0.124697607486207	ENSG00000004799
SLC22A16	0.0294330444735497	NA	ENSG00000004809
ZMYND10	0.3369112787733	0.111800038944362	ENSG00000004838
ABCB5	-0.0133510598583563	NA	ENSG00000004846
ARX	0.00763446229836498	NA	ENSG00000004848
SLC25A13	0.0226322664016775	0.899903928727209	ENSG00000004864
ST7	0.0615511366002072	0.74791316403785	ENSG00000004866
CDC27	0.202645776225939	0.256100777776936	ENSG00000004897
SLC4A1	0.472246985726209	0.402437749864126	ENSG00000004939
CALCR	-0.101702489495434	0.901240636020014	ENSG00000004948
HCCS	0.105222549769765	0.508785938004289	ENSG00000004961
DVL2	-0.244610362491598	6.4742828572071e-05	ENSG00000004975
PRSS22	-0.00215281366589707	NA	ENSG00000005001
UPF1	-0.0421085340862612	0.829354277236761	ENSG00000005007
SKAP2	0.300572070648599	0.232736892839348	ENSG00000005020
SLC25A5	0.198530627808826	0.158582919011624	ENSG00000005022
MCUB	0.524428858704732	0.000165399711492764	ENSG00000005059
HOXA11	-0.268308574235552	0.0233048871296665	ENSG00000005073
POLR2J	0.0588963801261001	0.821745827210163	ENSG00000005075
DHX33	0.125205707349737	0.333190720190339	ENSG00000005100
MEOX1	0.382579629282312	0.171072919698448	ENSG00000005102
THSD7A	-1.09995470814188	4.00650643968849e-08	ENSG00000005108
LIG3	-0.0163009748714156	0.899207309664302	ENSG00000005156
RPAP3	0.0134075054554961	0.956950020682036	ENSG00000005175
ACSM3	-0.0745359691656771	0.765245251130212	ENSG00000005187
AC004381.6	-0.0259743391421215	0.935923523648559	ENSG00000005189
CIAPIN1	-0.00266434966533408	0.988693370721581	ENSG00000005194
SPPL2B	-0.0112316746071996	0.960417095697072	ENSG00000005206
FAM214B	0.3673719065159	6.07990637390801e-05	ENSG00000005238
COPZ2	0.113252462778806	0.505759081420198	ENSG00000005243
PRKAR2B	0.457280416491777	0.045409563799445	ENSG00000005249
MSL3	0.207261294483626	0.0421595068138364	ENSG00000005302
CREBBP	-0.208177071531456	0.200424059600867	ENSG00000005339
TSPOAP1	-0.362936942770131	0.0336597120479053	ENSG00000005379
MPO	-0.0566329094622924	0.768557362965414	ENSG00000005381
PON1	-0.367580768707125	NA	ENSG00000005421
GCFC2	0.004406060158561	0.983760310076241	ENSG00000005436
WDR54	-0.0491182035449698	0.796759421230598	ENSG00000005448
CROT	0.135902103148496	0.242283202563757	ENSG00000005469
ABCB4	0.129656738575897	0.642574474842775	ENSG00000005471
KMT2E	0.11097772243041	0.614008515880727	ENSG00000005483
RHBDD2	-0.0420724488888515	0.791546034280057	ENSG00000005486
SOX8	-0.371022467731143	0.0855110816931762	ENSG00000005513
IBTK	0.366595166324418	0.0302543665713054	ENSG00000005700
ZNF195	0.0823581269244582	0.694773807455805	ENSG00000005801
MYCBP2	0.0746771295225836	0.783070489666164	ENSG00000005810
FBXL3	0.137228882993379	0.339893070579068	ENSG00000005812
ITGAL	0.179052550385861	0.796102102554753	ENSG00000005844
PDK2	-0.24710965732122	0.0118229264837427	ENSG00000005882
ITGA3	0.685290297744246	3.76425414228824e-07	ENSG00000005884
ZFX	0.00123445819313845	0.997993303570969	ENSG00000005889
LAMP2	0.0989195608726091	0.667199403062786	ENSG00000005893
ITGA2B	-0.376474230697621	0.0554109575800589	ENSG00000005961
ASB4	-0.376067231330659	0.197733246294831	ENSG00000005981
GDE1	0.317580660595629	0.0134247307387355	ENSG00000006007
C19orf60	-0.0822115642729703	0.783070489666164	ENSG00000006015
CRLF1	1.25124069065248	2.95571060990928e-10	ENSG00000006016
OSBPL7	-0.0970149064185869	0.48397654144353	ENSG00000006025
TMEM98	-0.180005107738379	0.0161877242892322	ENSG00000006042
YBX2	-0.014464083124718	NA	ENSG00000006047
KRT33A	-0.00806344478231444	NA	ENSG00000006059
MAP3K14	-0.144263980106006	0.458723702270607	ENSG00000006062
ABCC8	-0.686428056283242	0.000929528547742658	ENSG00000006071
CACNG3	-0.000189261257675516	NA	ENSG00000006116
TMEM132A	0.20124962015678	0.655337561219162	ENSG00000006118
AP2B1	0.0916567725917978	0.5155106637101	ENSG00000006125
TAC1	0.0173986118172626	0.945773337873871	ENSG00000006128
ZNF263	-0.177318713176655	0.0382260130448492	ENSG00000006194
CX3CL1	-0.435540200053036	0.0520476586335812	ENSG00000006210
SPATA20	-0.133127094869796	0.264942097730041	ENSG00000006282
CACNA1G	-0.320240329948978	0.245483018349941	ENSG00000006283
TNFRSF12A	1.11684971439185	1.1402509299239e-08	ENSG00000006327
DLX6	-0.185717127204749	0.328235763217402	ENSG00000006377
MAP3K9	0.244997697433103	0.341088731038177	ENSG00000006432
RALA	0.0423765544966964	0.852191956704014	ENSG00000006451
BAIAP2L1	0.613242347333189	5.96641491540769e-08	ENSG00000006453
KDM7A	0.424913607297265	0.0454075366335002	ENSG00000006459
ETV1	-0.167416545568026	0.495627842982277	ENSG00000006468
AGK	0.0686033642605379	0.715266568971183	ENSG00000006530
ALDH3B1	0.326761749226601	0.0203888420402939	ENSG00000006534
TTC22	0.331454197198879	0.0579278813914721	ENSG00000006555
PHTF2	0.220518997790627	0.276502954948777	ENSG00000006576
CCL26	0.0602947045005083	NA	ENSG00000006606
FARP2	0.128657056667866	0.227352262344132	ENSG00000006607
USH1C	0.724704617864111	0.00038539492914753	ENSG00000006611
GGCT	0.144916677349871	0.566539022155984	ENSG00000006625
DBF4	-0.0270500241667788	0.915407712755153	ENSG00000006634
TBXA2R	-0.0636749372259135	0.846321515215996	ENSG00000006638
IFRD1	0.0941042890210981	0.559592424459637	ENSG00000006652
LGALS14	-0.00613513956746685	NA	ENSG00000006659
COX10	-0.0499537689747423	0.804137745121034	ENSG00000006695
GTF2IRD1	-0.123535075132597	0.410983644890801	ENSG00000006704
PAF1	-0.00943769062589948	0.960417095697072	ENSG00000006712
VPS41	0.0424636111022168	0.792921058686293	ENSG00000006715
ARHGAP44	0.390657694825533	0.0559718159787082	ENSG00000006740
ELAC2	0.115412105923021	0.143006946863419	ENSG00000006744
SCIN	-0.328408874419321	0.0303195419663563	ENSG00000006747
ARSD	-0.085981585813403	0.499945785994767	ENSG00000006756
PNPLA4	0.15946551637191	0.258037511623632	ENSG00000006757
MYH13	0.015089682448702	NA	ENSG00000006788
ADIPOR2	0.0959590113774493	0.57906405892809	ENSG00000006831
CDKL3	-0.0937148408864315	0.783070489666164	ENSG00000006837
UPP2	0.32631099163242	NA	ENSG00000007001
PRSS21	0.00225051425513822	NA	ENSG00000007038
MARK4	-0.170814299468746	0.184960020607972	ENSG00000007047
PROM1	0.0311413050014422	NA	ENSG00000007062
CCDC124	0.183267109689744	0.263643953740016	ENSG00000007080
CEACAM21	-0.0899664045929093	NA	ENSG00000007129
PAFAH1B1	0.185659295634698	0.14040954842074	ENSG00000007168
NOS2	0.490770437091326	0.000346843098665992	ENSG00000007171
DNAH9	0.395129351173004	0.156141408830371	ENSG00000007174
KIAA0100	0.259704255363675	0.00115938372280598	ENSG00000007202
SLC13A2	-0.0101727132134157	NA	ENSG00000007216
GAS7	0.216820145135417	0.259905034180213	ENSG00000007237
TRAPPC6A	-0.0521610986055362	0.834098668709681	ENSG00000007255
MATK	-0.126374340171163	0.70412216120996	ENSG00000007264
CEACAM7	-0.0101727132134157	NA	ENSG00000007306
CD79B	-0.551628563986702	0.00313336695303766	ENSG00000007312
SCN4A	-0.76151367161338	0.00436058852848679	ENSG00000007314
ST7L	0.041687643330109	0.810585781755346	ENSG00000007341
TKTL1	-0.0330578176868769	NA	ENSG00000007350
PAX6	-0.232728562866017	0.372856441771209	ENSG00000007372
RPUSD1	-0.0101859586424151	0.96427934329182	ENSG00000007376
RHBDF1	-0.0184033220953682	0.931898635601548	ENSG00000007384
LUC7L	0.1277973683042	0.322114329064589	ENSG00000007392
CACNA2D2	-0.554148960253975	0.00533342357343701	ENSG00000007402
BAIAP3	0.339713078784624	0.116976731025859	ENSG00000007516
TSR3	0.0348020200055349	0.926759030822475	ENSG00000007520
PIGQ	0.10273306175509	0.594430396752567	ENSG00000007541
CRAMP1	-0.0429196506560453	0.815887437131107	ENSG00000007545
TEAD3	-0.0410573694751672	0.832332819718506	ENSG00000007866
SELE	0.138503750042844	0.747261926022647	ENSG00000007908
DNAJC11	-0.0875470224674418	0.376166980201988	ENSG00000007923
FMO3	0.187940171076782	0.631505314489315	ENSG00000007933
MYLIP	-0.176904741081014	0.152333749986211	ENSG00000007944
NOX1	-0.12680524387475	NA	ENSG00000007952
E2F2	0.397685983993325	0.369177438145092	ENSG00000007968
PSMB1	0.135488472030776	0.411780145736187	ENSG00000008018
SYN1	0.575282042836386	0.00949487027326065	ENSG00000008056
JARID2	0.206748829595791	0.106073207588796	ENSG00000008083
CDKL5	-0.0102232597467898	0.961104860921816	ENSG00000008086
CAMK1G	0.00356894378317462	NA	ENSG00000008118
CDK11A	0.00611856579288973	0.977850637622897	ENSG00000008128
NADK	-0.0166841072950459	0.927360908216465	ENSG00000008130
TFAP2B	-0.0181452663164228	NA	ENSG00000008196
TFAP2D	-0.00417158929103096	NA	ENSG00000008197
DLEC1	-0.112726714380976	0.628428158212561	ENSG00000008226
CYTH3	0.0422689299085977	0.855758825355991	ENSG00000008256
ADAM22	0.109327266629604	0.645656913874785	ENSG00000008277
SYPL1	0.171557110539514	0.407436286746853	ENSG00000008282
CYB561	0.0721579874254545	0.526434590229192	ENSG00000008283
SPAG9	0.179624748222018	0.147369740670766	ENSG00000008294
CELSR3	-0.348858651208955	0.092354563109205	ENSG00000008300
AASS	-0.0897239185134142	0.721028349250005	ENSG00000008311
PLEKHG6	-0.0263213775021167	0.939297030666967	ENSG00000008323
SS18L2	0.0515488576854636	0.818323266501854	ENSG00000008324
MPND	0.0941497830260275	0.70651999930101	ENSG00000008382
MGST1	0.00636612605467018	0.982362861251573	ENSG00000008394
CRY1	0.28590331976211	0.0252803848794381	ENSG00000008405
PGLYRP1	0.404804117551862	0.458101891946993	ENSG00000008438
NFIX	-0.233417206700803	0.284623230142872	ENSG00000008441
ST3GAL1	0.778704347466921	5.20421560746935e-10	ENSG00000008513
MMP25	0.19896377162504	0.561138659372071	ENSG00000008516
IL32	0.376151130898693	0.161053653766688	ENSG00000008517
PKD1	0.0753306896081076	0.720580808293158	ENSG00000008710
MAPK8IP2	-0.361358059111584	0.163187599835387	ENSG00000008735
MED24	-0.0545309519307407	0.703345131786554	ENSG00000008838
RHOBTB2	-0.176257335121424	0.151359155634741	ENSG00000008853
HEATR5B	0.121915757031088	0.663387644580493	ENSG00000008869
SEC62	0.169402512238527	0.374444831398198	ENSG00000008952
RPS20	0.130910402987096	0.493577489514111	ENSG00000008988
CSDE1	0.220168549949888	0.197855681871563	ENSG00000009307
UBE3C	0.166703726636925	0.255584688108102	ENSG00000009335
REV3L	0.233448641025134	0.285981355099806	ENSG00000009413
TENM1	-0.220795547031497	0.375378647952438	ENSG00000009694
PAX7	-0.0102704592585344	NA	ENSG00000009709
MASP2	-0.184221713445248	0.489201830313131	ENSG00000009724
IYD	0.0245547801309053	NA	ENSG00000009765
FAM76A	0.195846983841399	0.067822731392677	ENSG00000009780
TRAF3IP3	0.112731811196858	0.77365474796094	ENSG00000009790
POMT2	0.484838208462667	3.45764646960687e-08	ENSG00000009830
VTA1	0.20107385053098	0.332371501608045	ENSG00000009844
MLXIPL	-0.0156935575946605	NA	ENSG00000009950
BAZ1B	0.076659201218871	0.49081111733935	ENSG00000009954
RANBP9	0.172180099455931	0.0771755915504098	ENSG00000010017
ETV7	-0.405582480382644	0.162807420698195	ENSG00000010030
SPRTN	0.186681223453301	0.259649403980827	ENSG00000010072
METTL13	-0.0457614353661355	0.784855910465969	ENSG00000010165
DYRK4	-0.0512984468937932	0.782689376593345	ENSG00000010219
ZNF207	0.0939031798011461	0.584077486992564	ENSG00000010244
UQCRC1	0.383049246288622	0.0019190057692371	ENSG00000010256
STARD3NL	-0.0552966327368519	0.778218464949662	ENSG00000010270
CD9	0.0671824924472938	0.695937837417043	ENSG00000010278
HHATL	-0.0192174747925337	NA	ENSG00000010282
NCAPD2	0.0229234503384295	0.851750748517538	ENSG00000010292
IFFO1	-0.103771726364523	0.484206267928427	ENSG00000010295
GIPR	0.72207555018044	0.000111486408277932	ENSG00000010310
PHF7	-0.069380678347947	0.697244276453596	ENSG00000010318
SEMA3G	0.033329894368153	0.985426313113013	ENSG00000010319
NISCH	-0.130815560432808	0.212950513218537	ENSG00000010322
STAB1	-0.17492384043179	0.577180945932736	ENSG00000010327
FUZ	-0.00739578457555491	0.979929527605416	ENSG00000010361
SLC6A13	0.080939502209957	NA	ENSG00000010379
IDS	0.0536989016357533	0.676754378775277	ENSG00000010404
PRSS3	0.0057746621383476	NA	ENSG00000010438
ZNF200	-0.0390038351943711	0.858240419797951	ENSG00000010539
CD4	-0.404361017106369	0.0474488519905339	ENSG00000010610
LRRC23	0.0473662403354414	0.817078447669201	ENSG00000010626
BTK	-0.161814534235689	0.708259305382755	ENSG00000010671
HFE	-0.174402253540348	0.131735000844337	ENSG00000010704
SCMH1	-0.0679230139289173	0.589264299433122	ENSG00000010803
FYN	-0.0604127562225756	0.815460320277147	ENSG00000010810
HIVEP2	0.240107382207199	0.175717690839563	ENSG00000010818
FMO1	-0.337963082455029	NA	ENSG00000010932
TCEB3	0.0560258233554537	0.46445163693991	ENSG00000011007
LYPLA2	0.0412557404448497	0.818506757213218	ENSG00000011009
CLCN6	-0.0413142412415285	0.806715559778493	ENSG00000011021
MRC2	0.147333092156647	0.276207850092359	ENSG00000011028
NME1-NME2	NA	NA	ENSG00000011052
SLC6A7	0.183747722423246	0.657809369969368	ENSG00000011083
TSPAN9	-0.144618980933523	0.380024317740963	ENSG00000011105
BTBD7	0.138634951513365	0.452040336012167	ENSG00000011114
APBA3	-0.0512544001064493	0.8054337197792	ENSG00000011132
MKS1	-0.0408945552185715	0.781700407762726	ENSG00000011143
ABHD5	0.285188820033973	0.190153965835154	ENSG00000011198
ANOS1	0.460275610173614	0.022470448375301	ENSG00000011201
AKAP8L	-0.0146375948059165	0.94259554459731	ENSG00000011243
MBTD1	-0.0239809215924518	0.931405752016718	ENSG00000011258
UTP18	0.0729258564509719	0.534355532015294	ENSG00000011260
RNF216	-0.0373277236448878	0.651383148484931	ENSG00000011275
TTC19	0.00610762963149348	0.96427934329182	ENSG00000011295
PTBP1	-0.0118976727867407	0.940558017757451	ENSG00000011304
DPF1	0.00484801676377943	0.998404274070102	ENSG00000011332
SYT7	-0.519780836628472	0.149630190605933	ENSG00000011347
LARS2	0.00442009365547182	0.990805197428176	ENSG00000011376
PIK3C2A	0.103358528282818	0.696888744030156	ENSG00000011405
PLAUR	0.813350956475964	4.86563413458341e-07	ENSG00000011422
ANLN	0.677865826229859	0.00229214876950142	ENSG00000011426
WIZ	-0.131086452160659	0.584077486992564	ENSG00000011451
RABGAP1	0.00935927738481474	0.967424144221748	ENSG00000011454
DCN	0.22034918409981	0.107645090358417	ENSG00000011465
QPCTL	0.0125648005124015	0.978461023487949	ENSG00000011478
PPP5C	-0.0212786630291228	0.869106694248192	ENSG00000011485
CEP68	-0.215240275485845	0.0186030292080169	ENSG00000011523
MAP4K3	0.104263889042576	0.594947622143786	ENSG00000011566
ZBTB32	-0.00034211484356882	NA	ENSG00000011590
TYROBP	-0.221362521206431	0.660346925663035	ENSG00000011600
TMEM159	-0.0191692176814247	0.939845832068699	ENSG00000011638
GABRA3	-0.0456369077835353	NA	ENSG00000011677
BRCA1	0.196008288880898	0.290243009405799	ENSG00000012048
ERCC1	-0.0131898994327641	0.920809918846235	ENSG00000012061
CD22	-0.507054537782107	0.0766783341516201	ENSG00000012124
SEMA3B	0.0608860541054008	0.814379607999394	ENSG00000012171
MBTPS2	0.0520052241000515	0.790212392312339	ENSG00000012174
PRICKLE3	-0.216907180266495	0.19205787188846	ENSG00000012211
LTF	-0.274720074419013	0.174233948202588	ENSG00000012223
EXTL3	0.0804692681692032	0.570287414125867	ENSG00000012232
NR1H4	-0.00215281366589708	NA	ENSG00000012504
ELOVL5	0.375240889484972	0.017592764413769	ENSG00000012660
ALOX5	-0.31272521277367	0.423282371130273	ENSG00000012779
KDM5D	0.00605120011562134	0.983061176300975	ENSG00000012817
CALCOCO1	-0.197070838780425	0.0399829499904326	ENSG00000012822
UBR7	0.00454045224206239	0.975123000335845	ENSG00000012963
MAP4K5	0.137838969513501	0.397002975089313	ENSG00000012983
EHD3	0.00362737352324544	0.987934019939196	ENSG00000013016
PSMC4	0.0824136864257255	0.492001892182439	ENSG00000013275
MAN2B2	-0.148206940459182	0.0960091482592573	ENSG00000013288
SLC7A14	-0.018600560216069	NA	ENSG00000013293
CLDN11	0.0981210339852938	0.784810199436352	ENSG00000013297
SLC25A39	0.186767863414845	0.168444329617544	ENSG00000013306
MVP	0.0943871916903834	0.625201834888516	ENSG00000013364
NUB1	-0.030858461633052	0.767871758383563	ENSG00000013374
PGM3	0.291506477564303	0.0994382955607989	ENSG00000013375
RWDD2A	-0.04364855966766	0.812865604362282	ENSG00000013392
CLK1	0.169252306447104	0.304090488518929	ENSG00000013441
POLR3B	0.0742271793439667	0.763232827633324	ENSG00000013503
ANGEL1	0.0503756809418505	0.777482166518092	ENSG00000013523
RNF14	0.144328195112688	0.125124332800866	ENSG00000013561
DNASE1L1	0.156395461184606	0.0512165190527596	ENSG00000013563
DDX11	0.128019063997011	0.348659158214897	ENSG00000013573
HEBP1	-0.257345218252187	0.00485973183316587	ENSG00000013583
GPRC5A	0.497383705150261	6.45786483801522e-05	ENSG00000013588
MAMLD1	0.48595923396316	0.00436058852848679	ENSG00000013619
CD6	0.012570193848867	0.860576665908284	ENSG00000013725
TACC3	0.00127724491774603	0.9740953255334	ENSG00000013810
UFL1	0.119918628860616	0.661260477281349	ENSG00000014123
POLA2	-0.0505544527453983	0.811905655402592	ENSG00000014138
ZC3H3	-0.182973149920735	0.187721383838446	ENSG00000014164
CAPN1	-0.050040355348954	0.782320172930243	ENSG00000014216
ACPP	-0.00996067686342919	NA	ENSG00000014257
MDH1	0.106193429299691	0.494571101914173	ENSG00000014641
SLC30A9	0.267676505396751	0.12306475815516	ENSG00000014824
MTMR11	-0.136800097367078	0.152770795947671	ENSG00000014914
COX15	-0.108742308749211	0.342653139026481	ENSG00000014919
CCDC88C	0.265032184736884	0.270037330479558	ENSG00000015133
YAF2	0.0727913121660431	0.652421679157702	ENSG00000015153
ZMYND11	-0.0991259138268117	0.45816087594963	ENSG00000015171
WAS	-0.242360103505846	0.441954226339292	ENSG00000015285
DPEP1	0.00645206931238121	NA	ENSG00000015413
BID	0.104842158467798	0.682365782068385	ENSG00000015475
MATR3	0.148482584052007	0.611925471916354	ENSG00000015479
NPC1L1	-0.647697740052078	0.00276964695788764	ENSG00000015520
XYLT2	-0.128485662006494	0.244911607385482	ENSG00000015532
RGPD5	0.174473097797952	NA	ENSG00000015568
STMN4	-0.00594579952676108	NA	ENSG00000015592
NUDCD3	-0.137228675669557	0.0192996052340688	ENSG00000015676
ISL1	-0.0112135165604611	NA	ENSG00000016082
CHDH	-0.503347166682022	0.000934961232888926	ENSG00000016391
IL20RA	-0.151564128506984	NA	ENSG00000016402
CLCA1	-0.00820920054291418	NA	ENSG00000016490
CLCA4	-0.0917000695258633	NA	ENSG00000016602
GLT8D1	0.131672776478925	0.327783598976857	ENSG00000016864
ATP2C1	0.169515528602388	0.238963291622191	ENSG00000017260
IGF1	-0.570263180169196	0.0176015366786056	ENSG00000017427
SLC38A5	0.684431669753153	0.000207256058238814	ENSG00000017483
RALBP1	0.00425770375931503	0.981001165803593	ENSG00000017797
RUFY3	0.16400072493725	0.290555275308666	ENSG00000018189
CNTN1	-0.420785651471528	0.293078636216691	ENSG00000018236
SLC11A1	-0.143386899189559	0.775113282038559	ENSG00000018280
WWTR1	-0.0042412073010126	0.979929527605416	ENSG00000018408
AGPS	0.347173150063691	0.0129359701621767	ENSG00000018510
ZNF806	-0.00417158929103095	NA	ENSG00000018607
CXorf56	-0.263152581413635	0.271534835083405	ENSG00000018610
ATP1A2	-0.427257622037031	0.117421824947621	ENSG00000018625
TTC27	0.075526580772049	0.563787543019414	ENSG00000018699
ZNF582	0.0199118419785855	0.926107953754031	ENSG00000018869
VSIG2	0.889679879694313	0.000150070551269237	ENSG00000019102
PHLDB1	0.117430609525261	0.436068054613659	ENSG00000019144
MARCO	-0.312885516100351	0.562412408187454	ENSG00000019169
CYP24A1	0.126332428359491	NA	ENSG00000019186
PRDM11	-0.346326437773542	0.00738760462405268	ENSG00000019485
SYT13	0.463074430397856	0.0388565257667404	ENSG00000019505
SNAI2	-0.293505758502472	0.0177230956314393	ENSG00000019549
CD74	-0.71102745679178	0.00316758045179727	ENSG00000019582
HGF	-0.48812287826609	0.172012716995077	ENSG00000019991
ZRANB1	0.114999577379176	0.469596735904794	ENSG00000019995
NCDN	-0.0974773868452844	0.542813519494192	ENSG00000020129
ADGRA2	-0.219225029086644	0.389621813950705	ENSG00000020181
CCT8L1P	-0.00225440509355282	NA	ENSG00000020219
ZFP64	-0.198242789343863	0.015312975804497	ENSG00000020256
MNAT1	0.120840288910937	0.408025856425816	ENSG00000020426
SAMD4A	0.212043658290423	0.0611132871234939	ENSG00000020577
RUNX3	0.440401316364936	0.0243289611289919	ENSG00000020633
MRE11	-0.0440809472788888	0.785336195128481	ENSG00000020922
PLEKHB1	-0.469313956736202	0.000731354105560993	ENSG00000021300
SERPINB1	-0.0862603477930101	0.395421868238976	ENSG00000021355
CYP3A43	-0.296511896813456	NA	ENSG00000021461
SLC7A9	0.180568820491922	0.616753316706769	ENSG00000021488
SPAST	0.119679351628643	0.46822918515787	ENSG00000021574
NRXN3	0.0129493939411753	0.951127834143051	ENSG00000021645
OSBPL5	-0.163484377954444	0.30569628532006	ENSG00000021762
AQR	0.154487369765987	0.482618039857124	ENSG00000021776
CPS1	0.187177881091202	0.279840215167012	ENSG00000021826
C8B	-0.291265500791816	0.312936668058084	ENSG00000021852
FHL1	0.255430036441834	0.0975952542236604	ENSG00000022267
RTFDC1	0.0493839730401041	0.716920146845476	ENSG00000022277
GABRA1	-0.0051753486886562	NA	ENSG00000022355
NLRP2	0.00800504405637846	NA	ENSG00000022556
SLC45A4	-0.058888206894206	0.743550552565373	ENSG00000022567
RNF10	-0.0341014385497347	0.699666052055132	ENSG00000022840
ZNF839	-0.12070717881658	0.227144960495773	ENSG00000022976
ZDHHC6	0.123726112137089	0.43283578818205	ENSG00000023041
GRAMD1B	-0.0853560364679685	0.667556827886609	ENSG00000023171
RNH1	-0.106910323332037	0.590444322668451	ENSG00000023191
NDUFS1	0.0511994207839389	0.760873591112395	ENSG00000023228
RB1CC1	0.0980971742245717	0.620972158753935	ENSG00000023287
ERP44	0.153549704563521	0.432741634483571	ENSG00000023318
ALAS1	-0.0138960266756881	0.934218062377139	ENSG00000023330
BIRC3	-0.0260686714859746	0.933406325858419	ENSG00000023445
AKAP11	0.276102201675525	0.197610459249868	ENSG00000023516
GLRX2	0.109135222321466	0.645254275401811	ENSG00000023572
SNAPC1	-0.108310444391029	0.412816999810443	ENSG00000023608
DERA	0.192248837616564	0.265240301673023	ENSG00000023697
STRAP	0.163782546505582	0.177003849637015	ENSG00000023734
ABCC2	0.357378805737769	0.112621811766844	ENSG00000023839
DEF6	-0.235958399708044	0.210628241373281	ENSG00000023892
PLEKHO1	-0.0424065819156067	0.911033025189774	ENSG00000023902
GCLM	-0.114139115645103	0.549712128364833	ENSG00000023909
UBR2	0.158987922694195	0.32319588296451	ENSG00000024048
EHD2	0.0436736069747015	0.863316722292858	ENSG00000024422
DEPDC1	0.555906149640253	0.0355814931243479	ENSG00000024526
CCDC28A	0.0593203007147838	0.753510581340218	ENSG00000024862
RRAGD	-0.195939757991593	0.137570855512496	ENSG00000025039
HSF2	0.159790300382183	0.242283202563757	ENSG00000025156
