gene_name	synovitis_with_corticosteroidvsControl_log2FoldChange	synovitis_with_corticosteroidvsControl_padj
BEST3	0.226070908206122	0.572668588838297
	-1.29634152390569	0.00210730104931392
CNOT2	-0.35851326197131	0.137030972825828
PTPRB	-1.01109217737386	0.000313523075318921
ZFC3H1	-0.295091807302912	0.307033753730797
TMEM19	-0.592168711946996	0.0206996569478958
TBC1D15	-0.474077589856211	0.0810026017462417
TRHDE	-0.0660537027527704	0.965875085585036
KCNC2	-0.842235122323275	0.0459961122042532
CAPS2	-0.292418159562379	0.877382284754356
GLIPR1	0.21422614267972	0.535337230519051
PHLDA1	1.21146789133612	0.039020832137515
NAP1L1	-0.536410569307635	0.0554666587375395
BBS10	-0.139086304878876	0.666986112062195
SYT10	-0.0990529626378419	NA
PKP2	-0.154576880893452	0.592530224860286
DNM1L	-0.34362256660544	0.165260599574949
FGD4	-0.195227061522924	0.762882304920911
BICD1	-1.82883736633942	1.36531516388133e-05
IPO8	-0.42260404940005	0.128165771351419
ERGIC2	-0.222475415651126	0.403906035013211
OVCH1	-0.767382367215548	0.0835889429289232
FAR2	0.0825385447640351	0.703023990461422
KLHL42	-0.288647934883096	0.257000969029112
MANSC4	-0.698897784431371	0.0101399863847969
MRPS35	0.144455793111412	0.492375937587021
PPFIBP1	-0.111581535992294	0.733871157827651
SMCO2	0	NA
ARNTL2	0.708587852002244	0.124867414361406
MED21	-0.62387489987266	0.0047862283787362
TM7SF3	-0.916709519127429	2.0273659882533e-06
FGFR1OP2	-0.79836366303263	0.00134985394509729
ITPR2	-0.126765602224516	0.748630999060349
RASSF8	-0.285284792671374	0.40374800582491
LRMP	-0.507539489741479	0.156683426745862
SOX5	-0.539131532615518	0.227054853510589
C2CD5	-0.198959054563482	0.512976708898593
ABCC9	1.18596771074579	0.00391161304858976
KCNJ8	0.119888746485637	0.797790067477454
	-0.579747411976743	0.0701372255119799
GYS2	-1.16751827974943	0.13213117667581
GOLT1B	0.508024608732299	0.0362789155750086
RECQL	0.0788887146503883	0.752873294279469
IAPP	-0.418808743092569	0.511678509945725
PYROXD1	-0.363623834685593	0.136652998222527
SLCO1A2	-0.169677116713763	0.731137075674545
SLCO1C1	-2.74332343273751	1.27903961048255e-05
AEBP2	-0.711047349432897	0.0109307897433956
PLEKHA5	-0.136965489052381	0.696945745565945
CAPZA3	NA	NA
PLCZ1	0.0833238549764696	NA
PIK3C2G	-1.4228875745682	0.0141344701136563
	0.0467204511087538	NA
SLC15A5	NA	NA
DERA	-0.0146889244437405	0.97707833583723
EPS8	-0.505381665503473	0.043088843020015
PTPRO	-1.38720966273358	0.0049417614914781
RERG	-1.43500893661779	0.000765290706073695
ERP27	-0.360476152800135	0.542244667604463
ART4	-1.63032068682418	2.36442081934299e-06
	-0.550262879043115	0.386582037857434
SMCO3	-0.976198071215058	0.202091706560633
	-0.0623610786500056	0.649015292429179
ATF7IP	-0.384922049653264	0.204607251541956
GRIN2B	0.210769653031025	NA
	-0.0273972351635507	NA
FAM234B	-0.028293649379631	0.904029141205096
	-0.0749715305570727	0.846776555641222
BCL2L14	-0.733554797105593	0.0995269543142227
LRP6	0.243771777179843	0.543174188907818
	NA	NA
	0.0542371928916478	NA
TAS2R9	0.0847966790180122	NA
YBX3	0.423711866915169	0.095072262443927
STYK1	0.760599258164355	0.254712810460287
	0.0811378106260802	0.721011399867677
	-0.713398759852771	0.35226610691569
	0.311609925870345	0.620190799069277
	-0.439602075348041	0.689945110604217
	-1.3265971841096	0.00457551983343055
	-0.101326868147411	NA
GABARAPL1	-0.224076917508705	0.37564015515702
OLR1	-0.911374131667095	0.0933577787726067
CLEC7A	-0.359225898733771	0.559863053431356
CLEC1A	-0.789117297463316	0.021046676586236
CLEC1B	0.184826723461599	0.731638805828482
CLEC12B	-1.32449465682271	0.0293220838116496
CD69	-0.600385444325423	0.302385900911331
KLRF1	-0.0558406073503501	0.966858961883118
CLEC2B	0.00491633181376416	0.943610486185526
	-0.977008965794125	0.00190235808086067
	-1.36359437596843	0.0332785694558575
A2M	0.505180915497394	0.412135344876779
PHC1	0.385470389168947	0.431930487035167
	-0.812201328624385	0.0270409322806501
	-1.93645291829522	8.44462128777416e-05
RIMKLB	-1.37411562201945	0.00329892775496946
AICDA	0.0839713719496343	0.976542976274313
APOBEC1	NA	NA
GDF3	NA	NA
	0.00979167844185858	NA
CLSTN3	-0.15798475287018	0.792735176670901
C1R	-0.0957643052575434	0.775162957649931
LRRC23	0.577169053989998	0.162637048464824
GPR162	0.266078848782358	0.752887318034144
P3H3	1.05070585370746	0.0276301278645544
GNB3	0.886288583785095	0.0926605756350389
CDCA3	1.31656410283709	0.00175507204675552
USP5	1.18857376432894	0.00530116300038288
TPI1	1.24845334261656	0.00680321130833179
CD4	-0.842678479697891	0.0611771194311263
LAG3	0.769905900098779	0.228659199252371
MLF2	0.697377391433046	0.037600976695538
COPS7A	0.579540734188218	0.106728258059091
PIANP	NA	NA
NCAPD2	0.670924014448082	0.0189594442510235
GAPDH	1.4676894696737	0.000254883825192497
IFFO1	0.513043613440917	0.264545892479785
	0.709172338667244	0.0361607880934352
	-0.188524434829817	0.28160996620431
LPAR5	1.26975856252604	0.0306607908479122
ACRBP	-0.233662575612652	0.136814046675684
ZNF384	0.914653840498601	0.0440710210169072
VAMP1	1.74634080357465	0.00791866816161465
TAPBPL	0.342406421442449	0.239010703260831
CD27	0.81856404022526	0.30482665474841
LTBR	1.45592803865383	0.00257262837716203
SCNN1A	0.308282539536586	0.378192862491175
TNFRSF1A	0.836404192648076	0.00457551983343055
PLEKHG6	0.310048265230303	0.358497209536926
VWF	0.359203649887416	0.402106665883468
	0.236189832997569	0.662233328196997
KCNA1	NA	NA
KCNA6	-0.850312311848784	0.0647596128333556
	NA	NA
NDUFA9	0.174371872900287	0.240608426143106
AKAP3	-0.381364833672934	0.118588827818571
	-0.172944287348874	0.764676291004203
RAD51AP1	0.526736900677014	0.078378837673762
C12orf4	-0.0170582074955171	0.961622094649626
PARP11	-0.365599151789458	0.200767978493963
PRMT8	-0.281112343626187	0.652789072146394
CRACR2A	0.00297965050978219	0.981912109807583
	-0.0271878681530488	0.949596377245722
TSPAN9	0.315031815899323	0.417268044287483
TEAD4	1.51332284162389	0.000565059459893175
TULP3	0.289586563124217	0.0862128370879173
RHNO1	0.264892193262273	0.409993033936042
FOXM1	1.377301219253	0.0013610958907691
TEX52	0.0466779134917843	NA
NRIP2	0.0754804885208497	0.9401239757793
ITFG2	0.387797428906126	0.22031096727727
FKBP4	0.577981408484743	0.0423267003670733
	-0.103112512129638	0.837171438466454
DDX11	1.1501114574799	0.0146875252440268
WASHC1	0.838655361721113	0.0781280969634977
IQSEC3	-0.0271222426907189	NA
SLC6A12	0.850560835808759	0.245111064530042
CCDC77	-0.1941622639543	0.298428258787524
WNK1	-0.0916862634468823	0.713462512883188
RAD52	-0.48388883530107	0.115379366374341
ERC1	0.201975981384722	0.443508348958534
ADIPOR2	-1.00052340103321	0.0111531045201177
	-1.13683080713749	0.049093981934197
LRTM2	0.0904139243543432	NA
HDHD5	0.990997131563343	0.105159715941937
IL17RA	1.69012043980457	0.00156937734367064
CECR2	-0.56507642697677	0.0573421223099683
ATP6V1E1	0.292233112321033	0.14522364046533
BID	0.609151527455151	0.022390339866748
MICAL3	0.167269238145486	0.619316342036461
TUBA8	-0.749679184832861	0.0115666706920528
USP18	0.533350275628554	0.309064764779266
	-0.0260167607085204	NA
CPNE8	-0.545864640275464	0.0834085713491061
KIF21A	-1.17813212196646	2.0157882026676e-05
ABCD2	-2.27507887681172	3.56234915693441e-05
	-0.0265548113288639	NA
SLC2A13	-0.567927079685127	0.0819113723792371
LRRK2	-0.421689542864696	0.338713933023682
CNTN1	-2.25248443146376	4.3139903557713e-05
PDZRN4	-0.682081346196682	0.197072182559398
PPHLN1	-0.365789106186683	0.137482171732409
ADAMTS20	-0.596063972846907	0.272835316033636
TWF1	0.257983197800068	0.288310560562207
IRAK4	-0.163238242887143	0.616292078294823
PUS7L	-0.00229449285779515	0.970858183085269
TMEM117	-0.530725217387665	0.182036741895645
NELL2	-0.623679726997829	0.357118671650191
ANO6	-0.605252068676996	0.0710676568065457
SCAF11	-0.326022197952466	0.274068249125791
SLC38A1	-0.108753862242667	0.902376851854687
SLC38A2	-0.301934554765187	0.393890696113584
AMIGO2	-1.16836507657852	0.000334635137033366
PCED1B	0.223555750647313	0.602720465380882
	-0.386801327704709	0.125868073765755
SENP1	-0.410892040754587	0.140296364401226
H1FNT	NA	NA
CHST11	0.997684803738716	3.15871134334029e-06
SLC41A2	-0.692794805391373	0.153196443383365
ALDH1L2	-0.0740612830974353	0.878394939002457
WASHC4	-0.177131309746366	0.693782567522395
APPL2	-0.452642596304856	0.086966787118383
KANSL2	-0.158763506567467	0.364356033197744
TXNRD1	0.381409940350254	0.00202842381818706
NFYB	-0.0598263496312664	0.880294582202707
HCFC2	-0.489433474826214	0.120254195022098
TDG	0.373233464741705	0.0793301140078727
GLT8D2	0.0865670889823734	0.793608942727331
	0.0908726778075717	0.674662090357564
NT5DC3	-0.214224484704703	0.626212176341942
	0.745486866732843	0.316623707047649
PAH	0.989672556041272	0.142446275193583
IGF1	1.00381081829855	0.00101201156124522
PMCH	0.314462411864936	0.421115937140206
PARPBP	0.278867802993799	0.425774323929089
NUP37	-0.16677954539402	0.614952214039675
GNPTAB	-0.0309558532218451	0.922420026378017
SYCP3	0	NA
CHPT1	-0.676818040472329	0.0198660033412628
MYBPC1	-0.294230041149339	0.431839275793289
	-0.203016896848205	0.657389568276737
UTP20	0.250463891342228	0.140376821081015
ARL1	-0.0757204272693386	0.737399501191105
SLC5A8	-0.427522769337532	0.177445626402775
ANO4	0.105557383567272	0.854101412924526
GAS2L3	0.0269938124717349	0.899675762060924
NR1H4	0.0833884413975081	NA
SCYL2	-0.540744251521864	0.0541428085045654
ANKS1B	-1.30756114820743	NA
	0.258904660496586	NA
APAF1	0.313735572774488	0.413557627058181
SLC25A3	-0.116759357639605	0.624835951955798
	0.685393651910571	0.199796954455998
NEDD1	-0.0225710949034725	0.943356907777197
LTA4H	-0.254416788142961	0.291060153144098
HAL	0.251218941033601	0.539172692185242
AMDHD1	-0.385943950121514	0.813937968706879
CCDC38	0.123845239998243	0.792692097880031
SNRPF	0.290667112475732	0.227761446290125
NTN4	-1.13568049948782	0.000182560244885663
	NA	NA
VEZT	-0.434721023651528	0.0495354577847257
FGD6	-0.765392057676401	0.00562509833044221
NR2C1	-0.503654369669548	0.0172015001349313
	-0.391504619957411	0.148171561407474
	-0.464378895678612	0.233008528198781
PLXNC1	-0.143123549951318	0.796157751167719
	0.222273276568569	0.252391468193819
CRADD	-0.799650210374051	0.00908158973141223
DCN	-0.30989882263395	0.253192496536074
LUM	0.636327854719008	0.0237331763739889
KERA	-0.780820910339881	0.105789782734831
EPYC	-0.553025250056663	0.531846445754257
POC1B	-0.313964924047025	0.180686730050922
C12orf50	-0.109665639766897	0.891345283099374
C12orf29	-0.494426681875349	0.0457779753241837
CEP290	-0.979953262014051	0.00123341604679104
TMTC3	-0.632259046761169	0.0179517850170563
NTS	0.0198952777339467	0.965715565575493
LRRIQ1	-0.413789990460319	0.408542212711191
SLC6A15	-0.103260251001963	0.859921709925415
MYF5	NA	NA
ACSS3	-0.442760575756235	0.100491471510257
PPFIA2	-0.166234940683872	0.675392451274373
METTL25	-0.714615442020286	0.00335964610617113
OTOGL	0.0847966790180122	NA
SYT1	-2.27913839122756	0.000146529267442561
E2F7	1.2768980696483	0.00132664487857636
	1.87266301779861	8.40529412909319e-12
	-0.585675174699415	0.0410354090279974
TBC1D22A	0.245967011683579	0.585451296274332
DYRK2	0.151387505782556	0.592530224860286
	-0.0682948662781368	0.81368957920849
KLHDC7B	NA	NA
SYCE3	0.228413009359686	0.744646844338883
LMF2	1.45079050411498	0.00831881279709159
NCAPH2	1.38812517212293	0.00671551457554461
ODF3B	NA	NA
SBF1	1.46814886838416	0.00840490334481663
PPP6R2	1.08418181802507	0.0234838285164289
HDAC10	1.3994020897287	0.00754717537628391
TUBGCP6	0.889165669334252	0.0721571176918119
SELENOO	1.58747303722852	0.0082516322408156
TRABD	1.08343283031923	0.0362975232777833
PANX2	0.610859761027192	0.305435278019761
MOV10L1	0	NA
MLC1	-0.0623359343447782	NA
ALG12	1.24242070868712	0.0186043759258569
CRELD2	2.09198324810035	2.80551428406185e-05
TTLL8	0.0937750357202839	NA
	1.1080250566518	0.0259303710683116
EXOC2	0.0602738990924754	0.650063163650794
FOXQ1	0.119806479578524	NA
GMDS	0.738319871749562	0.0689486471542927
PPP1R3G	0.644394164723036	0.0256264324280514
RPP40	0.510454660370919	0.0389842712617223
CDYL	1.55031695163045	0.00104712393184222
ECI2	0.993353434115857	0.0010982361898766
	-0.219830812455109	NA
PRPF4B	0.223430753831928	0.021887710780908
SLC22A23	0.880419665947016	0.115124651770537
	NA	NA
BPHL	0.139967076964421	0.756086069384377
RIPK1	0.740616450817195	0.00349805465223965
	0.35064917336567	0.171134099692257
SERPINB1	1.05811887327932	2.1998670747721e-05
RREB1	1.20088708852477	0.0130981657659087
SSR1	0.601066011065633	7.75789328107267e-10
RIOK1	0.644504919685863	7.22489204429917e-06
DSP	-0.0536064431129353	0.802125161467846
BMP6	0.100978311666619	0.845965236930322
SLC35B3	-0.0720327175779046	0.760445224871797
	NA	NA
TFAP2A	0.989491310649232	0.103966084238869
	-0.180162082718399	0.326898908943087
C6orf52	0.0148454947106343	0.973586695920362
PAK1IP1	0.485159759583598	0.0096740200980128
MAK	0.428225645172448	0.210768208305694
ELOVL2	-0.430672984698412	0.310377929275372
ADTRP	0.165167212338258	NA
HIVEP1	0.220290819765973	0.230371568684754
PHACTR1	1.29042044735568	7.56653235618743e-06
TBC1D7	0.311241951413083	0.0809039364172129
RANBP9	-0.0446378484916083	0.899599871598083
MCUR1	0.574256990296725	0.00991028653515177
	NA	NA
JARID2	-0.264762888206917	0.0509824658897622
DTNBP1	-0.282455962586055	0.206524381842996
	-0.189715302792778	0.722428250966932
GMPR	1.44408599320925	0.00144322328083134
ATXN1	0.128328240017235	0.615002919816216
STMND1	0.388053899759137	NA
CAP2	-1.29224255971073	0.00308078552378916
FAM8A1	-0.459420048579573	0.11096837450653
NHLRC1	0.743854208693278	0.0270578878145198
TPMT	0.416810451082394	0.166658009663566
KDM1B	0.0120526195737524	0.938085695216667
	-0.528112417076011	0.0480690811547409
RNF144B	-1.21425866976618	4.01792844063291e-16
MBOAT1	0.337810756482454	0.218221263582957
CDKAL1	-0.724902052531367	0.0189415303860425
SOX4	1.02307476988977	0.101570160228053
	0	NA
DCDC2	0.229460486328362	0.669091447608416
MRS2	0.0173424693557809	0.930836018375908
	0.164986514251877	0.744032523756132
GPLD1	0.141567376617417	0.703144182045228
ALDH5A1	-0.795628447583056	0.036327874346108
KIAA0319	-0.104312703199671	0.815962063021031
TDP2	-0.297019174156363	0.237891949016113
GMNN	0.11844534425265	0.639013360605949
ARMH2	-0.0264137677300387	NA
	-0.329074737397145	0.44481496432698
	0.0601173071932116	0.818367742894769
CMAH	-0.526495247866198	0.244047328323486
CARMIL1	0.56818423399172	0.0162909231097198
SCGN	0.479107674044339	0.282496233043332
	NA	NA
SLC17A1	0.15678328854984	0.496509840473565
BTN2A2	-0.0191465280157983	0.976785976427883
BTN1A1	-0.259268543720801	0.711785134722198
HIST1H1D	1.46266674470959	0.00332689875938332
ZNF322	-0.296135573217592	0.281363010344578
ZNF184	-0.551945361354061	0.0340010278640576
	NA	NA
ZNF165	-0.0335310015117764	0.948199529258738
ZKSCAN8	-0.554222413180722	0.0206996569478958
	0.0694645456982863	0.866847594688735
ZSCAN9	-0.25304995845206	0.567693006022121
ZKSCAN4	-0.616626373860734	0.0183064580627349
NKAPL	-0.346502561375679	0.486332419014124
ZSCAN26	-0.699617590710538	0.00350480692938935
PGBD1	0.0506823397651559	0.845482112327018
ZSCAN12	-0.561328958849392	0.0368197818150444
	NA	NA
GPX6	0	NA
GPX5	0.907159681189529	0.13849780203635
	-0.673055692133894	0.310081736482264
TRIM27	0.0585141710337848	0.72720003376613
	-0.433912657965141	0.265954597204933
	1.24220226128188	0.0222667342211004
	-0.678910822129637	0.251099030906048
TRIM26	1.06252163785416	0.0178885554572068
TRIM10	-0.160313608436845	0.678790045916197
TRIM15	-0.0478766794898621	0.882509888857909
TRIM40	0.621656695033834	0.125649152369378
GABBR1	0.0530237109637431	0.882796982954968
ZNRD1	0.353900473257184	0.160165850386678
ZFP57	0.302485526055759	0.417088096134793
