ID	osteoarthritisvsHealthy.control_logFC	osteoarthritisvsHealthy.control_padjFilter
ABCC2	-0.238725072023356	NA
ABCC3	0.196641832304163	0.235332331823639
ABCC4	-0.0190707515205162	NA
ABCC5	-0.353110248915206	0.245087070880203
ABCC6	-0.172784377233818	NA
ABCC6P1	-0.308833884671265	NA
ABCC8	-0.114823576008461	NA
ABCC9	-0.189831938201933	NA
ABCD1	-0.053268956829684	NA
ABCD2	-0.0623916141474417	NA
ABCD3	-0.140110177661739	0.396879936315525
ABCD4	0.0347803467642374	0.77292138559933
ABCE1	-0.0430843162527008	0.85238016277065
ABCF1	0.326214921111474	0.290718419745907
ABCF2	-0.10191517012741	0.647095134275085
ABCF3	-0.0583656026344377	0.743062326252807
ABCG1	0.129127837635479	0.785172719429661
ABCG2	-0.264585758469619	NA
ABCG4	-0.22120036488884	0.238252008219696
ABCG5	-0.0662963336492668	NA
ABCG8	-0.128717255480068	NA
ABHD1	-0.0492512387659074	NA
ABHD10	0.357081989373711	0.0433454825694181
ABHD11	0.113931353212679	NA
ABHD12	0.703336422551748	0.0564429899042868
ABHD13	0.234746908397147	0.212431492677932
ABHD14B	0.340233018577982	0.178153687025015
ABHD15	0.202665244223965	0.315689361015808
ABHD16A	0.00373677503126757	0.985566383485758
ABHD16B	0.13571017197541	NA
ABHD17A	0.740824753215155	0.025947813333231
ABHD17B	-0.0837025480086506	NA
ABHD17C	0.399304931021612	0.350619676425086
ABHD18	0.298519111360649	0.190474952768587
ABHD2	0.660876007884234	0.0260880598626098
ABHD3	0.0571221010435554	0.868617918738091
ABHD4	0.0516352433493621	0.813221584522011
ABHD5	0.0911010473530336	NA
ABHD6	0.0431471756771842	NA
ABHD8	0.0203560218978796	NA
ABI1	-0.0454764704924244	0.851269145624803
ABI2	-0.027513464250295	0.878077243449042
ABI3	0.0747134448578768	0.60717189964999
ABI3BP	-0.498803712597976	0.212431492677932
ABITRAM	-0.0672323267022223	0.77476402667765
ABL1	0.356364549068724	0.0953914299378148
ABL2	0.317683620913336	0.24130497255745
ABLIM1	-0.316077488797461	0.477705924332888
ABLIM2	-0.205115620463698	0.387188186120925
ABLIM3	-0.456581814666729	0.131199555460065
ABO	0.0276100312977832	NA
ABR	0.128290314265981	0.448558977376131
ABRA	-0.076987533537439	NA
ABRACL	0.649538415608743	0.0760222328245784
ABRAXAS1	0.168283570784526	NA
ABRAXAS2	0.168877075750706	0.245037282720175
ABT1	0.0160567817486932	0.945950464407309
ABTB1	-0.194447544252726	NA
ABTB2	-0.00816490644015033	0.971983528273366
ACAA1	0.0637373395579388	0.805096112712776
ACAA2	-0.0634234046004645	0.739303742751064
ACACA	-0.255452139419436	0.16712094019581
ACACB	-0.781500240979376	0.0302913828351502
ACAD10	-0.0969371204891347	NA
ACAD8	0.104477458671023	NA
ACAD9	0.0388225262723854	0.827076623946288
ACADL	-0.409353780410196	NA
ACADM	-0.0518653799181497	0.819914988224225
ACADS	-0.093827032244846	0.645423467544416
ACADSB	-0.0100276729746804	0.956004374947884
ACADVL	0.0675746042931156	0.839908719614117
ACAN	-0.0278306789682174	0.937121928594926
ACAP1	-0.322867248868752	0.203358400146805
ACAP2	0.275270864040202	0.401478820733758
ACAP3	0.210443698171294	NA
ACAT1	0.0607254401679596	NA
ACAT2	0.0304235403416726	0.873699799721206
ACBD3	0.15165979536031	0.517121627394499
ACBD4	-0.0479106045457316	0.77929970833044
ACBD5	0.710873926504516	0.0261383695509966
ACBD6	0.237989154096764	0.236341440750701
ACCS	-0.037047838261441	0.914802499781295
ACD	0.303535294227729	0.270641517323003
ACE	0.0636689186461359	NA
ACE2	-0.133151474352112	NA
ACER1	0.0817774217985336	NA
ACER3	-0.385371358670632	0.300449884816469
ACHE	0.201949567014305	NA
ACIN1	0.0710229831050748	0.704749787688049
ACKR1	0.132943195197784	0.818989812589372
ACKR2	-0.150024464761923	NA
ACKR3	-0.452152356280323	0.294031727085657
ACKR4	-0.66586643673779	NA
ACLY	-0.0503378329924686	0.853693057892001
ACMSD	-0.0279533845112123	NA
ACO1	0.0704235023319839	0.836010634595012
ACO2	-0.0159121455866602	0.943181261737593
ACOD1	-0.125235472837157	NA
ACOT11	-0.020023921685226	NA
ACOT12	-0.0147732357634793	NA
ACOT13	-0.289092855872397	0.301381743084692
ACOT4	0.0619863125247724	NA
ACOT6	0.0671119414309054	NA
ACOT7	0.21693876661161	0.137801544165459
ACOT8	0.491352115266543	NA
ACOT9	-0.0760046604013525	0.738349276810534
ACOX1	-0.0388786390832578	0.888471132919942
ACOX2	0.212366067568714	0.296286811255483
ACOX3	0.186391391356399	0.37959803041355
ACOXL	-0.0185361963771946	NA
ACP1	-0.178227179814413	0.29578518854542
ACP2	0.455384025970226	0.202614468877361
ACP4	-0.229137518784186	0.228398020561073
ACP5	0.844627062850132	0.212597985099958
ACP6	0.0473458979267845	NA
ACPP	-0.0707250976637157	NA
ACR	-0.0884511534950514	NA
ACRBP	-0.0287480905196951	NA
ACRV1	-0.0333188358732532	NA
ACSBG1	-0.0119002610777699	NA
ACSBG2	-0.204864689080523	NA
ACSF2	0.0559072637216254	0.84387241748013
ACSF3	-0.0914800879487521	NA
ACSL1	-1.18095383965847	0.070839511273815
ACSL3	-0.176370259386605	0.315430237880457
ACSL4	0.219483529804076	NA
ACSL5	0.0433360692578395	0.887888343542586
ACSL6	-0.0211657676481112	NA
ACSM1	-0.118539138946918	NA
ACSM2A	-0.722604524907749	NA
ACSM2B	-0.0624760211914666	NA
ACSM3	-0.10725002224005	NA
ACSM5	-0.180645200694648	0.511960248539954
ACSS1	-0.0715985660514713	NA
ACSS2	-0.304199179559564	0.206491363786651
ACSS3	-0.0749807857811247	0.707274193194375
ACTA1	-0.796203174024567	0.339114504690379
ACTA2	0.0493826989127859	NA
ACTA2-AS1	0.00941367582777097	NA
ACTB	0.0481542146016931	0.882116991516304
ACTC1	-0.305184635523533	0.248987753052421
ACTG1P17	-0.118158038924055	NA
ACTG2	-0.368917274669675	0.190474952768587
ACTL10	-0.217160062560085	NA
ACTL6A	0.226419024693737	0.393411917343002
ACTL6B	-0.0484374315603242	NA
ACTL7A	-0.148439928865997	NA
ACTL7B	-0.169293235970891	NA
ACTL8	-0.253707474617072	NA
ACTL9	-0.0514830288651549	NA
ACTN1	-0.16549356030583	0.51987814806765
ACTN2	-0.591636541480113	0.389453296966186
ACTN3	-0.0624994169154105	0.941669249750412
ACTN4	0.443428631568938	0.0588243516721294
ACTR10	-0.311797306697517	0.25569248655361
ACTR1A	0.195835275514391	0.329245227733423
ACTR1B	0.250995312911596	0.109915874208346
ACTR2	0.379369321401497	0.117914024199002
ACTR3	0.0768623763427101	0.827106857133792
ACTR3-AS1	0.177827841336344	NA
ACTR3B	0.0788677345154039	NA
ACTR3BP2	-0.445101264016571	NA
ACTR3C	-0.284371533674916	NA
ACTR5	-0.0927855911000499	NA
ACTR6	0.038200044514995	0.794220224413197
ACTR8	0.127372642166049	0.520058528515494
ACTRT2	-0.162279215526276	NA
ACTRT3	-0.0194890713172713	NA
ACVR1	-0.309780587947694	0.37535225682649
ACVR1B	-0.17320929230056	NA
ACVR1C	-1.56217722895642	0.0432137619803002
ACVR2A	0.248227411302081	0.377991428511663
ACVR2B	0.283643433311441	NA
ACVR2B-AS1	-0.0484330703834539	NA
ACVRL1	0.0874841154047514	0.701178434019826
ACY1	-0.241945599519577	NA
ACY3	0.0482528872372896	NA
ACYP1	0.093536969813929	0.804500636068914
ACYP2	0.0615058713037184	0.83458282366644
ADA	0.23434664533941	0.348805511483126
ADA2	0.654642241660753	0.0585828702286759
ADAD1	-0.108246715390636	NA
ADAD2	-0.270089881527371	0.094657752587177
ADAL	0.115848812864067	NA
ADAM10	0.496505398084993	0.159171191245809
ADAM11	-0.251427998859602	NA
ADAM12	0.0234850175656369	NA
ADAM15	0.0276307154535074	0.825530077399527
ADAM17	0.261122749093012	0.117328361900463
ADAM18	-0.179613197732421	NA
ADAM19	-0.130162635928951	NA
ADAM1A	0.484671985577892	NA
ADAM2	0.0457406891742447	NA
ADAM20	-0.115184289761813	NA
ADAM21	-0.165963258608664	NA
ADAM22	-0.068814666621055	NA
ADAM23	0.136893022753454	NA
ADAM28	-0.0954359793335118	NA
ADAM30	-0.0906507662464469	NA
ADAM32	-0.218019272377756	NA
ADAM33	-0.314290386444358	0.0719954672512448
ADAM3A	-0.16486293108293	NA
ADAM5	-0.0937641002874505	NA
ADAM6	-0.128941154672306	NA
ADAM7	-0.0911976517634705	NA
ADAM8	-0.0289910790908081	NA
ADAM9	0.136691694690355	NA
ADAMDEC1	-0.158874478425829	NA
ADAMTS1	-0.232076602507275	0.544820709758532
ADAMTS10	-0.171766298060168	0.317869465823016
ADAMTS12	-0.088638743124422	NA
ADAMTS13	-0.131519096159241	NA
ADAMTS14	-0.121309437617386	0.425751400347932
ADAMTS15	0.144760433472605	NA
ADAMTS16	0.656779563815039	0.1177265773975
ADAMTS17	0.286415630145576	NA
ADAMTS18	-0.102587066404078	NA
ADAMTS19	-0.234652264972212	NA
ADAMTS2	0.549975947262912	0.179487430843719
ADAMTS20	-0.0538107650099815	NA
ADAMTS3	0.792481306901588	0.0980832936542636
ADAMTS4	-0.0239796505114889	NA
ADAMTS5	-0.0382065250778076	0.938987645203162
ADAMTS6	0.0786252569567427	NA
ADAMTS7	0.0523798104422459	NA
ADAMTS8	-0.208087810925646	NA
ADAMTS9	-0.247222355615427	NA
ADAMTS9-AS1	-0.0838995722178977	NA
ADAMTS9-AS2	-0.201525458534742	NA
ADAMTSL1	-0.0314601221810618	NA
ADAMTSL2	-0.0286228549790071	NA
ADAMTSL3	-0.165347903704277	0.501038695047876
ADAMTSL4	0.227998755188439	NA
ADAMTSL4-AS2	-0.0779738857018097	NA
ADAMTSL5	-0.0627286638177678	0.743391527995121
ADAP1	0.120024733273205	0.512961418407934
ADAP2	0.274506005556173	0.378653207462613
ADAR	0.206107243115639	0.157266005519221
ADARB1	-0.0751009147905028	NA
ADARB2	-0.139643740737064	NA
ADARB2-AS1	-0.117725762192453	0.482646957301674
ADAT1	-0.00348120278541675	0.991517030616727
ADAT2	0.191158452734912	NA
ADCK1	0.12675475609217	0.440108778615823
ADCK2	0.0307975990056892	0.847438194349528
ADCK5	-0.0181586535629599	NA
ADCY1	-0.177301637685103	NA
ADCY10	-0.0726555813788314	NA
ADCY10P1	-0.0265978548100119	NA
ADCY2	-0.0124728942100445	NA
ADCY3	-0.00129114500934957	0.996296695878709
ADCY4	-0.142476445235334	0.510842580092665
ADCY5	-0.0489680569984294	NA
ADCY6	-0.115782412556038	NA
ADCY6-DT	-0.094624133586843	NA
ADCY7	0.222848301824406	0.286910493227208
ADCY8	-0.169934209142894	NA
ADCY9	0.174087304518058	0.479907266552001
ADCYAP1	0.0792764586857104	NA
ADCYAP1R1	-0.106315385173997	NA
ADD1	0.0778884562173232	0.653004957906349
ADD2	-0.0496999699976906	NA
ADD3	-0.334540337327052	0.236341440750701
ADD3-AS1	-0.116346857458794	NA
ADGB	0.0332838483901079	NA
ADGRA1	-0.015539253536736	NA
ADGRA2	-0.16392904133826	0.527678906548466
ADGRA3	0.0765204207464429	NA
ADGRB1	0.0114011419142264	NA
ADGRB2	0.0267775014017655	NA
ADGRB3	0.302247979634268	NA
ADGRD1	-0.159578730160784	0.820425034553852
ADGRD2	-0.348153334048831	0.2258897746753
ADGRE1	0.181658623977206	NA
ADGRE2	-0.0922774630431697	NA
ADGRE3	-0.0158072698506673	NA
ADGRE5	0.296938399447485	0.387885982615119
ADGRF1	-0.210325299411288	NA
ADGRF2	-0.0404369397173197	NA
ADGRF3	0.0561227231138473	NA
ADGRF4	-0.0908801225910905	NA
ADGRF5	-0.927517631956405	0.0241813709792646
ADGRF5-AS1	-0.244220143869776	NA
ADGRG1	-0.197397870604256	0.268931757123629
ADGRG2	0.238078879409702	0.769059321636152
ADGRG3	-0.0433509505748013	NA
ADGRG4	-0.123224717250898	NA
ADGRG5	-0.0483618371206784	NA
ADGRG6	-0.264286696419306	NA
ADGRG7	0.0312609433033306	NA
ADGRL1	0.0843164766827158	0.776227854089918
ADGRL2	-0.0976582389983012	NA
ADGRL3	-0.92762956631831	NA
ADGRL4	-0.614564109728908	0.153930138058526
ADGRV1	-0.029978030776022	NA
ADH1A	-0.112512565529312	NA
ADH1B	-2.47096911512874	0.0367348713718985
ADH1C	-1.05154168692586	0.117890901990016
ADH4	0.00632888867590076	NA
ADH5	-0.306209595612529	0.135366841376431
ADH6	-0.0748402804172521	NA
ADH7	-0.075007309097777	NA
ADHFE1	-0.281171148451781	0.189700125171169
ADI1	-0.233565277825678	0.114860369741113
ADIG	-0.146593414280263	NA
ADIPOQ	-4.07277058500133	0.0240431673481717
ADIPOR1	0.0636382777674367	0.776081910943833
ADIPOR2	-0.0590443391382127	0.725852236653001
ADIRF	-0.823906333890641	0.0641363512331972
ADIRF-AS1	-0.0897280309602806	NA
ADK	0.0992194594021214	0.520608211938263
ADM	-0.29184301168436	0.674483649254213
ADM2	-0.159404670209291	0.311969952195572
ADM5	0.182848793761702	0.586531667424439
ADNP	0.211566769354199	0.279746711766077
ADNP2	-0.201913133600398	0.258758322612159
ADO	0.475985245635126	0.036973404249588
ADORA1	-0.246932882592427	NA
ADORA2A-AS1	-0.0646083191903521	NA
ADORA2B	0.300465381297907	NA
ADORA3	0.187301635966276	NA
ADPGK	0.00531671010210299	0.979516788132856
ADPRH	-0.107268592063647	NA
ADPRHL1	-0.193450750865652	0.345884883492605
ADPRHL2	-0.0556124098443185	0.810488081633945
ADPRM	-0.0265568013942072	0.912869503795848
ADRA1A	-0.087240610101726	NA
ADRA1B	0.0357779052026377	NA
ADRA1D	-0.0518988146822736	NA
ADRA2A	-0.933312647225698	0.106120936143682
ADRA2B	-0.15853925210419	NA
ADRA2C	-0.475937663173404	0.110411141068469
ADRB1	-0.182666981458885	NA
ADRB2	0.253636127731068	0.424518905281095
ADRB3	-0.139668474039788	NA
ADRM1	0.210680352046068	0.387859837721943
ADSL	0.0368955543274314	0.88866555534299
ADSS1	0.0307437434362541	0.945950464407309
ADSS2	0.0553722013211582	0.80008250849745
ADTRP	0.522708461311252	NA
AEBP1	0.370787063709901	0.438715316734563
AEBP2	0.0994819790155361	0.569077127995095
AEN	-0.0425156198487251	0.900394568833086
AFAP1	0.225544788605093	NA
AFAP1-AS1	-0.188998029771095	NA
AFAP1L1	-0.261677927341156	NA
AFAP1L2	-0.00659729012606824	NA
AFDN	-0.119147265451515	NA
AFDN-DT	-0.154123311687054	NA
AFF1	0.496989235911108	0.0704005080493908
AFF2	-0.0920451057293987	NA
AFF3	-0.0475328698243511	NA
AFF4	0.0106990434658361	NA
AFG1L	0.00559883709197484	NA
AFG3L1P	0.0756854213669511	NA
AFG3L2	-0.195009258660646	0.171572958276952
AFM	0.0355482408899288	NA
AFMID	-0.251348257730454	NA
AFP	-0.065508960777521	NA
AFTPH	0.185955802015009	0.311969952195572
AGA	0.322937693457771	0.14445663248934
AGAP1	0.411016269357466	0.268560102867297
AGAP11	-0.0749902966797555	NA
AGAP2	-0.176777303664873	NA
AGAP2-AS1	0.206850560251946	NA
AGAP3	0.0974529171259864	0.651901753689207
AGAP4	0.0103317685360071	NA
AGAP6	-0.167976781945538	NA
AGAP9	-0.05284582458986	NA
AGBL1	-0.148036032871962	NA
AGBL2	-0.0557942061385108	NA
AGBL3	-0.158171358349104	NA
AGBL4	-0.239684418726096	NA
AGBL5	-0.305912195295369	NA
AGER	-0.214497472585115	NA
AGFG1	0.399124976117504	0.229309657255128
AGFG2	-0.0913731656190189	NA
AGGF1	0.194857400144583	0.128641191971568
AGK	0.103472412717615	0.64042801983767
AGL	-0.168159561419698	0.566538725859977
AGMAT	0.155701888824637	NA
AGO1	0.123939947656678	0.307908742609641
AGO2	0.563911921101087	NA
AGO3	-0.228696140329699	0.231807622156818
AGO4	-0.0540233708066653	NA
AGPAT1	0.414203683860232	0.0240431673481717
AGPAT2	-0.153831970876549	0.302834001809318
AGPAT3	0.228271149059853	0.375380878681872
AGPAT4	-0.157108378949727	0.659671018972095
AGPAT4-IT1	-0.131531448474327	NA
AGPAT5	0.0951270072514134	0.677963238714439
AGPS	0.48552544529884	0.120784973456025
AGR2	-0.0649093663819684	NA
AGR3	-0.0323377254612098	NA
AGRN	-0.0336939631468551	0.88511029841379
AGRP	-0.185506055333756	NA
AGT	0.463442733748948	0.565566454024315
AGTPBP1	-0.0465581241284694	0.871059697355573
AGTR1	-0.126463214595729	0.711945064091373
AGTR2	-0.0385314942563926	NA
AGTRAP	0.248181639503336	NA
AGXT	-0.0296669432974648	NA
AGXT2	0.0292043572837297	NA
AHCTF1	-0.103720378896624	0.5922817839327
AHCY	0.0368713420702003	0.85446279100161
AHCYL1	-0.233480942661169	0.32630209720146
AHCYL2	0.338966016332185	0.109341826670373
AHDC1	0.0132659674128295	NA
AHI1	-0.0330955893302809	NA
AHNAK	0.232203205332782	0.152703658985407
AHNAK2	0.149471728373384	0.746454045911677
AHR	0.440252479290871	0.259581796831219
AHRR	-0.452487273103921	NA
AHSA1	-0.190159851614904	0.313308147097322
AHSA2P	0.11236869690321	0.84303217459143
AHSG	-0.100925684416141	NA
AHSP	-0.0262733664494528	NA
AICDA	-0.186148376524538	NA
AIDA	-0.0218260502568821	0.941565484884739
AIF1	-0.11791746846054	0.780223554357568
AIF1L	-0.355124462815515	0.364504952463622
AIFM1	-0.426794077935634	0.139468124470528
AIFM2	-0.316766171478415	0.2757575940813
AIFM3	-0.0703000642563305	NA
AIG1	0.0824097971185358	0.706267556457022
AIM2	-0.115055476731481	0.604172277559491
AIMP1	0.0281340365280727	0.912869503795848
AIMP2	0.0158746970426176	0.938987645203162
AIP	0.0915582067342458	0.664683688695505
AIPL1	-0.129880563998955	NA
AIRE	-0.22023418945028	NA
AJAP1	0.0092577643740519	NA
AJM1	-0.291967740167038	0.251459746007616
AJUBA	0.0674002903371016	NA
AK1	-0.0759361046229134	0.84498875300314
AK2	-0.0425173591082659	0.865888672621374
AK3	-0.231817031270669	0.407615021386966
AK4	0.101098317147743	0.625489415045808
AK5	0.0122665179391968	NA
AK6	-0.239873790573945	0.387176734537745
AK7	-0.107290812261881	NA
AK8	-0.19573247748423	0.108533107561311
AK9	-0.100918573352545	NA
AKAIN1	-0.0408751413015964	NA
AKAP1	-0.194037863798269	0.349010748156003
AKAP10	0.0834616060095277	NA
AKAP11	0.0699216023343263	0.678392063322454
AKAP12	-0.236440014552378	0.706267556457022
AKAP13	0.183250694053771	0.603772428186024
AKAP14	-0.0685854959225423	NA
AKAP17A	-0.32037452941424	0.0734358566219276
AKAP3	-0.0468725582891176	NA
AKAP4	-0.261902614469101	NA
AKAP5	-0.128588157541188	NA
AKAP6	-0.173200659922616	NA
AKAP7	-0.447766596630133	0.0704005080493908
AKAP8	0.111572544899303	0.445911852886504
AKAP8L	-0.0125552141497227	0.951480787875567
AKAP9	0.111550872482728	NA
AKIP1	0.39576484972857	0.0320895357984103
AKIRIN1	0.35648182601143	0.0786643369027945
AKIRIN2	0.102223859359583	NA
AKNA	0.165137553494083	NA
AKNAD1	-0.0525014640542825	NA
AKR1A1	0.346548332703952	0.110442498665511
AKR1B1	0.388777825769482	0.0944869257111455
AKR1B10	0.256321712203543	0.704082841872165
AKR1C1	-0.464930095480391	0.0240431673481717
AKR1C2	-1.01823617368539	0.0185831415498485
AKR1C3	-0.535917273494983	0.314397784624887
AKR1C4	-0.0755701728513967	NA
AKR1C6P	-0.0876375585111608	0.684279796906991
AKR1D1	-0.0801680811948025	NA
AKR1E2	0.0589578758702478	NA
AKR7A2	0.444714017071834	0.0720775223234169
AKR7A3	0.222013356744002	0.15385316568034
AKT1	0.500725423765075	0.0815138557718043
AKT1S1	0.0827600535686832	NA
AKT2	-0.118636775192773	NA
AKT3	-0.314044783225294	0.196215412612922
AKTIP	-0.120681647635216	0.462184512929689
ALAD	0.0295026916317624	0.840730419462086
ALAS1	0.797615641609172	0.0240431673481717
ALAS2	-0.0562376732868524	NA
ALB	0.00435858496210439	NA
ALCAM	0.360181257200845	NA
ALDH16A1	-0.0786247020100657	NA
ALDH18A1	0.230379154813544	0.228398020561073
ALDH1A1	-0.609909881347777	0.296153681469954
ALDH1A2	-0.0945234381966333	NA
ALDH1A3	-0.198471365243991	0.372454747670695
ALDH1B1	-0.0989855975021001	NA
ALDH1L1	-0.229822392123268	0.157810265139138
ALDH1L1-AS2	-0.00669858347584196	NA
ALDH1L2	-0.0984625779825192	NA
ALDH2	-0.444534506639364	0.146967074862384
ALDH3A1	-0.178378767129834	NA
ALDH3A2	-0.525257478012453	0.0866854986802898
ALDH3B1	-0.0217755476210195	0.907520893593748
ALDH3B2	-0.119719747339825	NA
ALDH4A1	0.112324381615156	0.432169381841113
ALDH5A1	0.0423518908804237	0.876758231361148
ALDH6A1	-0.473997242984927	0.0913410833036766
ALDH7A1	-0.155548187092355	0.503092562771862
ALDH8A1	0.0624361515395253	NA
ALDH9A1	-0.112516131092107	0.805773557138282
ALDOA	0.208897593287929	0.388935696586353
ALDOAP2	-0.114749043980572	NA
ALDOB	-0.0296221366515965	NA
ALDOC	-0.109604149985036	0.677397144320468
ALG1	0.241190931861619	NA
ALG10	0.0108648956336115	NA
ALG12	-0.263262607775771	NA
ALG13	-0.274583383730713	0.279392524784935
ALG14	0.283023396549523	0.166728276397913
ALG14-AS1	0.016753654354086	NA
ALG2	0.000167166973933597	0.998633317875036
ALG3	0.352588701313	0.127426051606173
ALG5	-0.00140665111185978	NA
ALG6	0.312416647978097	0.24130497255745
ALG8	0.271555006892869	0.0972901254537847
ALG9	0.139438541282821	0.240097630687487
ALK	-0.0317629718494858	NA
ALKAL2	-0.129714516488428	NA
ALKBH1	0.208878096878204	0.263322935700263
ALKBH2	-0.0179835899470353	0.928999307025501
ALKBH3	0.118419465736326	0.666955373355848
ALKBH3-AS1	-0.0230638091599307	NA
ALKBH4	0.0553618024467424	NA
ALKBH5	0.0762942883838251	0.593480912105196
ALKBH6	0.558053050264759	0.0265637207069883
ALKBH7	0.134523779278882	NA
ALKBH8	0.13501300180252	0.494396035820515
ALLC	-0.00736966216119139	NA
ALMS1	0.195080798153859	0.327858940010758
ALMS1-IT1	0.0430426433831337	NA
ALMS1P1	-0.434823952421859	NA
ALOX12	-0.0847287879118857	NA
ALOX12-AS1	0.122832163749668	NA
ALOX12B	-0.0027942940555139	NA
ALOX12P2	-0.21628388084588	NA
ALOX15	-0.0739870855146965	NA
ALOX15B	-0.105773377848664	NA
ALOX5	0.0301837830807932	NA
ALOX5AP	0.0195195744833514	0.949032735165542
ALOXE3	-0.140231647898529	NA
ALPG	-0.213914836524044	0.225981959461793
ALPI	-0.0905835164293975	NA
ALPK1	0.0981761809413531	0.743581031724801
ALPK2	-0.14412963115618	NA
ALPK3	-0.214509660014085	0.410151536948339
ALPL	-0.0405173318617065	NA
ALPP	0.210144338009013	NA
ALS2	0.463902951886467	NA
ALS2CL	0.0384092969678118	0.899533237116154
ALX1	-0.321922421386606	NA
ALX3	-0.208132400335501	0.275300783182664
ALX4	-0.139255677140728	NA
ALYREF	-0.137083003325614	NA
AMACR	-0.133050581012281	NA
AMBN	0.059272437884542	NA
AMBP	0.0701216333715813	NA
AMBRA1	-0.0621194362775901	NA
AMD1	0.49167985199545	0.0960152593048397
AMDHD1	0.278020246644776	NA
AMELX	-0.00814250962924179	NA
AMELY	-0.294254088954568	NA
AMER1	-0.273963101036704	NA
AMER2	-0.273717100243704	NA
AMER3	-0.125625083800792	NA
AMFR	0.30429491808292	0.268560102867297
AMHR2	-0.148352018670099	0.457279748535187
AMIGO1	0.0940212603900612	0.749224993086039
AMIGO2	-0.55327042672651	0.212431492677932
AMMECR1	0.260144136395624	NA
AMMECR1L	-0.0742376063514314	0.769687329560865
AMN	-0.0864695590481004	NA
AMOT	0.0237590844517941	NA
AMOTL1	-0.190269000070312	0.253465298006181
AMOTL2	-0.104999223260565	0.572288322804269
AMPD1	-0.666711213849243	0.303321095589249
AMPD2	0.394349360453423	0.117146325368511
AMPD3	-0.130085285316736	0.819034569582932
AMPH	-0.366666868037417	0.315361568363279
AMT	0.155467385841819	0.420262067570174
AMZ1	-0.12294138131637	0.424846450151252
AMZ2	-0.210560940579525	0.378236862898435
AMZ2P1	-0.231042638488216	0.217717289505718
ANAPC10	0.229786547798131	0.121748713513881
ANAPC11	0.293384805487768	0.0805248934648585
ANAPC13	-0.0582331851205131	0.655440722010711
ANAPC15	0.163416832780776	0.544820709758532
ANAPC16	-0.250430203262043	0.182768002514641
ANAPC2	0.0726941971774755	NA
ANAPC4	-0.19204869442261	0.387176734537745
ANAPC5	0.0976388021067471	0.74764148028113
ANAPC7	0.126792511933014	0.434849069042732
ANG	-0.171945987345242	0.64042801983767
ANGEL1	0.20335360530702	0.169588640594204
ANGEL2	0.344538454113829	NA
ANGPT1	-1.50335354540522	0.0757847303300958
ANGPT2	-0.387192451889834	NA
ANGPT4	-0.0690302794551476	NA
ANGPTL1	-0.377322230907671	0.389043626393951
ANGPTL2	0.656434287719851	0.146765507215232
ANGPTL3	-0.0680377280499553	NA
ANGPTL4	-0.0752028679018002	0.773634043160872
ANGPTL6	0.246568481957374	0.403423768748029
ANGPTL7	0.255941882088247	0.828923902837166
